ID,MinLevel,MaxLevel,ItemType,PrimaryStat,SecondaryStat,SpecializationID
34857,1,123,0,2,40,70
34858,1,123,0,2,40,71
34859,1,123,0,2,40,72
34860,1,123,0,2,40,1446
34861,1,123,0,2,40,73
34862,1,123,5,40,13,102
34863,1,123,5,40,13,105
34864,1,123,5,40,13,62
34865,1,123,5,40,13,63
34866,1,123,5,40,13,64
34867,1,123,5,40,13,256
34868,1,123,5,40,13,257
34869,1,123,5,40,13,258
34870,1,123,5,40,13,259
34871,1,123,5,40,13,1453
34872,1,123,5,40,13,261
34873,1,123,5,40,13,262
34874,1,123,5,40,13,264
34875,1,123,5,40,13,265
34876,1,123,5,40,13,266
34877,1,123,5,40,13,267
34878,1,123,5,40,13,1454
34879,1,123,5,1,13,259
34880,1,123,5,1,13,1453
34881,1,123,5,1,13,261
34882,1,123,5,0,13,102
34883,1,123,5,0,13,105
34884,1,123,5,0,13,62
34885,1,123,5,0,13,63
34886,1,123,5,0,13,64
34887,1,123,5,0,13,256
34888,1,123,5,0,13,257
34889,1,123,5,0,13,258
34890,1,123,5,0,13,262
34891,1,123,5,0,13,264
34892,1,123,5,0,13,265
34893,1,123,5,0,13,266
34894,1,123,5,0,13,267
34895,1,123,5,0,13,1454
34896,1,123,5,2,13,72
34897,1,123,5,2,13,1446
34898,1,123,5,2,13,73
34899,1,123,5,40,14,577
34900,1,123,5,40,14,1456
34901,1,123,5,40,14,581
34902,1,123,5,40,14,102
34903,1,123,5,40,14,105
34904,1,123,5,40,14,268
34905,1,123,5,40,14,1450
34906,1,123,5,40,14,270
34907,1,123,5,40,14,269
34908,1,123,5,40,14,260
34909,1,123,5,40,14,262
34910,1,123,5,40,14,263
34911,1,123,5,40,14,264
34912,1,123,5,1,14,577
34913,1,123,5,1,14,1456
34914,1,123,5,1,14,581
34915,1,123,5,1,14,268
34916,1,123,5,1,14,1450
34917,1,123,5,1,14,269
34918,1,123,5,1,14,260
34919,1,123,5,1,14,263
34920,1,123,5,0,14,102
34921,1,123,5,0,14,105
34922,1,123,5,0,14,270
34923,1,123,5,0,14,262
34924,1,123,5,0,14,264
34925,1,123,5,2,14,72
34926,1,123,5,2,14,1446
34927,1,123,5,2,14,73
34928,1,123,5,40,7,577
34929,1,123,5,40,7,581
34930,1,123,5,40,7,268
34931,1,123,5,40,7,1450
34932,1,123,5,40,7,270
34933,1,123,5,40,7,269
34934,1,123,5,40,7,65
34935,1,123,5,40,7,1451
34936,1,123,5,40,7,260
34937,1,123,5,40,7,262
34938,1,123,5,40,7,263
34939,1,123,5,40,7,264
34940,1,123,5,1,7,577
34941,1,123,5,1,7,581
34942,1,123,5,1,7,268
34943,1,123,5,1,7,1450
34944,1,123,5,1,7,269
34945,1,123,5,1,7,260
34946,1,123,5,1,7,263
34947,1,123,5,0,7,270
34948,1,123,5,0,7,65
34949,1,123,5,0,7,1451
34950,1,123,5,0,7,262
34951,1,123,5,0,7,264
34952,1,123,5,2,7,251
34953,1,123,5,2,7,1451
34954,1,123,5,2,7,66
34955,1,123,5,2,7,72
34956,1,123,5,2,7,1446
34957,1,123,5,2,7,73
34958,1,123,5,40,9,577
34959,1,123,5,40,9,581
34960,1,123,5,40,9,62
34961,1,123,5,40,9,63
34962,1,123,5,40,9,64
34963,1,123,5,40,9,268
34964,1,123,5,40,9,1450
34965,1,123,5,40,9,270
34966,1,123,5,40,9,269
34967,1,123,5,40,9,65
34968,1,123,5,40,9,1451
34969,1,123,5,40,9,260
34970,1,123,5,40,9,265
34971,1,123,5,40,9,266
34972,1,123,5,40,9,267
34973,1,123,5,40,9,1454
34974,1,123,5,1,9,577
34975,1,123,5,1,9,581
34976,1,123,5,1,9,268
34977,1,123,5,1,9,1450
34978,1,123,5,1,9,269
34979,1,123,5,1,9,260
34980,1,123,5,0,9,62
34981,1,123,5,0,9,63
34982,1,123,5,0,9,64
34983,1,123,5,0,9,270
34984,1,123,5,0,9,65
34985,1,123,5,0,9,1451
34986,1,123,5,0,9,265
34987,1,123,5,0,9,266
34988,1,123,5,0,9,267
34989,1,123,5,0,9,1454
34990,1,123,5,2,9,251
34991,1,123,5,2,9,1451
34992,1,123,5,2,9,66
34993,1,123,5,2,9,72
34994,1,123,5,2,9,1446
34995,1,123,5,2,9,73
34996,1,123,5,40,11,251
34997,1,123,5,40,11,102
34998,1,123,5,40,11,105
34999,1,123,5,40,11,268
35000,1,123,5,40,11,1450
35001,1,123,5,40,11,270
35002,1,123,5,40,11,269
35003,1,123,5,40,11,65
35004,1,123,5,40,11,1451
35005,1,123,5,40,11,66
35006,1,123,5,40,11,256
35007,1,123,5,40,11,257
35008,1,123,5,40,11,258
35009,1,123,5,40,11,260
35010,1,123,5,40,11,262
35011,1,123,5,40,11,263
35012,1,123,5,40,11,1444
35013,1,123,5,40,11,264
35014,1,123,5,40,11,72
35015,1,123,5,40,11,1446
35016,1,123,5,40,11,73
35017,1,123,5,1,11,268
35018,1,123,5,1,11,1450
35019,1,123,5,1,11,269
35020,1,123,5,1,11,260
35021,1,123,5,1,11,263
35022,1,123,5,0,11,102
35023,1,123,5,0,11,105
35024,1,123,5,0,11,270
35025,1,123,5,0,11,65
35026,1,123,5,0,11,1451
35027,1,123,5,0,11,256
35028,1,123,5,0,11,257
35029,1,123,5,0,11,258
35030,1,123,5,0,11,262
35031,1,123,5,0,11,1444
35032,1,123,5,0,11,264
35033,1,123,5,2,11,251
35034,1,123,5,2,11,1451
35035,1,123,5,2,11,66
35036,1,123,5,2,11,72
35037,1,123,5,2,11,1446
35038,1,123,5,2,11,73
35039,1,123,5,40,15,253
35040,1,123,5,40,15,1448
35041,1,123,5,40,15,254
35042,1,123,5,1,15,253
35043,1,123,5,1,15,1448
35044,1,123,5,1,15,254
35045,1,123,5,40,16,253
35046,1,123,5,40,16,1448
35047,1,123,5,40,16,254
35048,1,123,5,1,16,253
35049,1,123,5,1,16,1448
35050,1,123,5,1,16,254
35051,1,123,5,40,17,253
35052,1,123,5,40,17,1448
35053,1,123,5,40,17,254
35054,1,123,5,1,17,253
35055,1,123,5,1,17,1448
35056,1,123,5,1,17,254
35057,1,123,5,40,18,102
35058,1,123,5,40,18,103
35059,1,123,5,40,18,104
35060,1,123,5,40,18,1447
35061,1,123,5,40,18,105
35062,1,123,5,40,18,255
35063,1,123,5,40,18,62
35064,1,123,5,40,18,63
35065,1,123,5,40,18,64
35066,1,123,5,40,18,268
35067,1,123,5,40,18,270
35068,1,123,5,40,18,269
35069,1,123,5,40,18,256
35070,1,123,5,40,18,257
35071,1,123,5,40,18,258
35072,1,123,5,40,18,265
35073,1,123,5,40,18,266
35074,1,123,5,40,18,267
35075,1,123,5,40,18,1454
35076,1,123,5,1,18,103
35077,1,123,5,1,18,104
35078,1,123,5,1,18,1447
35079,1,123,5,1,18,255
35080,1,123,5,1,18,268
35081,1,123,5,1,18,269
35082,1,123,5,0,18,102
35083,1,123,5,0,18,1447
35084,1,123,5,0,18,105
35085,1,123,5,0,18,62
35086,1,123,5,0,18,63
35087,1,123,5,0,18,64
35088,1,123,5,0,18,1449
35089,1,123,5,0,18,270
35090,1,123,5,0,18,256
35091,1,123,5,0,18,257
35092,1,123,5,0,18,1452
35093,1,123,5,0,18,258
35094,1,123,5,0,18,262
35095,1,123,5,0,18,264
35096,1,123,5,0,18,265
35097,1,123,5,0,18,266
35098,1,123,5,0,18,267
35099,1,123,5,0,18,1454
35100,1,123,5,2,18,71
35101,1,123,5,2,18,72
35102,1,123,5,40,19,250
35103,1,123,5,40,19,251
35104,1,123,5,40,19,1455
35105,1,123,5,40,19,252
35106,1,123,5,40,19,103
35107,1,123,5,40,19,104
35108,1,123,5,40,19,1447
35109,1,123,5,40,19,255
35110,1,123,5,40,19,268
35111,1,123,5,40,19,269
35112,1,123,5,40,19,70
35113,1,123,5,40,19,71
35114,1,123,5,40,19,72
35115,1,123,5,1,19,103
35116,1,123,5,1,19,104
35117,1,123,5,1,19,1447
35118,1,123,5,1,19,255
35119,1,123,5,1,19,268
35120,1,123,5,1,19,269
35121,1,123,5,0,19,102
35122,1,123,5,0,19,1447
35123,1,123,5,0,19,105
35124,1,123,5,0,19,270
35125,1,123,5,0,19,65
35126,1,123,5,2,19,250
35127,1,123,5,2,19,251
35128,1,123,5,2,19,1455
35129,1,123,5,2,19,252
35130,1,123,5,2,19,70
35131,1,123,5,2,19,71
35132,1,123,5,2,19,72
35133,1,123,5,40,12,250
35134,1,123,5,40,12,251
35135,1,123,5,40,12,1455
35136,1,123,5,40,12,252
35137,1,123,5,40,12,102
35138,1,123,5,40,12,103
35139,1,123,5,40,12,104
35140,1,123,5,40,12,105
35141,1,123,5,40,12,65
35142,1,123,5,40,12,70
35143,1,123,5,40,12,262
35144,1,123,5,40,12,264
35145,1,123,5,40,12,71
35146,1,123,5,40,12,72
35147,1,123,5,1,12,103
35148,1,123,5,1,12,104
35149,1,123,5,0,12,102
35150,1,123,5,0,12,1447
35151,1,123,5,0,12,105
35152,1,123,5,0,12,65
35153,1,123,5,0,12,262
35154,1,123,5,0,12,264
35155,1,123,5,2,12,250
35156,1,123,5,2,12,251
35157,1,123,5,2,12,1455
35158,1,123,5,2,12,252
35159,1,123,5,2,12,70
35160,1,123,5,2,12,71
35161,1,123,5,2,12,72
35162,1,123,5,40,21,62
35163,1,123,5,40,21,63
35164,1,123,5,40,21,64
35165,1,123,5,40,21,256
35166,1,123,5,40,21,257
35167,1,123,5,40,21,258
35168,1,123,5,40,21,265
35169,1,123,5,40,21,266
35170,1,123,5,40,21,267
35171,1,123,5,40,21,1454
35172,1,123,5,0,21,62
35173,1,123,5,0,21,63
35174,1,123,5,0,21,64
35175,1,123,5,0,21,256
35176,1,123,5,0,21,257
35177,1,123,5,0,21,258
35178,1,123,5,0,21,265
35179,1,123,5,0,21,266
35180,1,123,5,0,21,267
35181,1,123,5,0,21,1454
35182,1,123,5,40,8,250
35183,1,123,5,40,8,251
35184,1,123,5,40,8,1455
35185,1,123,5,40,8,252
35186,1,123,5,40,8,70
35187,1,123,5,40,8,71
35188,1,123,5,40,8,72
35189,1,123,5,2,8,250
35190,1,123,5,2,8,251
35191,1,123,5,2,8,1455
35192,1,123,5,2,8,252
35193,1,123,5,2,8,70
35194,1,123,5,2,8,71
35195,1,123,5,2,8,72
35196,1,123,5,40,10,250
35197,1,123,5,40,10,251
35198,1,123,5,40,10,1455
35199,1,123,5,40,10,252
35200,1,123,5,40,10,70
35201,1,123,5,40,10,71
35202,1,123,5,40,10,72
35203,1,123,5,2,10,250
35204,1,123,5,2,10,251
35205,1,123,5,2,10,1455
35206,1,123,5,2,10,252
35207,1,123,5,2,10,70
35208,1,123,5,2,10,71
35209,1,123,5,2,10,72
35210,1,123,6,40,23,102
35211,1,123,6,40,23,105
35212,1,123,6,40,23,62
35213,1,123,6,40,23,63
35214,1,123,6,40,23,64
35215,1,123,6,40,23,270
35216,1,123,6,40,23,256
35217,1,123,6,40,23,257
35218,1,123,6,40,23,258
35219,1,123,6,40,23,265
35220,1,123,6,40,23,266
35221,1,123,6,40,23,267
35222,1,123,6,40,23,1454
35223,1,123,6,0,23,102
35224,1,123,6,0,23,105
35225,1,123,6,0,23,62
35226,1,123,6,0,23,63
35227,1,123,6,0,23,64
35228,1,123,6,0,23,270
35229,1,123,6,0,23,256
35230,1,123,6,0,23,257
35231,1,123,6,0,23,258
35232,1,123,6,0,23,265
35233,1,123,6,0,23,266
35234,1,123,6,0,23,267
35235,1,123,6,0,23,1454
35236,1,123,6,40,22,65
35237,1,123,6,40,22,1451
35238,1,123,6,40,22,66
35239,1,123,6,40,22,262
35240,1,123,6,40,22,1444
35241,1,123,6,40,22,264
35242,1,123,6,40,22,1446
35243,1,123,6,40,22,73
35244,1,123,6,0,22,65
35245,1,123,6,0,22,1451
35246,1,123,6,0,22,262
35247,1,123,6,0,22,1444
35248,1,123,6,0,22,264
35249,1,123,6,2,22,1451
35250,1,123,6,2,22,66
35251,1,123,6,2,22,1444
35252,1,123,6,2,22,1446
35253,1,123,6,2,22,73
35254,1,123,5,40,28,577
35255,1,123,5,40,28,1456
35256,1,123,5,40,28,581
35257,1,123,5,1,28,577
35258,1,123,5,1,28,1456
35259,1,123,5,1,28,581
35260,1,109,7,29,40,581
35261,1,109,7,29,40,255
35262,1,109,7,29,40,269
35263,1,109,7,29,40,66
35264,1,109,7,29,40,259
35265,1,109,7,29,40,260
35266,1,109,7,29,40,263
35267,1,109,7,29,40,71
35268,1,109,7,29,40,73
35269,1,123,7,29,40,250
35270,1,123,7,29,40,581
35271,1,123,7,29,40,253
35272,1,123,7,29,40,255
35273,1,123,7,29,40,268
35274,1,123,7,29,40,269
35275,1,123,7,29,40,66
35276,1,123,7,29,40,259
35277,1,123,7,29,40,260
35278,1,123,7,29,40,263
35279,1,123,7,29,40,71
35280,1,123,7,29,40,72
35281,1,123,7,29,40,73
35282,1,109,7,30,40,250
35283,1,109,7,30,40,103
35284,1,109,7,30,40,104
35285,1,109,7,30,40,254
35286,1,109,7,30,40,258
35287,1,109,7,30,40,260
35288,1,109,7,30,40,265
35289,1,109,7,30,40,71
35290,1,109,7,30,40,73
35291,1,123,7,30,40,250
35292,1,123,7,30,40,252
35293,1,123,7,30,40,103
35294,1,123,7,30,40,104
35295,1,123,7,30,40,254
35296,1,123,7,30,40,255
35297,1,123,7,30,40,258
35298,1,123,7,30,40,259
35299,1,123,7,30,40,260
35300,1,123,7,30,40,265
35301,1,123,7,30,40,71
35302,1,123,7,30,40,73
35303,1,109,7,31,40,250
35304,1,109,7,31,40,251
35305,1,109,7,31,40,252
35306,1,109,7,31,40,577
35307,1,109,7,31,40,256
35308,1,109,7,31,40,258
35309,1,109,7,31,40,259
35310,1,109,7,31,40,261
35311,1,109,7,31,40,265
35312,1,109,7,31,40,266
35313,1,123,7,31,40,250
35314,1,123,7,31,40,251
35315,1,123,7,31,40,252
35316,1,123,7,31,40,577
35317,1,123,7,31,40,256
35318,1,123,7,31,40,258
35319,1,123,7,31,40,259
35320,1,123,7,31,40,261
35321,1,123,7,31,40,265
35322,1,123,7,31,40,266
35323,1,123,7,31,40,71
35324,1,109,7,32,40,577
35325,1,109,7,32,40,261
35326,1,109,7,32,40,267
35327,1,109,7,32,40,1454
35328,1,123,7,32,40,577
35329,1,123,7,32,40,581
35330,1,123,7,32,40,261
35331,1,123,7,32,40,266
35332,1,123,7,32,40,267
35333,1,123,7,32,40,1454
35334,1,109,7,33,40,581
35335,1,109,7,33,40,102
35336,1,109,7,33,40,253
35337,1,109,7,33,40,62
35338,1,109,7,33,40,63
35339,1,109,7,33,40,64
35340,1,123,7,33,40,581
35341,1,123,7,33,40,102
35342,1,123,7,33,40,253
35343,1,123,7,33,40,62
35344,1,123,7,33,40,63
35345,1,123,7,33,40,64
35346,1,123,7,33,40,66
35347,1,109,7,34,40,251
35348,1,109,7,34,40,103
35349,1,109,7,34,40,105
35350,1,109,7,34,40,62
35351,1,109,7,34,40,64
35352,1,109,7,34,40,270
35353,1,109,7,34,40,262
35354,1,109,7,34,40,264
35355,1,123,7,34,40,251
35356,1,123,7,34,40,103
35357,1,123,7,34,40,105
35358,1,123,7,34,40,62
35359,1,123,7,34,40,64
35360,1,123,7,34,40,270
35361,1,123,7,34,40,262
35362,1,123,7,34,40,264
35363,1,109,7,35,40,252
35364,1,109,7,35,40,104
35365,1,109,7,35,40,63
35366,1,109,7,35,40,70
35367,1,109,7,35,40,263
35368,1,109,7,35,40,266
35369,1,109,7,35,40,267
35370,1,109,7,35,40,1454
35371,1,109,7,35,40,72
35372,1,123,7,35,40,252
35373,1,123,7,35,40,104
35374,1,123,7,35,40,63
35375,1,123,7,35,40,70
35376,1,123,7,35,40,263
35377,1,123,7,35,40,266
35378,1,123,7,35,40,267
35379,1,123,7,35,40,1454
35380,1,123,7,35,40,72
35381,1,123,7,35,40,73
35382,1,109,7,37,40,102
35383,1,109,7,37,40,105
35384,1,109,7,37,40,268
35385,1,109,7,37,40,270
35386,1,109,7,37,40,65
35387,1,109,7,37,40,257
35388,1,109,7,37,40,264
35389,1,123,7,37,40,102
35390,1,123,7,37,40,103
35391,1,123,7,37,40,104
35392,1,123,7,37,40,105
35393,1,123,7,37,40,254
35394,1,123,7,37,40,268
35395,1,123,7,37,40,270
35396,1,123,7,37,40,65
35397,1,123,7,37,40,257
35398,1,123,7,37,40,264
35399,1,109,7,38,40,253
35400,1,109,7,38,40,254
35401,1,109,7,38,40,255
35402,1,109,7,38,40,268
35403,1,109,7,38,40,269
35404,1,109,7,38,40,262
35405,1,109,7,38,40,72
35406,1,123,7,38,40,253
35407,1,123,7,38,40,254
35408,1,123,7,38,40,255
35409,1,123,7,38,40,268
35410,1,123,7,38,40,270
35411,1,123,7,38,40,269
35412,1,123,7,38,40,260
35413,1,123,7,38,40,262
35414,1,123,7,38,40,263
35415,1,123,7,38,40,72
35416,1,109,7,39,40,65
35417,1,109,7,39,40,66
35418,1,109,7,39,40,70
35419,1,109,7,39,40,256
35420,1,109,7,39,40,257
35421,1,123,7,39,40,65
35422,1,123,7,39,40,66
35423,1,123,7,39,40,70
35424,1,123,7,39,40,256
35425,1,123,7,39,40,257
