ID,TraitNodeID,LeftTraitNodeGroupID,RightTraitNodeGroupID,TraitCurrencyID
884,33682,4336,4335,1608
885,33681,4334,4333,1607
886,33680,4332,4331,1606
887,33679,4330,4329,1605
888,33678,4328,4327,1604
889,33677,4326,4325,1603
890,33676,4324,4323,1602
891,33779,4369,4368,1624
892,33778,4367,4366,1623
893,33777,4365,4364,1622
894,33776,4363,4362,1621
895,33775,4361,4360,1620
896,33774,4359,4358,1619
897,33773,4357,4356,1618
898,33772,4355,4354,1617
899,33771,4353,4352,1616
900,33770,4351,4350,1615
901,33769,4349,4348,1614
902,33768,4347,4346,1613
903,33767,4345,4344,1612
904,33766,4343,4342,1611
905,33765,4341,4340,1610
906,33875,4400,4399,1639
907,33874,4398,4397,1638
908,33873,4396,4395,1637
909,33872,4394,4393,1636
910,33871,4392,4391,1635
911,33870,4390,4389,1634
912,33869,4388,4387,1633
913,33868,4386,4385,1632
914,33867,4384,4383,1631
915,33866,4382,4381,1630
916,33865,4380,4379,1629
917,33864,4378,4377,1628
918,33863,4376,4375,1627
919,33862,4374,4373,1626
920,33861,4372,4371,1625
921,33971,4431,4430,1654
922,33970,4429,4428,1653
923,33969,4427,4426,1652
924,33968,4425,4424,1651
925,33967,4423,4422,1650
926,33966,4421,4420,1649
927,33965,4419,4418,1648
928,33964,4417,4416,1647
929,33963,4415,4414,1646
930,33962,4413,4412,1645
931,33961,4411,4410,1644
932,33960,4409,4408,1643
933,33959,4407,4406,1642
934,33958,4405,4404,1641
935,33957,4403,4402,1640
936,34689,4474,4473,1667
937,34688,4472,4471,1666
938,34687,4470,4469,1665
939,34729,4483,4482,1671
940,34728,4481,4480,1670
941,34727,4479,4478,1669
942,34726,4477,4476,1668
943,34759,4490,4489,1674
944,34758,4488,4487,1673
945,34757,4486,4485,1672
946,34797,4501,4500,1679
947,34796,4499,4498,1678
948,34795,4497,4496,1677
949,34794,4495,4494,1676
950,34793,4493,4492,1675
951,34835,4512,4511,1684
952,34834,4510,4509,1683
953,34833,4508,4507,1682
954,34832,4506,4505,1681
955,34831,4504,4503,1680
956,34893,4529,4528,1692
957,34892,4527,4526,1691
958,34891,4525,4524,1690
959,34890,4523,4522,1689
960,34889,4521,4520,1688
961,34888,4519,4518,1687
962,34887,4517,4516,1686
963,34886,4515,4514,1685
