ID,TraitDefinitionID,MaxRanks,NodeEntryType
13430,14149,1,2
13431,14150,1,1
13432,14151,1,2
13433,14152,1,2
13434,14153,1,2
13435,14154,1,2
13436,14155,1,1
13437,14156,1,2
13438,14157,1,2
13439,14158,1,1
13440,14159,2,2
13441,14160,2,2
13442,14161,1,2
13443,14162,1,2
13444,14163,1,2
13445,14164,1,1
13446,14165,1,2
13447,14166,2,2
13448,14167,1,2
13449,14168,1,2
13450,14169,1,1
13451,14170,1,1
13452,14171,1,2
13453,14172,1,2
13454,14173,1,2
13455,14174,1,1
13456,14175,1,1
13457,14176,1,2
13458,14177,2,2
13459,14178,2,2
13460,14179,1,2
13461,14180,1,1
13462,14181,1,1
13463,14182,1,2
13464,14183,1,1
13465,14184,2,2
13466,14185,1,1
13467,14186,1,1
13468,14187,1,2
13469,14188,1,2
13470,14189,1,1
13471,14190,1,2
13472,14191,3,2
13473,14192,1,2
13474,14193,1,1
13475,14194,1,2
13476,14195,1,1
13477,14196,1,2
13478,14197,1,2
13479,14198,1,1
13480,14199,2,2
13481,14200,2,2
13482,14201,2,2
13483,14202,1,1
13484,14203,1,2
13485,14204,2,2
13486,14205,1,2
13487,14206,1,2
13488,14207,1,2
13489,14208,1,2
13490,14209,1,1
13491,14210,1,2
13492,14211,1,2
13493,14212,1,2
13494,14213,1,1
13495,14214,1,1
13496,14215,1,2
13497,14216,2,2
13498,14217,1,1
13499,14218,1,1
13500,14219,2,2
13501,14220,1,1
13502,14221,1,2
13503,14222,1,2
13504,14223,1,2
13505,14224,2,2
13506,14225,1,1
13507,14226,3,2
13508,14227,1,2
13509,14228,1,2
13510,14229,3,2
13511,14230,1,2
13512,14231,1,2
13513,14232,1,1
13514,14233,1,1
13515,14234,2,2
13516,14235,1,1
13517,14236,1,1
13518,14237,1,1
13519,14238,1,1
13520,14239,1,1
13521,14240,3,2
13522,14241,1,1
13523,14242,1,1
13524,14243,1,2
13525,14244,1,2
13526,14245,1,1
13527,14246,1,1
13528,14247,3,2
13744,14463,0,3
13745,14464,0,3
13746,14465,1,1
13747,14466,1,2
13748,14467,1,1
13749,14468,1,2
13750,14469,1,1
13751,14470,2,2
13752,14471,3,2
13753,14472,1,1
13754,14473,2,2
13755,14474,1,2
13756,14475,1,1
13757,14476,2,2
13758,14477,2,2
13759,14478,1,2
13760,14479,1,2
13761,14480,1,2
13762,14481,1,2
13763,14482,1,2
13764,14483,1,2
13765,14484,1,1
13766,14485,1,2
13767,14486,1,1
13768,14487,1,1
13769,14488,1,2
13770,14489,2,2
13771,14490,1,2
13772,14491,1,1
13773,14492,1,2
13774,14493,1,2
13775,14494,1,2
13776,14495,1,2
13777,14496,1,2
13778,14497,1,2
13779,14498,2,2
13780,14499,1,2
13781,14500,1,2
13782,14501,2,2
13783,14502,1,2
13784,14503,1,2
13785,14504,2,2
13786,14505,1,2
13787,14506,1,2
13788,14507,1,1
13789,14508,1,2
13790,14509,2,2
13791,14510,1,2
13792,14511,1,1
13793,14512,1,1
13794,14513,1,2
13795,14514,1,2
13796,14515,1,2
13797,14516,1,2
13798,14517,2,2
13799,14518,1,2
13800,14519,1,2
13801,14520,1,2
13802,14521,1,2
13803,14522,1,2
13804,14523,1,2
13805,14524,3,2
13806,14525,1,2
13807,14526,1,2
13808,14527,2,2
13809,14528,1,1
13810,14529,1,1
13811,14530,1,2
13812,14531,2,2
13813,14532,1,2
13814,14533,1,1
13815,14534,1,2
13816,14535,1,2
13817,14536,1,2
13818,14537,1,2
13819,14538,2,2
13820,14539,1,1
13821,14540,1,1
13822,14541,1,1
13823,14542,1,1
13824,14543,1,2
13825,14544,1,1
13826,14545,1,2
13827,14546,1,2
13828,14547,2,2
13829,14548,3,2
13830,14549,3,2
13831,14550,1,1
13832,14551,1,2
13833,14552,1,2
13834,14553,2,2
13835,14554,3,2
13836,14555,1,1
13837,14556,1,2
13838,14557,2,2
13839,14558,1,1
13840,14559,1,1
13841,14560,1,2
13842,14561,1,2
13843,14562,1,2
13844,14563,1,1
13845,14564,1,2
13846,14565,1,1
13847,14566,1,1
13848,14567,2,2
13849,14568,1,1
13850,14569,1,1
13851,14570,1,2
13852,14571,1,2
13853,14572,1,2
13854,14573,1,2
13855,14574,1,2
13856,14575,2,2
13857,14576,1,2
13858,14577,2,2
13859,14578,2,2
13860,14579,1,2
13861,14580,1,2
13862,14581,1,2
13863,14582,1,2
13864,14583,2,2
13865,14584,1,2
13866,14585,1,2
13867,14586,2,2
13868,14587,1,1
13869,14588,1,1
13870,14589,2,2
13871,14590,2,2
13872,14591,1,2
13873,14592,2,2
13874,14593,1,1
13875,14594,1,1
13876,14595,1,1
13877,14596,2,2
13878,14597,2,2
13879,14598,1,1
13880,14599,1,2
13881,14600,2,2
13882,14601,1,2
13883,14602,2,2
13884,14603,1,2
13885,14604,1,2
13886,14605,1,2
13887,14606,1,1
13888,14607,1,1
13889,14608,2,2
13890,14609,1,2
13891,14610,1,2
13892,14611,1,2
13893,14612,1,1
13894,14613,1,2
13895,14614,1,2
13896,14615,1,1
13897,14616,1,1
13898,14617,1,2
13899,14618,1,2
13900,14619,1,2
13901,14620,2,2
13902,14621,1,1
13903,14622,2,2
13904,14623,1,2
13905,14624,1,2
13906,14625,1,1
13907,14626,1,2
13908,14627,2,2
13909,14628,3,2
13910,14629,1,1
13911,14630,1,2
13912,14631,1,1
13913,14632,1,1
13914,14633,2,2
13915,14634,2,2
13916,14635,1,1
13917,14636,1,1
13918,14637,1,2
13919,14638,1,2
13920,14639,2,2
13921,14640,1,2
13922,14641,1,2
13923,14642,1,1
13924,14643,1,1
13925,14644,2,2
13926,14645,1,2
13927,14646,1,1
13928,14647,1,1
13929,14648,3,2
13930,14649,1,1
13931,14650,1,1
13932,14651,1,1
13933,14652,1,1
13934,14653,2,2
13935,14654,1,1
13936,14655,1,1
13937,14656,3,2
13938,14657,1,1
13939,14658,1,2
13940,14659,2,2
13941,14660,1,1
13942,14661,1,1
13943,14662,1,1
13944,14663,1,1
13945,14664,1,2
13946,14665,1,1
13947,14666,1,1
13948,14667,1,1
13949,14668,2,2
13950,14669,1,1
13951,14670,1,1
13952,14671,1,1
13953,14672,1,1
13954,14673,1,1
13955,14674,1,1
13956,14675,1,1
13957,14676,1,1
13958,14677,1,1
19847,20223,1,1
19848,20224,1,1
19849,20225,1,2
19850,20226,1,2
19851,20227,1,2
19852,20228,1,1
19853,20229,1,2
19854,20230,1,2
19855,20231,1,1
19856,20232,1,2
19857,20233,1,1
19858,20234,2,2
19859,20235,1,2
19860,20236,1,1
19861,20237,1,2
19862,20238,1,2
19863,20239,1,2
19864,20240,1,2
19865,20241,2,2
19866,20242,2,2
19867,20243,1,1
19868,20244,2,2
19869,20245,1,1
19870,20246,1,2
19871,20247,1,2
19872,20248,1,1
19873,20249,1,1
19874,20250,1,2
19875,20251,1,2
19876,20252,1,1
19877,20253,1,1
19878,20254,2,2
19879,20255,1,2
19880,20256,2,2
19881,20257,1,2
19882,20258,3,2
19883,20259,1,1
19884,20260,1,2
19885,20261,1,2
19886,20262,2,2
19887,20263,1,1
19888,20264,1,2
19889,20265,1,2
19890,20266,1,1
19891,20267,1,2
19892,20268,1,2
19893,20269,1,2
19894,20270,1,1
19895,20271,1,1
19896,20272,1,1
19897,20273,1,2
19898,20274,1,1
19899,20275,1,2
19900,20276,2,2
19901,20277,1,2
19902,20278,1,2
19903,20279,1,1
19904,20280,1,2
19905,20281,2,2
19906,20282,1,1
19907,20283,1,1
19908,20284,2,2
19909,20285,1,2
19910,20286,1,2
19911,20287,2,2
19912,20288,2,2
19913,20289,1,1
19914,20290,1,1
19915,20291,1,2
19916,20292,1,2
19917,20293,1,2
19918,20294,1,1
19919,20295,1,1
19920,20296,1,2
19921,20297,1,2
19922,20298,2,2
19923,20299,2,2
19924,20300,1,1
19925,20301,1,1
19926,20302,2,2
19927,20303,2,2
19928,20304,1,2
19929,20305,2,2
19930,20306,1,1
19931,20307,1,1
19932,20308,2,2
19933,20309,1,2
19934,20310,1,2
19935,20311,1,2
19936,20312,2,2
19937,20313,2,2
19938,20314,1,2
19939,20315,1,1
19940,20316,2,2
19941,20317,1,1
19942,20318,1,1
19943,20319,1,1
19944,20320,2,2
19945,20321,1,2
19946,20322,1,1
19947,20323,1,1
19948,20324,1,2
19949,20325,2,2
19950,20326,1,1
19951,20327,1,1
19952,20328,2,2
19953,20329,2,2
19954,20330,1,1
19955,20331,1,1
19956,20332,2,2
19957,20333,1,2
19958,20334,1,2
19959,20335,1,2
19960,20336,2,2
19961,20337,3,2
19962,20338,1,2
19963,20339,1,1
19964,20340,1,2
19965,20341,1,2
19966,20342,1,2
19967,20343,1,1
19968,20344,1,1
19969,20345,1,1
19970,20346,1,1
19971,20347,1,1
19972,20348,1,2
19973,20349,1,1
19974,20350,1,2
19975,20351,2,2
19976,20352,2,2
19977,20353,1,2
19978,20354,1,1
19979,20355,1,1
19980,20356,1,1
19981,20357,1,1
19982,20358,1,2
19983,20359,2,2
19984,20360,1,2
19985,20361,1,2
19986,20362,2,2
19987,20363,1,1
19988,20364,1,1
19989,20365,1,1
19990,20366,1,1
19991,20367,1,1
19992,20368,1,2
19993,20369,1,1
19994,20370,1,1
19995,20371,1,1
19996,20372,1,1
19997,20373,1,1
19998,20374,2,2
19999,20375,1,1
20000,20376,1,1
20001,20377,2,2
20002,20378,1,2
20003,20379,1,2
20004,20380,2,2
20005,20381,1,2
20006,20382,2,2
20007,20383,1,2
20008,20384,1,2
20009,20385,1,2
20010,20386,1,1
20011,20387,1,2
20012,20388,1,1
20013,20389,1,1
20014,20390,1,1
20015,20391,2,2
20016,20392,1,1
20017,20393,1,1
20018,20394,1,2
20019,20395,1,1
20020,20396,1,1
20021,20397,2,2
20022,20398,1,1
20023,20399,2,2
20024,20400,1,2
20259,20635,1,1
20260,20636,2,0
20261,20637,1,1
20262,20638,1,0
20263,20639,1,1
20264,20640,1,0
20265,20641,1,0
20266,20642,1,0
20267,20643,2,0
20268,20644,2,0
20269,20645,1,0
20270,20646,1,0
20271,20647,1,1
20272,20648,1,0
20273,20649,1,1
20274,20650,2,0
20275,20651,1,0
20276,20652,1,1
20277,20653,1,0
20278,20654,1,1
20279,20655,1,0
20280,20656,1,0
20281,20657,1,0
20282,20658,1,0
20283,20659,2,0
20284,20660,2,0
20285,20661,1,0
20286,20662,1,0
20287,20663,2,0
20288,20664,1,1
20289,20665,1,1
20290,20666,1,1
20291,20667,2,0
20292,20668,1,1
20293,20669,1,0
20294,20670,1,0
20295,20671,2,0
20296,20672,1,0
20297,20673,1,0
20298,20674,1,1
20299,20675,1,0
20300,20676,1,0
20301,20677,1,0
20302,20678,1,0
20303,20679,1,0
20304,20680,1,0
20305,20681,1,1
20306,20682,2,0
20307,20683,2,0
20308,20684,2,0
20309,20685,1,0
20310,20686,1,0
20311,20687,1,0
20312,20688,1,0
20313,20689,2,0
20314,20690,1,0
20315,20691,2,0
20316,20692,1,0
20317,20693,1,0
20318,20694,1,0
20319,20695,1,0
20320,20696,1,0
20321,20697,1,0
20322,20698,1,0
20323,20699,3,0
20324,20700,1,1
20325,20701,1,1
20326,20702,1,0
20327,20703,1,0
20328,20704,1,0
20329,20705,1,1
20330,20706,1,1
20331,20707,2,0
20332,20708,2,0
20333,20709,1,0
20334,20710,1,1
20335,20711,1,0
20336,20712,1,1
20337,20713,1,0
20338,20714,2,0
20339,20715,3,0
20340,20716,1,0
20341,20717,1,0
20342,20718,1,1
20343,20719,1,0
20344,20720,1,0
20345,20721,1,1
20346,20722,1,1
20347,20723,1,1
20348,20724,1,0
20349,20725,1,0
20350,20726,1,0
20351,20727,1,0
20352,20728,1,1
20353,20729,1,0
20354,20730,1,0
20355,20731,1,0
20356,20732,1,0
20357,20733,1,0
20358,20734,1,1
20359,20735,1,1
20360,20736,2,0
20361,20737,1,0
20362,20738,1,0
20363,20739,1,1
20364,20740,1,1
20365,20741,1,1
20366,20742,1,0
20367,20743,2,0
20368,20744,2,0
20369,20745,1,1
20370,20746,2,0
20371,20747,1,1
20372,20748,1,1
20373,20749,1,0
20374,20750,1,1
20375,20751,2,0
20376,20752,3,0
20377,20753,1,0
20378,20754,2,0
20379,20755,1,0
20380,20756,1,0
20381,20757,1,1
20382,20758,1,0
20383,20759,3,0
20384,20760,2,0
20385,20761,1,0
20386,20762,1,1
20387,20763,1,0
20388,20764,1,0
20389,20765,2,0
20390,20766,1,0
20391,20767,1,0
20392,20768,1,0
20393,20769,1,0
20394,20770,1,1
20395,20771,1,0
20396,20772,1,0
20397,20773,1,1
20398,20774,1,0
20399,20775,1,1
20400,20776,1,0
20401,20777,1,0
20402,20778,1,1
20403,20779,1,0
20404,20780,1,1
20405,20781,1,0
20406,20782,1,0
20407,20783,1,0
20408,20784,1,0
20409,20785,1,0
20410,20786,1,0
20411,20787,1,1
20412,20788,1,0
20413,20789,2,0
20414,20790,1,1
20415,20791,2,0
20416,20792,1,0
20417,20793,1,0
20418,20794,1,0
20419,20795,2,0
20420,20796,1,1
20421,20797,1,0
20422,20798,1,1
20423,20799,1,1
20424,20800,1,1
20425,20801,1,1
20426,20802,1,0
20427,20803,3,0
20428,20804,1,0
20429,20805,1,0
20430,20806,1,1
20574,20950,1,8
20575,20951,1,8
20576,20952,1,8
20577,20953,1,8
20578,20954,1,8
20579,20955,20,7
20580,20956,1,8
20581,20957,1,8
20582,20958,1,8
20583,20959,1,8
20584,20960,1,8
20585,20961,20,7
20586,20962,1,8
20587,20963,1,8
20588,20964,1,8
20589,20965,1,8
20590,20966,1,8
20591,20967,1,8
20592,20968,1,8
20593,20969,30,7
20594,20970,1,8
20595,20971,1,8
20596,20972,1,8
20597,20973,1,8
20598,20974,1,8
20599,20975,1,8
20600,20976,1,8
20601,20977,30,7
20602,20978,1,8
20603,20979,1,8
20604,20980,1,8
20605,20981,1,8
20606,20982,1,8
20607,20983,1,8
20608,20984,1,8
20609,20985,1,8
20610,20986,1,8
20611,20987,40,7
20612,20988,1,9
20613,20989,1,9
20614,20990,1,9
20615,20991,1,9
20616,20992,1,9
20617,20993,1,8
20618,20994,1,8
20619,20995,1,8
20620,20996,1,8
20621,20997,1,8
20622,20998,1,8
20623,20999,1,8
20624,21000,30,7
20625,21001,1,8
20626,21002,1,8
20627,21003,1,8
20628,21004,1,8
20629,21005,1,8
20630,21006,1,8
20631,21007,1,8
20632,21008,30,7
20633,21009,1,8
20634,21010,1,8
20635,21011,1,8
20636,21012,1,8
20637,21013,1,8
20638,21014,1,8
20639,21015,1,8
20640,21016,30,7
20641,21017,1,8
20642,21018,1,8
20643,21019,1,8
20644,21020,1,8
20645,21021,1,8
20646,21022,1,8
20647,21023,1,8
20648,21024,30,7
20649,21025,1,8
20650,21026,1,8
20651,21027,1,8
20652,21028,1,8
20653,21029,1,8
20654,21030,1,8
20655,21031,1,8
20656,21032,30,7
20657,21033,1,8
20658,21034,1,8
20659,21035,1,8
20660,21036,1,8
20661,21037,1,8
20662,21038,1,8
20663,21039,1,8
20664,21040,30,7
20665,21041,1,8
20666,21042,1,8
20667,21043,1,8
20668,21044,1,8
20669,21045,1,8
20670,21046,1,8
20671,21047,1,8
20672,21048,30,7
20673,21049,1,9
20674,21050,1,9
20675,21051,1,9
20676,21052,1,9
20677,21053,1,9
20678,21054,1,9
20679,21055,1,9
20962,21338,0,3
20963,21339,1,2
20964,21340,1,2
20965,21341,1,2
20966,21342,1,2
20967,21343,1,2
20968,21344,1,2
20969,21345,1,2
20970,21346,1,2
20971,21347,1,2
20972,21348,1,1
20973,21349,1,1
20974,21350,1,2
20975,21351,1,2
20976,21352,1,2
20977,21353,3,2
20978,21354,1,2
20979,21355,3,2
20980,21356,1,2
20981,21357,1,2
20982,21358,1,2
20983,21359,1,1
20984,21360,1,1
20985,21361,1,1
20986,21362,1,2
20987,21363,1,2
20988,21364,1,2
20989,21365,1,2
20990,21366,1,2
20991,21367,3,2
20992,21368,1,2
20993,21369,3,2
20994,21370,1,2
20995,21371,1,2
20996,21372,3,2
20997,21373,1,2
20998,21374,1,2
20999,21375,3,2
21000,21376,1,2
21001,21377,1,2
21002,21378,1,1
21003,21379,1,1
21004,21380,1,1
21005,21381,1,2
21006,21382,1,1
21007,21383,1,1
21008,21384,1,2
21009,21385,1,2
21010,21386,1,2
21011,21387,1,2
21012,21388,2,2
21013,21389,1,2
21014,21390,2,2
21015,21391,1,2
21016,21392,1,2
21017,21393,1,2
21018,21394,1,2
21019,21395,1,1
21020,21396,1,0
21021,21397,1,0
21022,21398,1,1
21023,21399,2,2
21024,21400,1,2
21025,21401,1,2
21026,21402,2,2
21027,21403,1,2
21028,21404,1,2
21029,21405,1,1
21030,21406,1,2
21031,21407,2,2
21032,21408,1,2
21033,21409,2,2
21034,21410,1,2
21035,21411,1,1
21036,21412,1,2
21037,21413,1,2
21038,21414,2,2
21039,21415,2,2
21040,21416,1,2
21041,21417,1,1
21042,21418,1,2
21043,21419,2,2
21044,21420,1,2
21045,21421,2,2
21046,21422,1,2
21047,21423,1,2
21048,21424,1,2
21049,21425,1,1
21050,21426,1,2
21051,21427,2,2
21052,21428,1,1
21053,21429,1,2
21054,21430,1,2
21055,21431,1,1
21056,21432,1,2
21057,21433,2,2
21058,21434,2,2
21059,21435,1,2
21060,21436,1,2
21061,21437,1,1
21062,21438,1,2
21063,21439,1,2
21064,21440,1,2
21065,21441,1,2
21066,21442,1,1
21067,21443,1,2
21068,21444,1,2
21069,21445,1,1
21070,21446,1,2
21071,21447,1,1
21072,21448,2,2
21073,21449,2,2
21074,21450,1,1
21075,21451,1,1
21076,21452,2,2
21077,21453,1,1
21078,21454,1,1
21079,21455,2,2
21080,21456,1,1
21081,21457,1,1
21082,21458,1,1
21083,21459,1,2
21084,21460,2,2
21085,21461,1,2
21086,21462,2,2
21087,21463,1,1
21392,21768,1,1
21393,21769,1,1
21394,21770,1,1
21395,21771,1,1
21396,21772,1,1
21397,21773,1,1
21398,21774,1,1
21399,21775,1,2
21400,21776,1,1
21401,21777,1,1
21402,21778,3,2
21403,21779,1,2
21404,21780,2,2
21405,21781,3,2
21406,21782,1,1
21407,21783,1,1
21408,21784,1,1
21409,21785,2,2
21410,21786,3,2
21411,21787,3,2
21412,21788,2,2
21413,21789,1,1
21414,21790,2,2
21415,21791,2,2
21416,21792,2,2
21417,21793,3,2
21418,21794,1,1
21419,21795,3,2
21420,21796,1,2
21421,21797,3,2
21422,21798,1,1
21423,21799,1,2
21424,21800,1,1
21425,21801,1,2
21426,21802,1,1
21427,21803,1,1
21428,21804,1,2
21429,21805,3,2
21430,21806,3,2
21431,21807,3,2
21432,21808,1,2
21433,21809,1,2
21434,21810,1,1
21435,21811,1,1
21436,21812,3,2
21437,21813,1,1
21438,21814,1,2
21439,21815,2,2
21440,21816,2,2
21441,21817,1,2
21442,21818,2,2
21443,21819,1,1
21444,21820,2,2
21445,21821,1,1
21446,21822,1,2
21447,21823,1,2
21448,21824,1,2
21449,21825,1,1
21450,21826,1,2
21451,21827,2,2
21452,21828,2,2
21453,21829,2,2
21454,21830,1,1
21455,21831,2,2
21456,21832,1,2
21457,21833,2,2
21458,21834,3,2
21459,21835,2,2
21460,21836,2,2
21461,21837,1,2
21462,21838,1,2
21463,21839,1,2
21464,21840,2,2
21465,21841,2,2
21466,21842,2,2
21467,21843,1,2
21468,21844,1,2
21469,21845,1,2
21470,21846,1,2
21471,21847,1,2
21472,21848,1,2
21473,21849,1,2
21474,21850,1,1
21475,21851,1,1
21476,21852,2,2
21477,21853,1,1
21478,21854,1,1
21479,21855,2,2
21480,21856,1,2
21481,21857,1,1
21482,21858,1,2
21483,21859,1,2
21484,21860,2,2
21485,21861,1,1
21486,21862,2,2
21487,21863,1,1
21488,21864,1,1
21489,21865,1,1
21490,21866,1,1
21491,21867,1,1
21492,21868,1,1
21493,21869,3,2
21494,21870,2,2
21495,21871,2,2
21496,21872,2,2
21497,21873,3,2
21498,21874,2,2
21499,21875,1,1
21500,21876,2,2
21501,21877,3,2
21502,21878,1,1
21503,21879,1,1
21504,21880,3,2
21505,21881,1,2
21506,21882,2,2
21507,21883,2,2
21508,21884,3,2
21509,21885,1,1
21510,21886,1,1
21511,21887,1,1
21512,21888,3,2
21513,21889,1,1
21514,21890,1,1
21515,21891,1,1
21516,21892,2,2
21517,21893,1,1
21518,21894,2,2
21519,21895,2,2
21520,21896,1,1
21521,21897,2,2
21522,21898,2,2
21523,21899,1,2
21524,21900,1,2
21525,21901,1,2
21526,21902,2,2
21527,21903,1,1
21528,21904,1,1
21529,21905,2,2
21530,21906,2,2
21531,21907,3,2
21532,21908,1,2
21533,21909,1,1
21534,21910,1,1
21535,21911,3,2
21536,21912,2,2
21537,21913,1,2
21538,21914,1,1
21539,21915,2,2
21540,21916,1,2
21541,21917,1,2
21542,21918,2,2
21543,21919,1,2
21544,21920,3,2
21545,21921,2,2
21546,21922,2,2
21547,21923,1,1
21548,21924,1,1
21765,22141,2,2
21766,22142,0,3
21767,22143,0,3
21768,22144,1,1
21769,22145,1,1
21770,22146,3,2
21771,22147,1,2
21772,22148,1,2
21773,22149,2,2
21774,22150,1,1
21775,22151,1,1
21776,22152,3,2
21777,22153,1,1
21778,22154,1,1
21779,22155,1,2
21780,22156,1,1
21781,22157,1,2
21782,22158,1,2
21783,22159,1,1
21784,22160,1,1
21785,22161,1,2
21786,22162,1,1
21787,22163,1,1
21788,22164,1,2
21789,22165,1,2
21790,22166,2,2
21791,22167,1,1
21792,22168,2,2
21793,22169,1,2
21794,22170,1,2
21795,22171,3,2
21796,22172,1,1
21797,22173,1,2
21798,22174,2,2
21799,22175,1,2
21800,22176,1,2
21801,22177,1,2
21802,22178,1,2
21803,22179,1,1
21804,22180,1,1
21805,22181,2,2
21806,22182,1,2
21807,22183,1,2
21808,22184,1,1
21809,22185,2,2
21810,22186,2,2
21811,22187,1,2
21812,22188,2,2
21813,22189,1,2
21814,22190,1,2
21815,22191,1,2
21816,22192,1,2
21817,22193,1,2
21818,22194,2,2
21819,22195,2,2
21820,22196,1,2
21821,22197,1,2
21822,22198,1,1
21823,22199,1,1
21824,22200,1,2
21825,22201,1,2
21826,22202,1,2
21827,22203,1,2
21828,22204,1,1
21829,22205,1,1
21830,22206,2,2
21831,22207,2,2
21832,22208,1,2
21833,22209,1,1
21834,22210,1,2
21835,22211,1,2
21836,22212,1,2
21837,22213,1,1
21838,22214,1,2
21839,22215,1,2
21840,22216,2,2
21841,22217,3,2
21842,22218,1,2
21843,22219,1,2
21844,22220,1,1
21845,22221,1,2
21846,22222,1,1
21847,22223,2,2
21848,22224,2,2
21849,22225,1,2
21850,22226,1,1
21851,22227,2,2
21852,22228,1,1
21853,22229,1,2
21854,22230,2,2
21855,22231,1,1
21856,22232,1,1
21857,22233,1,1
21858,22234,2,2
21859,22235,1,2
21860,22236,1,2
21861,22237,1,2
21862,22238,1,1
21863,22239,1,2
21864,22240,1,2
21865,22241,1,2
21866,22242,1,2
21867,22243,1,2
21868,22244,1,1
21869,22245,1,1
21870,22246,1,2
21871,22247,2,2
21872,22248,1,2
21873,22249,1,2
21874,22250,2,2
21875,22251,1,2
21876,22252,1,2
21877,22253,2,2
21878,22254,2,2
