ID,Fidget,Index,CreatureSoundDataID
29519,35231,1,4383
29520,35232,2,4383
29521,35233,3,4383
29522,35243,1,4384
29523,35244,2,4384
29524,35245,3,4384
29525,35298,0,4386
29526,35299,1,4386
29527,35300,2,4386
29528,27182,0,4406
29529,36142,0,4407
29530,36146,1,4407
29531,36131,0,4408
29532,36136,1,4408
29533,36147,0,4409
29534,36362,1,4409
29535,36164,1,4410
29536,36184,1,4411
29537,36192,1,4412
29538,36246,0,4420
29539,36249,1,4420
29540,36248,2,4420
29541,36247,3,4420
29542,36295,3,4421
29543,36431,0,4427
29544,36444,1,4427
29545,36461,0,4428
29546,36459,1,4428
29547,36295,3,4429
29548,36551,3,4430
29549,36591,0,4434
29550,36639,3,4436
29551,36662,0,4438
29552,36667,1,4438
29553,36672,0,4439
29554,36676,1,4439
29555,35243,1,4445
29556,35244,2,4445
29557,35245,3,4445
29558,36904,1,4448
29559,36970,3,4450
29560,37108,0,4452
29561,3369,0,4460
29562,37230,1,4467
29563,553,2,4474
29564,556,2,4477
29565,557,3,4477
29566,391,0,4478
29567,1018,2,4478
29568,37622,0,4485
29569,37598,1,4487
29570,37598,2,4487
29571,37599,0,4488
29572,13752,0,4491
29573,13753,1,4491
29574,3608,0,4493
29575,37734,0,4495
29576,37734,0,4496
29577,38253,0,4504
29578,39330,0,4506
29579,39330,1,4506
29580,26836,0,4509
29581,38351,0,4514
29582,38691,0,4528
29583,38691,1,4528
29584,38691,2,4528
29585,38691,3,4528
29586,38698,0,4529
29587,36295,3,4531
29588,39042,1,4538
29589,13752,0,4542
29590,13753,1,4542
29591,27118,0,4547
29592,28911,1,4548
29593,32725,0,4549
29594,39734,1,4550
29595,32725,0,4552
29596,27118,0,4555
29597,26836,0,4556
29598,26958,0,4557
29599,27118,0,4558
29600,13752,0,4561
29601,13753,1,4561
29602,36662,0,4564
29603,36667,1,4564
29604,36164,1,4565
29605,36904,1,4566
29606,36192,1,4567
29607,40063,1,4574
29608,40064,2,4574
29609,40065,3,4574
29610,49565,0,4576
29611,49566,1,4576
29612,40346,0,4580
29613,40345,1,4580
29614,40317,2,4580
29615,40349,3,4580
29616,40363,1,4582
29617,40519,0,4588
29618,40519,2,4588
29619,49090,0,4596
29620,41170,2,4612
29621,40363,1,4614
29622,41537,0,4619
29623,41581,0,4622
29624,41593,1,4623
29625,48447,0,4625
29626,48449,1,4625
29627,42212,0,4654
29628,42372,1,4670
29629,42462,1,4674
29630,42612,1,4680
29631,42612,2,4680
29632,42623,2,4681
29633,40519,0,4682
29634,40519,2,4682
29635,176329,0,4684
29636,42462,1,4686
29637,42702,1,4687
29638,48507,0,4688
29639,36295,3,4695
29640,26836,0,4702
29641,43189,0,4707
29642,43189,1,4707
29643,43372,2,4716
29644,48472,0,4732
29645,48433,1,4732
29646,43813,1,4733
29647,45122,2,4774
29648,45157,0,4777
29649,45158,2,4777
29650,47008,1,4846
29651,48158,1,4853
29652,49090,0,4855
29653,36295,3,4862
29654,38351,0,4874
29655,43372,2,4885
29656,48126,1,4887
29657,42702,1,4893
29658,48274,1,4894
29659,48351,2,4899
29660,48436,0,4901
29661,48433,1,4901
29662,48447,0,4902
29663,48450,1,4902
29664,48462,0,4903
29665,48459,1,4903
29666,48462,0,4906
29667,48459,1,4906
29668,48447,0,4907
29669,48450,1,4907
29670,48403,0,4908
29671,48406,1,4908
29672,48507,0,4909
29673,42744,0,4910
29674,48527,0,4911
29675,42462,1,4916
29676,42702,1,4917
29677,48837,1,4924
29678,40363,1,4928
29679,40961,0,4932
29680,47319,0,4933
29681,3425,0,4934
29682,704,0,4935
29683,704,1,4935
29684,28911,1,4937
29685,21448,0,4939
29686,21449,1,4939
29687,22454,2,4939
29688,22583,3,4939
29689,391,0,4942
29690,1018,1,4942
29691,49727,2,4956
29692,49802,0,4958
29693,1121,2,4959
29694,49816,0,4960
29695,49817,1,4960
29696,49838,0,4962
29697,25360,1,4964
29698,42744,0,4965
29699,51131,0,4967
29700,51108,2,4967
29701,50030,3,4968
29702,45158,0,4969
29703,40519,2,4969
29704,13576,2,4970
29705,51052,0,4984
29706,51200,0,4991
29707,32725,0,4993
29708,27049,1,4993
29709,47551,0,4994
29710,36295,3,4999
29711,49565,0,5001
29712,49566,1,5001
29713,51368,0,5005
29714,51440,0,5006
29715,51464,0,5008
29716,51131,0,5009
29717,51108,2,5009
29718,51502,0,5010
29719,51503,2,5010
29720,53237,0,5024
29721,43372,2,5025
29722,56845,0,5090
29723,56690,3,5092
29724,56729,1,5093
29725,57216,0,5137
29726,85119,0,5143
29727,68064,3,5148
29728,34167,0,5198
29729,34166,1,5198
29730,34165,2,5198
29731,130177,3,5199
29732,32332,1,5213
29733,16004,1,5227
29734,16004,3,5227
29735,17472,2,5228
29736,70673,0,5232
29737,73057,0,5233
29738,49565,0,5238
29739,49566,1,5238
29740,71485,0,5251
29741,7096,2,5255
29742,71703,2,5258
29743,72440,0,5274
29744,72446,0,5275
29745,72466,0,5276
29746,72780,1,5296
29747,172422,2,5307
29748,172421,3,5307
29749,73019,0,5310
29750,51108,2,5310
29751,76827,1,5312
29752,120208,0,5313
29753,49565,0,5316
29754,49566,1,5316
29755,73562,0,5347
29756,74157,2,5380
29757,17472,2,5394
29758,74579,1,5408
29759,75362,2,5450
29760,75561,1,5468
29761,75628,1,5470
29762,75683,3,5473
29763,74471,0,5498
29764,74471,1,5498
29765,74471,2,5498
29766,74471,3,5498
29767,73057,0,5507
29768,76709,0,5517
29769,77308,0,5518
29770,76738,0,5520
29771,40065,3,5528
29772,40065,3,5529
29773,49565,0,5534
29774,49566,1,5534
29775,76954,2,5536
29776,76978,0,5538
29777,76998,0,5542
29778,77195,0,5545
29779,77313,0,5559
29780,77794,0,5563
29781,36246,0,5566
29782,36249,1,5566
29783,36248,2,5566
29784,36247,3,5566
29785,36249,1,5571
29786,36248,2,5571
29787,36247,3,5571
29788,79416,1,5593
29789,79589,3,5603
29790,79631,0,5604
29791,79700,0,5607
29792,79713,0,5608
29793,79715,1,5608
29794,79714,2,5608
29795,79716,3,5608
29796,39042,1,5609
29797,79780,1,5611
29798,71485,0,5612
29799,39042,1,5613
29800,79908,0,5623
29801,79916,0,5625
29802,76738,0,5626
29803,80030,0,5628
29804,80032,1,5628
29805,51200,0,5629
29806,85088,0,5632
29807,80084,0,5633
29808,80104,0,5635
29809,80121,0,5636
29810,80138,0,5638
29811,85093,0,5642
29812,80173,1,5642
29813,80242,0,5648
29814,80242,1,5648
29815,80290,0,5650
29816,76325,0,5657
29817,81305,3,5657
29818,81991,0,5661
29819,83807,0,5686
29820,80290,0,5712
29821,51200,0,5713
29822,80173,0,5716
29823,80173,1,5716
29824,85088,0,5719
29825,80173,0,5720
29826,80173,1,5720
29827,85269,0,5723
29828,85269,2,5723
29829,51368,0,5724
29830,85471,1,5728
29831,40833,0,5729
29832,85534,0,5730
29833,86942,1,5730
29834,85521,2,5730
29835,87240,3,5730
29836,85686,0,5736
29837,85686,1,5736
29838,85550,2,5736
29839,85769,0,5741
29840,85896,0,5744
29841,89416,0,5783
29842,89707,0,5809
29843,90004,2,5823
29844,90685,0,5836
29845,90858,0,5837
29846,90880,0,5838
29847,90999,0,5841
29848,90998,1,5841
29849,91016,0,5846
29850,115191,0,5847
29851,91132,0,5851
29852,93245,0,5852
29853,92924,0,5856
29854,93119,0,5859
29855,49566,1,5859
29856,102537,0,5861
29857,93276,0,5863
29858,93277,1,5863
29859,93349,2,5866
29860,93350,3,5866
29861,93349,2,5868
29862,93350,3,5868
29863,104251,0,5871
29864,77195,0,5875
29865,94514,0,5877
29866,94529,1,5877
29867,94578,0,5879
29868,94579,1,5879
29869,118054,2,5879
29870,94993,0,5881
29871,94992,1,5881
29872,95016,0,5883
29873,95152,0,5887
29874,95153,1,5887
29875,103354,0,5914
29876,118086,3,5914
29877,95971,0,5921
29878,95970,1,5921
29879,95988,0,5923
29880,95985,1,5923
29881,98277,0,5931
29882,98325,3,5932
29883,99357,0,5933
29884,93356,1,5945
29885,104315,0,5946
29886,93356,1,5947
29889,101730,1,5964
29890,101768,0,5966
29892,103003,0,5976
29893,105740,1,5988
29894,105739,2,5988
29895,105738,3,5988
29896,103498,0,5989
29897,103354,0,5992
29898,103791,1,5992
29899,103869,2,5995
29900,98325,3,5995
29901,103939,0,5996
29902,103876,2,5996
29903,103923,0,5998
29904,105231,0,6004
29905,105231,0,6006
29906,105231,0,6007
29907,114778,0,6008
29908,105651,0,6009
29909,139705,0,6012
29910,105740,1,6012
29911,105739,2,6012
29912,105738,3,6012
29913,106627,2,6018
29914,106629,0,6019
29915,107483,0,6023
29916,107447,1,6023
29917,107484,2,6023
29918,2093,2,6038
29919,38351,0,6039
29920,108584,0,6044
29921,708,0,6046
29922,708,1,6046
29923,110064,1,6069
29924,103923,0,6070
29925,110115,0,6074
29926,110115,0,6075
29927,110486,0,6080
29928,110489,1,6080
29929,110488,2,6080
29930,110547,0,6084
29931,110548,1,6084
29932,111064,0,6096
29933,111065,1,6096
29934,111251,0,6101
29935,111252,1,6101
29936,112971,0,6123
29937,112835,1,6123
29938,113102,2,6123
29939,113127,3,6123
29940,113478,0,6140
29941,36147,0,6226
29942,36362,1,6226
29943,113503,0,6227
29944,79916,0,6243
29945,114018,0,6247
29946,114019,1,6247
29947,114020,2,6247
29948,114487,0,6257
29949,114778,0,6260
29950,114996,0,6263
29951,115002,1,6263
29952,115130,0,6272
29953,115392,0,6289
29954,115353,1,6289
29955,115669,0,6299
29956,115670,1,6299
29957,115670,2,6299
29958,3369,0,6301
29959,116095,0,6313
29960,101768,0,6314
29961,116263,0,6319
29962,116334,1,6320
29963,35243,1,6322
29964,35244,2,6322
29965,116568,3,6322
29966,116750,0,6325
29967,73576,0,6326
29968,73575,1,6326
29969,73574,2,6326
29970,147276,3,6326
29971,105740,1,6332
29972,105739,2,6332
29973,105738,3,6332
29974,16004,1,6335
29975,16004,3,6335
29976,38351,0,6336
29977,38351,0,6338
29978,26958,0,6339
29979,25153,0,6340
29980,114778,0,6346
29981,98325,3,6346
29982,42212,0,6349
29983,116263,0,6353
29984,120777,0,6360
29985,121116,2,6361
29986,121116,2,6362
29987,43372,2,6379
29988,123192,0,6380
29989,123186,1,6380
29990,1392,3,6380
29991,123281,0,6381
29992,123282,1,6381
29993,1392,3,6381
29994,1392,3,6382
29995,103256,0,6384
29996,103253,1,6384
29997,103252,2,6384
29998,103254,3,6384
29999,123293,0,6395
30000,123294,1,6395
30001,1392,3,6395
30002,103256,0,6396
30003,123304,1,6396
30004,103252,2,6396
30005,123305,3,6396
30006,40363,1,6404
30007,124276,0,6408
30008,51440,0,6414
30009,51440,0,6415
30010,43372,2,6416
30011,167083,0,6418
30012,167085,2,6418
30013,167086,3,6418
30014,16004,1,6421
30015,16004,3,6421
30016,125456,0,6422
30017,125458,1,6422
30018,125456,2,6422
30019,125458,3,6422
30020,125904,0,6428
30021,125905,1,6428
30022,137858,0,6429
30023,92924,0,6436
30024,129042,3,6468
30025,128958,0,6478
30026,120366,0,6484
30027,129022,0,6485
30028,129023,0,6487
30029,129036,1,6487
30030,129047,2,6487
30031,572,3,6487
30032,129026,0,6488
30033,148695,0,6507
30034,148699,1,6507
30035,129494,0,6512
30036,129453,0,6513
30037,129451,1,6513
30038,129570,2,6513
30039,129567,3,6513
30040,129026,0,6514
30041,103354,0,6515
30042,129605,1,6515
30043,129608,2,6515
30044,118086,3,6515
30045,27669,1,6518
30046,130047,3,6522
30047,130241,0,6538
30048,130298,1,6538
30049,130301,0,6540
30050,130263,1,6540
30051,130302,0,6543
30052,130303,1,6543
30053,130305,2,6543
30054,130277,0,6544
30055,130281,1,6544
30056,127936,0,6545
30057,127934,1,6545
30058,127932,2,6545
30059,127935,3,6545
30060,130177,3,6546
30061,130450,0,6547
30062,130993,0,6550
30063,130994,1,6550
30064,135778,0,6556
30065,131307,1,6556
30066,131304,0,6557
30067,131307,1,6557
30068,130177,3,6560
30069,134735,0,6579
30070,134441,1,6579
30071,134735,0,6580
30072,134455,0,6581
30073,134553,1,6581
30074,134622,0,6585
30075,134566,1,6585
30076,134861,0,6596
30077,134863,1,6596
30078,16004,1,6600
30079,16003,2,6600
30080,16004,3,6600
30081,135224,0,6606
30082,136021,0,6630
30083,136024,0,6631
30084,136505,0,6648
30085,136504,1,6648
30086,116263,0,6653
30087,136987,0,6662
30088,136988,1,6662
30089,136989,2,6662
30090,136990,3,6662
30091,120208,0,6670
30092,137703,0,6671
30093,137704,1,6671
30094,139008,0,6672
30095,139009,1,6672
30096,138505,2,6672
30097,139439,1,6679
30098,139440,2,6679
30099,139449,0,6681
30100,16004,1,6681
30101,139449,2,6681
30102,16004,3,6681
30103,139517,0,6682
30104,139519,1,6682
30105,139520,2,6682
30106,139518,3,6682
30107,139524,0,6683
30108,139523,1,6683
30109,139522,2,6683
30110,139581,3,6683
30111,112971,0,6684
30112,112835,1,6684
30113,113102,2,6684
30114,113127,3,6684
30115,139700,0,6685
30116,139701,1,6685
30117,139702,2,6685
30118,103003,0,6686
30119,140543,0,6691
30120,140550,0,6692
30121,140551,1,6692
30122,140552,2,6692
30123,140553,3,6692
30124,71485,0,6693
30125,142177,0,6698
30126,142178,1,6698
30127,142278,2,6698
30128,140615,0,6701
30129,140618,1,6701
30130,140616,2,6701
30131,140617,3,6701
30132,148271,0,6721
30133,148270,1,6721
30134,148271,0,6726
30135,148270,1,6726
30136,173200,3,6728
30137,140629,0,6730
30138,140631,1,6730
30139,140628,2,6730
30140,140627,3,6730
30141,146246,0,6743
30142,146244,1,6743
30143,146243,2,6743
30144,146916,0,6748
30145,146908,2,6748
30146,94578,0,6755
30147,94579,1,6755
30148,118054,2,6755
30149,147854,0,6762
30150,147855,1,6762
30151,147856,2,6762
30152,147857,3,6762
30153,147945,0,6764
30154,147946,1,6764
30155,147947,2,6764
30156,146964,0,6765
30157,148703,1,6765
30158,174563,0,6766
30159,174563,0,6767
30160,149259,0,6768
30161,153574,0,6771
30162,174559,0,6778
30163,157062,0,6787
30164,162190,1,6787
30165,162189,2,6787
30166,160039,3,6787
30167,157062,0,6788
30168,162190,1,6788
30169,162189,2,6788
30170,160039,3,6788
30171,154827,0,6796
30172,155010,0,6801
30173,17472,0,6802
30174,17472,1,6802
30175,17472,2,6802
30176,155018,3,6802
30177,174070,3,6805
30178,174070,3,6806
30179,160041,0,6808
30180,160040,1,6808
30181,176415,2,6808
30182,155968,1,6816
30183,156206,1,6820
30184,71485,0,6824
30185,71485,0,6825
30186,156244,0,6826
30187,156306,0,6828
30188,156314,0,6829
30189,154827,0,6831
30190,156795,0,6833
30191,156906,0,6835
30192,156889,1,6836
30193,174559,0,6840
30194,157408,0,6841
30195,157409,1,6841
30196,158025,0,6851
30197,158026,1,6851
30198,157002,0,6853
30199,157005,1,6853
30200,163684,2,6853
30201,163685,3,6853
30202,158899,0,6856
30203,158899,1,6856
30204,171762,2,6856
30205,171820,3,6856
30206,158493,0,6860
30207,158530,0,6863
30208,168997,0,6875
30209,171758,0,6880
30210,160182,0,6887
30211,159793,1,6887
30212,159794,2,6887
30213,159795,3,6887
30214,159858,0,6888
30215,165229,1,6888
30216,165230,2,6888
30217,165231,3,6888
30218,160034,1,6891
30219,168625,0,6910
30220,174912,0,6917
30221,176621,2,6917
30222,162159,0,6918
30223,176539,1,6918
30224,142175,0,6919
30225,142177,1,6919
30226,142178,2,6919
30227,142278,3,6919
30228,157062,0,6929
30229,162190,1,6929
30230,162189,2,6929
30231,160039,3,6929
30232,157002,0,6931
30233,157005,1,6931
30234,163684,2,6931
30235,163685,3,6931
30236,163717,0,6936
30237,164106,0,6940
30238,164108,1,6940
30239,164107,2,6940
30240,164109,3,6940
30241,174563,0,6949
30242,174563,0,6953
30243,176329,0,6961
30244,166077,0,6964
30245,157002,0,6969
30246,157005,1,6969
30247,163684,2,6969
30248,163685,3,6969
30249,157002,0,6970
30250,157005,1,6970
30251,163684,2,6970
30252,163685,3,6970
30253,157002,0,6972
30254,157005,1,6972
30255,163684,2,6972
30256,163685,3,6972
30257,157002,0,6973
30258,157005,1,6973
30259,163684,2,6973
30260,163685,3,6973
30261,175850,0,6975
30262,73576,0,6977
30263,73575,1,6977
30264,73574,2,6977
30265,147276,3,6977
30266,167031,0,6988
30267,167035,1,6988
30268,167033,2,6988
30269,167032,3,6988
30270,167046,0,6989
30271,167047,1,6989
30272,167049,2,6989
30273,167050,3,6989
30274,156306,0,6998
30275,167635,0,6999
30276,167636,1,6999
30277,176415,2,6999
30278,157002,0,7000
30279,157005,1,7000
30280,163684,2,7000
30281,163685,3,7000
30282,175632,1,7003
30283,168062,0,7005
30284,168063,1,7005
30285,174563,0,7006
30286,175626,1,7006
30287,176603,0,7015
30288,176604,0,7016
30289,168365,1,7018
30290,176611,2,7018
30291,168376,1,7019
30292,176612,2,7019
30293,168483,0,7023
30294,168485,1,7023
30295,168471,2,7023
30296,168478,3,7023
30297,168566,0,7025
30298,181707,0,7033
30299,168883,0,7035
30300,168886,1,7035
30301,168887,2,7035
30302,168888,3,7035
30303,168902,0,7037
30304,168903,1,7037
30305,168471,2,7037
30306,168478,3,7037
30307,168921,0,7038
30308,168923,2,7038
30309,168924,3,7038
30310,168941,0,7039
30311,168942,2,7039
30312,168943,3,7039
30313,168902,0,7040
30314,177717,1,7040
30315,168471,2,7040
30316,168478,3,7040
30317,169003,0,7041
30318,157002,0,7044
30319,157005,1,7044
30320,163684,2,7044
30321,163685,3,7044
30322,157002,0,7045
30323,157005,1,7045
30324,163684,2,7045
30325,163685,3,7045
30326,175152,0,7070
30327,175152,0,7072
30328,175153,0,7076
30329,175153,0,7077
30330,170397,0,7087
30331,170398,1,7087
30332,170397,0,7090
30333,170398,1,7090
30334,170397,0,7091
30335,170398,1,7091
30336,171783,0,7093
30337,176268,1,7093
30338,169103,0,7096
30339,169101,1,7096
30340,169095,2,7096
30341,169104,3,7096
30342,171772,0,7097
30343,171824,1,7097
30344,182756,2,7097
30345,171782,0,7098
30346,171823,1,7098
30347,171793,0,7099
30348,171821,1,7099
30349,165228,0,7100
30350,165227,0,7101
30351,172276,0,7104
30352,172277,1,7104
30353,172279,2,7104
30354,172280,3,7104
30355,172326,0,7108
30356,172327,1,7108
30357,172328,2,7108
30358,172329,3,7108
30359,172479,0,7110
30360,172480,1,7110
30361,172481,2,7110
30362,172482,3,7110
30363,173200,3,7116
30364,173200,3,7117
30365,174617,0,7127
30366,174618,1,7127
30367,174627,0,7128
30368,174628,1,7128
30369,175333,0,7131
30370,175333,1,7131
30371,175333,2,7131
30372,174872,3,7131
30373,175914,0,7138
30374,175902,1,7138
30375,154827,0,7140
30376,113553,0,7141
30377,113558,1,7141
30380,155010,0,7142
30381,176053,0,7143
30382,176475,0,7149
30383,176476,1,7149
30384,176477,2,7149
30385,176478,3,7149
30386,176507,1,7152
30388,176556,0,7154
30389,176557,1,7154
30390,168902,0,7156
30391,176601,1,7156
30392,168471,2,7156
30393,168478,3,7156
30394,177604,0,7171
30395,177605,1,7171
30396,167635,0,7174
30397,167636,1,7174
30398,176415,2,7174
30399,177713,0,7175
30400,177714,1,7175
30401,168483,0,7176
30402,177717,1,7176
30403,168471,2,7176
30404,168478,3,7176
30405,168902,0,7177
30406,177717,1,7177
30407,168471,2,7177
30408,168478,3,7177
30409,177768,0,7178
30410,177769,1,7178
30411,177796,0,7179
30412,177794,1,7179
30413,177795,2,7179
30414,177836,3,7179
30415,177924,0,7182
30416,178713,0,7187
30417,178714,1,7187
30418,178712,2,7187
30419,178881,0,7188
30420,178882,1,7188
30421,178889,2,7188
30422,178881,0,7189
30423,178882,1,7189
30424,178883,2,7189
30425,178889,3,7189
30426,181485,0,7192
30427,181496,1,7192
30428,181497,2,7192
30429,181498,3,7192
30430,184513,0,7194
30431,179033,0,7195
30432,179085,0,7196
30433,179313,0,7205
30434,179314,1,7205
30435,179646,0,7212
30436,179645,1,7212
30437,179647,2,7212
30438,179648,3,7212
30439,179379,0,7213
30440,179589,0,7219
30441,179590,1,7219
30442,184073,2,7219
30443,184074,3,7219
30444,179923,0,7220
