ID,EpicF[0],EpicF[1],SuperiorF[0],SuperiorF[1],GoodF[0],GoodF[1],Epic[0],Epic[1],Superior[0],Superior[1],Good[0],Good[1]
30,351.13544,280.90836,351.13544,280.90836,351.13544,280.90836,351,280,351,280,351,280
31,354.6468,283.71744,354.6468,283.71744,354.6468,283.71744,354,283,354,283,354,283
32,358.19327,286.5546,358.19327,286.5546,358.19327,286.5546,358,286,358,286,358,286
33,361.77518,289.42014,361.77518,289.42014,361.77518,289.42014,361,289,361,289,361,289
34,365.39294,292.31436,365.39294,292.31436,365.39294,292.31436,365,292,365,292,365,292
35,369.04688,295.2375,369.04688,295.2375,369.04688,295.2375,369,295,369,295,369,295
36,372.73734,298.18988,372.73734,298.18988,372.73734,298.18988,372,298,372,298,372,298
37,376.46472,301.17178,376.46472,301.17178,376.46472,301.17178,376,301,376,301,376,301
38,380.22937,304.18347,380.22937,304.18347,380.22937,304.18347,380,304,380,304,380,304
39,384.03165,307.2253,384.03165,307.2253,384.03165,307.2253,384,307,384,307,384,307
40,387.87198,310.29758,387.87198,310.29758,387.87198,310.29758,387,310,387,310,387,310
41,391.7507,313.40054,391.7507,313.40054,391.7507,313.40054,391,313,391,313,391,313
42,395.66818,316.53455,395.66818,316.53455,395.66818,316.53455,395,316,395,316,395,316
43,399.62488,319.6999,399.62488,319.6999,399.62488,319.6999,399,319,399,319,399,319
44,403.62112,322.8969,403.62112,322.8969,403.62112,322.8969,403,322,403,322,403,322
45,407.65735,326.12585,407.65735,326.12585,407.65735,326.12585,407,326,407,326,407,326
46,411.73392,329.38712,411.73392,329.38712,411.73392,329.38712,411,329,411,329,411,329
47,415.85126,332.681,415.85126,332.681,415.85126,332.681,415,332,415,332,415,332
48,420.00977,336.0078,420.00977,336.0078,420.00977,336.0078,420,336,420,336,420,336
49,424.20987,339.3679,424.20987,339.3679,424.20987,339.3679,424,339,424,339,424,339
50,428.45197,342.76157,428.45197,342.76157,428.45197,342.76157,428,342,428,342,428,342
51,432.73648,346.18918,432.73648,346.18918,432.73648,346.18918,432,346,432,346,432,346
52,437.06384,349.65106,437.06384,349.65106,437.06384,349.65106,437,349,437,349,437,349
53,441.43448,353.14758,441.43448,353.14758,441.43448,353.14758,441,353,441,353,441,353
54,445.84882,356.67905,445.84882,356.67905,445.84882,356.67905,445,356,445,356,445,356
55,450.3073,360.24585,450.3073,360.24585,450.3073,360.24585,450,360,450,360,450,360
56,454.8104,363.8483,454.8104,363.8483,454.8104,363.8483,454,363,454,363,454,363
57,459.3585,367.4868,459.3585,367.4868,459.3585,367.4868,459,367,459,367,459,367
58,463.9521,371.16165,463.9521,371.16165,463.9521,371.16165,463,371,463,371,463,371
59,468.59158,374.8733,468.59158,374.8733,468.59158,374.8733,468,374,468,374,468,374
60,473.27753,378.622,473.27753,378.622,473.27753,378.622,473,378,473,378,473,378
61,478.01028,382.40823,478.01028,382.40823,478.01028,382.40823,478,382,478,382,478,382
62,482.7904,386.2323,482.7904,386.2323,482.7904,386.2323,482,386,482,386,482,386
63,487.6183,390.09464,487.6183,390.09464,487.6183,390.09464,487,390,487,390,487,390
64,492.49448,393.99557,492.49448,393.99557,492.49448,393.99557,492,393,492,393,492,393
65,497.41943,397.93555,497.41943,397.93555,497.41943,397.93555,497,397,497,397,497,397
66,502.39362,401.9149,502.39362,401.9149,502.39362,401.9149,502,401,502,401,502,401
67,507.41754,405.93405,507.41754,405.93405,507.41754,405.93405,507,405,507,405,507,405
68,512.4917,409.99338,512.4917,409.99338,512.4917,409.99338,512,409,512,409,512,409
69,517.61664,414.09332,517.61664,414.09332,517.61664,414.09332,517,414,517,414,517,414
70,522.7928,418.23425,522.7928,418.23425,522.7928,418.23425,522,418,522,418,522,418
71,528.02075,422.4166,528.02075,422.4166,528.02075,422.4166,528,422,528,422,528,422
72,533.30096,426.64075,533.30096,426.64075,533.30096,426.64075,533,426,533,426,533,426
73,538.634,430.90717,538.634,430.90717,538.634,430.90717,538,430,538,430,538,430
74,544.0203,435.21625,544.0203,435.21625,544.0203,435.21625,544,435,544,435,544,435
75,549.4605,439.5684,549.4605,439.5684,549.4605,439.5684,549,439,549,439,549,439
76,554.9551,443.96408,554.9551,443.96408,554.9551,443.96408,554,443,554,443,554,443
77,560.50464,448.40372,560.50464,448.40372,560.50464,448.40372,560,448,560,448,560,448
78,566.1097,452.88776,566.1097,452.88776,566.1097,452.88776,566,452,566,452,566,452
79,571.7708,457.41663,571.7708,457.41663,571.7708,457.41663,571,457,571,457,571,457
80,577.4885,461.9908,577.4885,461.9908,577.4885,461.9908,577,461,577,461,577,461
81,583.26337,466.61072,583.26337,466.61072,583.26337,466.61072,583,466,583,466,583,466
82,589.096,471.27682,589.096,471.27682,589.096,471.27682,589,471,589,471,589,471
83,594.987,475.9896,594.987,475.9896,594.987,475.9896,594,475,594,475,594,475
84,600.9368,480.74948,600.9368,480.74948,600.9368,480.74948,600,480,600,480,600,480
85,606.9462,485.55698,606.9462,485.55698,606.9462,485.55698,606,485,606,485,606,485
86,613.0157,490.41254,613.0157,490.41254,613.0157,490.41254,613,490,613,490,613,490
87,619.1459,495.31668,619.1459,495.31668,619.1459,495.31668,619,495,619,495,619,495
88,625.3373,500.26984,625.3373,500.26984,625.3373,500.26984,625,500,625,500,625,500
89,631.5907,505.27255,631.5907,505.27255,631.5907,505.27255,631,505,631,505,631,505
90,637.90656,510.32526,637.90656,510.32526,637.90656,510.32526,637,510,637,510,637,510
91,644.28564,515.4285,644.28564,515.4285,644.28564,515.4285,644,515,644,515,644,515
92,650.7285,520.5828,650.7285,520.5828,650.7285,520.5828,650,520,650,520,650,520
93,657.2358,525.78864,657.2358,525.78864,657.2358,525.78864,657,525,657,525,657,525
94,663.80817,531.0465,663.80817,531.0465,663.80817,531.0465,663,531,663,531,663,531
95,670.4462,536.357,670.4462,536.357,670.4462,536.357,670,536,670,536,670,536
96,677.1507,541.7206,677.1507,541.7206,677.1507,541.7206,677,541,677,541,677,541
97,683.9222,547.13776,683.9222,547.13776,683.9222,547.13776,683,547,683,547,683,547
98,690.7614,552.60913,690.7614,552.60913,690.7614,552.60913,690,552,690,552,690,552
99,697.669,558.13525,697.669,558.13525,697.669,558.13525,697,558,697,558,697,558
100,704.64575,563.71655,704.64575,563.71655,704.64575,563.71655,704,563,704,563,704,563
101,711.6922,569.35376,711.6922,569.35376,711.6922,569.35376,711,569,711,569,711,569
102,718.8091,575.0473,718.8091,575.0473,718.8091,575.0473,718,575,718,575,718,575
103,725.9972,580.7977,725.9972,580.7977,725.9972,580.7977,725,580,725,580,725,580
104,733.25714,586.6057,733.25714,586.6057,733.25714,586.6057,733,586,733,586,733,586
105,740.5897,592.4718,740.5897,592.4718,740.5897,592.4718,740,592,740,592,740,592
106,747.9956,598.3965,747.9956,598.3965,747.9956,598.3965,747,598,747,598,747,598
107,755.4756,604.3805,755.4756,604.3805,755.4756,604.3805,755,604,755,604,755,604
108,763.03033,610.42426,763.03033,610.42426,763.03033,610.42426,763,610,763,610,763,610
109,770.66064,616.5285,770.66064,616.5285,770.66064,616.5285,770,616,770,616,770,616
110,778.36725,622.6938,778.36725,622.6938,778.36725,622.6938,778,622,778,622,778,622
111,786.15094,628.9207,786.15094,628.9207,786.15094,628.9207,786,628,786,628,786,628
112,794.01245,635.20996,794.01245,635.20996,794.01245,635.20996,794,635,794,635,794,635
113,801.9526,641.5621,801.9526,641.5621,801.9526,641.5621,801,641,801,641,801,641
114,809.9721,647.97766,809.9721,647.97766,809.9721,647.97766,809,647,809,647,809,647
115,818.07184,654.45746,818.07184,654.45746,818.07184,654.45746,818,654,818,654,818,654
116,826.2525,661.002,826.2525,661.002,826.2525,661.002,826,661,826,661,826,661
117,834.5151,667.61206,834.5151,667.61206,834.5151,667.61206,834,667,834,667,834,667
118,842.8602,674.28815,842.8602,674.28815,842.8602,674.28815,842,674,842,674,842,674
119,851.2888,681.03107,851.2888,681.03107,851.2888,681.03107,851,681,851,681,851,681
120,859.8017,687.8414,859.8017,687.8414,859.8017,687.8414,859,687,859,687,859,687
121,868.3997,694.7198,868.3997,694.7198,868.3997,694.7198,868,694,868,694,868,694
122,877.0837,701.667,877.0837,701.667,877.0837,701.667,877,701,877,701,877,701
123,885.85455,708.68365,885.85455,708.68365,885.85455,708.68365,885,708,885,708,885,708
124,894.7131,715.77045,894.7131,715.77045,894.7131,715.77045,894,715,894,715,894,715
125,903.6602,722.92816,903.6602,722.92816,903.6602,722.92816,903,722,903,722,903,722
126,912.69684,730.1575,912.69684,730.1575,912.69684,730.1575,912,730,912,730,912,730
127,921.8238,737.45905,921.8238,737.45905,921.8238,737.45905,921,737,921,737,921,737
128,931.04205,744.8336,931.04205,744.8336,931.04205,744.8336,931,744,931,744,931,744
129,940.3525,752.282,940.3525,752.282,940.3525,752.282,940,752,940,752,940,752
130,949.756,759.8048,949.756,759.8048,949.756,759.8048,949,759,949,759,949,759
131,959.25354,767.40283,959.25354,767.40283,959.25354,767.40283,959,767,959,767,959,767
132,968.84607,775.07684,968.84607,775.07684,968.84607,775.07684,968,775,968,775,968,775
133,978.53455,782.82764,978.53455,782.82764,978.53455,782.82764,978,782,978,782,978,782
134,988.3199,790.6559,988.3199,790.6559,988.3199,790.6559,988,790,988,790,988,790
135,998.20306,798.56244,998.20306,798.56244,998.20306,798.56244,998,798,998,798,998,798
136,1008.1851,806.5481,1008.1851,806.5481,1008.1851,806.5481,1008,806,1008,806,1008,806
137,1018.267,814.6136,1018.267,814.6136,1018.267,814.6136,1018,814,1018,814,1018,814
138,1028.4496,822.7597,1028.4496,822.7597,1028.4496,822.7597,1028,822,1028,822,1028,822
139,1038.7341,830.9873,1038.7341,830.9873,1038.7341,830.9873,1038,830,1038,830,1038,830
140,1049.1215,839.2972,1049.1215,839.2972,1049.1215,839.2972,1049,839,1049,839,1049,839
141,1059.6127,847.6901,1059.6127,847.6901,1059.6127,847.6901,1059,847,1059,847,1059,847
142,1070.2089,856.16705,1070.2089,856.16705,1070.2089,856.16705,1070,856,1070,856,1070,856
143,1080.9109,864.7287,1080.9109,864.7287,1080.9109,864.7287,1080,864,1080,864,1080,864
144,1091.72,873.376,1091.72,873.376,1091.72,873.376,1091,873,1091,873,1091,873
145,1102.6372,882.10974,1102.6372,882.10974,1102.6372,882.10974,1102,882,1102,882,1102,882
146,1113.6636,890.93085,1113.6636,890.93085,1113.6636,890.93085,1113,890,1113,890,1113,890
147,1124.8002,899.84015,1124.8002,899.84015,1124.8002,899.84015,1124,899,1124,899,1124,899
148,1136.0482,908.83856,1136.0482,908.83856,1136.0482,908.83856,1136,908,1136,908,1136,908
149,1147.4087,917.92694,1147.4087,917.92694,1147.4087,917.92694,1147,917,1147,917,1147,917
150,1158.8828,927.1062,1158.8828,927.1062,1158.8828,927.1062,1158,927,1158,927,1158,927
151,1170.4716,936.37726,1170.4716,936.37726,1170.4716,936.37726,1170,936,1170,936,1170,936
152,1182.1763,945.7411,1182.1763,945.7411,1182.1763,945.7411,1182,945,1182,945,1182,945
153,1193.998,955.1985,1193.998,955.1985,1193.998,955.1985,1193,955,1193,955,1193,955
154,1205.9381,964.7504,1205.9381,964.7504,1205.9381,964.7504,1205,964,1205,964,1205,964
155,1217.9974,974.39795,1217.9974,974.39795,1217.9974,974.39795,1217,974,1217,974,1217,974
156,1230.1774,984.14197,1230.1774,984.14197,1230.1774,984.14197,1230,984,1230,984,1230,984
157,1242.4792,993.98334,1242.4792,993.98334,1242.4792,993.98334,1242,993,1242,993,1242,993
158,1254.9039,1003.9232,1254.9039,1003.9232,1254.9039,1003.9232,1254,1003,1254,1003,1254,1003
159,1267.453,1013.9624,1267.453,1013.9624,1267.453,1013.9624,1267,1013,1267,1013,1267,1013
160,1280.1276,1024.102,1280.1276,1024.102,1280.1276,1024.102,1280,1024,1280,1024,1280,1024
161,1292.9288,1034.343,1292.9288,1034.343,1292.9288,1034.343,1292,1034,1292,1034,1292,1034
162,1305.8582,1044.6865,1305.8582,1044.6865,1305.8582,1044.6865,1305,1044,1305,1044,1305,1044
163,1318.9167,1055.1334,1318.9167,1055.1334,1318.9167,1055.1334,1318,1055,1318,1055,1318,1055
164,1332.1058,1065.6847,1332.1058,1065.6847,1332.1058,1065.6847,1332,1065,1332,1065,1332,1065
165,1345.4269,1076.3416,1345.4269,1076.3416,1345.4269,1076.3416,1345,1076,1345,1076,1345,1076
166,1358.8812,1087.105,1358.8812,1087.105,1358.8812,1087.105,1358,1087,1358,1087,1358,1087
167,1372.47,1097.976,1372.47,1097.976,1372.47,1097.976,1372,1097,1372,1097,1372,1097
168,1386.1947,1108.9558,1386.1947,1108.9558,1386.1947,1108.9558,1386,1108,1386,1108,1386,1108
169,1400.0566,1120.0453,1400.0566,1120.0453,1400.0566,1120.0453,1400,1120,1400,1120,1400,1120
170,1414.0573,1131.2457,1414.0573,1131.2457,1414.0573,1131.2457,1414,1131,1414,1131,1414,1131
171,1428.1978,1142.5582,1428.1978,1142.5582,1428.1978,1142.5582,1428,1142,1428,1142,1428,1142
172,1442.4797,1153.9838,1442.4797,1153.9838,1442.4797,1153.9838,1442,1153,1442,1153,1442,1153
173,1456.9045,1165.5237,1456.9045,1165.5237,1456.9045,1165.5237,1456,1165,1456,1165,1456,1165
174,1471.4736,1177.179,1471.4736,1177.179,1471.4736,1177.179,1471,1177,1471,1177,1471,1177
175,1486.1884,1188.9507,1486.1884,1188.9507,1486.1884,1188.9507,1486,1188,1486,1188,1486,1188
176,1501.0503,1200.8402,1501.0503,1200.8402,1501.0503,1200.8402,1501,1200,1501,1200,1501,1200
177,1516.0608,1212.8486,1516.0608,1212.8486,1516.0608,1212.8486,1516,1212,1516,1212,1516,1212
178,1531.2213,1224.977,1531.2213,1224.977,1531.2213,1224.977,1531,1224,1531,1224,1531,1224
179,1546.5336,1237.2268,1546.5336,1237.2268,1546.5336,1237.2268,1546,1237,1546,1237,1546,1237
180,1561.9989,1249.5991,1561.9989,1249.5991,1561.9989,1249.5991,1561,1249,1561,1249,1561,1249
181,1577.6189,1262.0951,1577.6189,1262.0951,1577.6189,1262.0951,1577,1262,1577,1262,1577,1262
182,1593.395,1274.7161,1593.395,1274.7161,1593.395,1274.7161,1593,1274,1593,1274,1593,1274
183,1609.329,1287.4633,1609.329,1287.4633,1609.329,1287.4633,1609,1287,1609,1287,1609,1287
184,1625.4224,1300.3379,1625.4224,1300.3379,1625.4224,1300.3379,1625,1300,1625,1300,1625,1300
185,1641.6765,1313.3412,1641.6765,1313.3412,1641.6765,1313.3412,1641,1313,1641,1313,1641,1313
186,1658.0933,1326.4746,1658.0933,1326.4746,1658.0933,1326.4746,1658,1326,1658,1326,1658,1326
187,1674.6742,1339.7394,1674.6742,1339.7394,1674.6742,1339.7394,1674,1339,1674,1339,1674,1339
188,1691.421,1353.1368,1691.421,1353.1368,1691.421,1353.1368,1691,1353,1691,1353,1691,1353
189,1708.3352,1366.6682,1708.3352,1366.6682,1708.3352,1366.6682,1708,1366,1708,1366,1708,1366
190,1725.4186,1380.3348,1725.4186,1380.3348,1725.4186,1380.3348,1725,1380,1725,1380,1725,1380
191,1742.6727,1394.1382,1742.6727,1394.1382,1742.6727,1394.1382,1742,1394,1742,1394,1742,1394
192,1760.0995,1408.0796,1760.0995,1408.0796,1760.0995,1408.0796,1760,1408,1760,1408,1760,1408
193,1777.7004,1422.1604,1777.7004,1422.1604,1777.7004,1422.1604,1777,1422,1777,1422,1777,1422
194,1795.4774,1436.382,1795.4774,1436.382,1795.4774,1436.382,1795,1436,1795,1436,1795,1436
195,1813.4323,1450.7457,1813.4323,1450.7457,1813.4323,1450.7457,1813,1450,1813,1450,1813,1450
196,1831.5665,1465.2533,1831.5665,1465.2533,1831.5665,1465.2533,1831,1465,1831,1465,1831,1465
197,1849.8822,1479.9058,1849.8822,1479.9058,1849.8822,1479.9058,1849,1479,1849,1479,1849,1479
198,1868.381,1494.7048,1868.381,1494.7048,1868.381,1494.7048,1868,1494,1868,1494,1868,1494
199,1887.0648,1509.6519,1887.0648,1509.6519,1887.0648,1509.6519,1887,1509,1887,1509,1887,1509
200,1905.9355,1524.7484,1905.9355,1524.7484,1905.9355,1524.7484,1905,1524,1905,1524,1905,1524
201,1924.9949,1539.9958,1924.9949,1539.9958,1924.9949,1539.9958,1924,1539,1924,1539,1924,1539
202,1944.2448,1555.3959,1944.2448,1555.3959,1944.2448,1555.3959,1944,1555,1944,1555,1944,1555
203,1963.6873,1570.9498,1963.6873,1570.9498,1963.6873,1570.9498,1963,1570,1963,1570,1963,1570
204,1983.3241,1586.6593,1983.3241,1586.6593,1983.3241,1586.6593,1983,1586,1983,1586,1983,1586
205,2003.1573,1602.5259,2003.1573,1602.5259,2003.1573,1602.5259,2003,1602,2003,1602,2003,1602
206,2023.189,1618.5511,2023.189,1618.5511,2023.189,1618.5511,2023,1618,2023,1618,2023,1618
207,2043.4208,1634.7367,2043.4208,1634.7367,2043.4208,1634.7367,2043,1634,2043,1634,2043,1634
208,2063.855,1651.084,2063.855,1651.084,2063.855,1651.084,2063,1651,2063,1651,2063,1651
209,2084.4937,1667.5948,2084.4937,1667.5948,2084.4937,1667.5948,2084,1667,2084,1667,2084,1667
210,2105.3386,1684.2709,2105.3386,1684.2709,2105.3386,1684.2709,2105,1684,2105,1684,2105,1684
211,2126.3918,1701.1135,2126.3918,1701.1135,2126.3918,1701.1135,2126,1701,2126,1701,2126,1701
212,2147.6558,1718.1246,2147.6558,1718.1246,2147.6558,1718.1246,2147,1718,2147,1718,2147,1718
213,2169.1323,1735.3059,2169.1323,1735.3059,2169.1323,1735.3059,2169,1735,2169,1735,2169,1735
214,2190.8237,1752.6589,2190.8237,1752.6589,2190.8237,1752.6589,2190,1752,2190,1752,2190,1752
215,2212.732,1770.1855,2212.732,1770.1855,2212.732,1770.1855,2212,1770,2212,1770,2212,1770
216,2234.8594,1787.8875,2234.8594,1787.8875,2234.8594,1787.8875,2234,1787,2234,1787,2234,1787
217,2257.2078,1805.7662,2257.2078,1805.7662,2257.2078,1805.7662,2257,1805,2257,1805,2257,1805
218,2279.78,1823.824,2279.78,1823.824,2279.78,1823.824,2279,1823,2279,1823,2279,1823
219,2302.5776,1842.0621,2302.5776,1842.0621,2302.5776,1842.0621,2302,1842,2302,1842,2302,1842
220,2325.6035,1860.4828,2325.6035,1860.4828,2325.6035,1860.4828,2325,1860,2325,1860,2325,1860
221,2348.8596,1879.0876,2348.8596,1879.0876,2348.8596,1879.0876,2348,1879,2348,1879,2348,1879
222,2372.3481,1897.8785,2372.3481,1897.8785,2372.3481,1897.8785,2372,1897,2372,1897,2372,1897
223,2396.0715,1916.8573,2396.0715,1916.8573,2396.0715,1916.8573,2396,1916,2396,1916,2396,1916
224,2420.0322,1936.0259,2420.0322,1936.0259,2420.0322,1936.0259,2420,1936,2420,1936,2420,1936
225,2444.2327,1955.3861,2444.2327,1955.3861,2444.2327,1955.3861,2444,1955,2444,1955,2444,1955
226,2468.675,1974.94,2468.675,1974.94,2468.675,1974.94,2468,1974,2468,1974,2468,1974
227,2493.3618,1994.6895,2493.3618,1994.6895,2493.3618,1994.6895,2493,1994,2493,1994,2493,1994
228,2518.2954,2014.6362,2518.2954,2014.6362,2518.2954,2014.6362,2518,2014,2518,2014,2518,2014
229,2543.4783,2034.7826,2543.4783,2034.7826,2543.4783,2034.7826,2543,2034,2543,2034,2543,2034
230,2568.913,2055.1304,2568.913,2055.1304,2568.913,2055.1304,2568,2055,2568,2055,2568,2055
231,2594.6023,2075.682,2594.6023,2075.682,2594.6023,2075.682,2594,2075,2594,2075,2594,2075
232,2620.5483,2096.4387,2620.5483,2096.4387,2620.5483,2096.4387,2620,2096,2620,2096,2620,2096
233,2646.7537,2117.403,2646.7537,2117.403,2646.7537,2117.403,2646,2117,2646,2117,2646,2117
234,2673.2212,2138.577,2673.2212,2138.577,2673.2212,2138.577,2673,2138,2673,2138,2673,2138
235,2699.9534,2159.963,2699.9534,2159.963,2699.9534,2159.963,2699,2159,2699,2159,2699,2159
236,2726.9531,2181.5625,2726.9531,2181.5625,2726.9531,2181.5625,2726,2181,2726,2181,2726,2181
237,2754.2227,2203.378,2754.2227,2203.378,2754.2227,2203.378,2754,2203,2754,2203,2754,2203
238,2781.765,2225.4119,2781.765,2225.4119,2781.765,2225.4119,2781,2225,2781,2225,2781,2225
239,2809.5825,2247.666,2809.5825,2247.666,2809.5825,2247.666,2809,2247,2809,2247,2809,2247
240,2837.6782,2270.1426,2837.6782,2270.1426,2837.6782,2270.1426,2837,2270,2837,2270,2837,2270
241,2866.055,2292.844,2866.055,2292.844,2866.055,2292.844,2866,2292,2866,2292,2866,2292
242,2894.7156,2315.7725,2894.7156,2315.7725,2894.7156,2315.7725,2894,2315,2894,2315,2894,2315
243,2923.6628,2338.9302,2923.6628,2338.9302,2923.6628,2338.9302,2923,2338,2923,2338,2923,2338
244,2952.8994,2362.3196,2952.8994,2362.3196,2952.8994,2362.3196,2952,2362,2952,2362,2952,2362
245,2982.4285,2385.9426,2982.4285,2385.9426,2982.4285,2385.9426,2982,2385,2982,2385,2982,2385
246,3012.2527,2409.802,3012.2527,2409.802,3012.2527,2409.802,3012,2409,3012,2409,3012,2409
247,3042.3752,2433.9001,3042.3752,2433.9001,3042.3752,2433.9001,3042,2433,3042,2433,3042,2433
248,3072.7988,2458.239,3072.7988,2458.239,3072.7988,2458.239,3072,2458,3072,2458,3072,2458
249,3103.5269,2482.8215,3103.5269,2482.8215,3103.5269,2482.8215,3103,2482,3103,2482,3103,2482
250,3134.5623,2507.6497,3134.5623,2507.6497,3134.5623,2507.6497,3134,2507,3134,2507,3134,2507
251,3165.9077,2532.7263,3165.9077,2532.7263,3165.9077,2532.7263,3165,2532,3165,2532,3165,2532
252,3197.567,2558.0535,3197.567,2558.0535,3197.567,2558.0535,3197,2558,3197,2558,3197,2558
253,3229.5425,2583.634,3229.5425,2583.634,3229.5425,2583.634,3229,2583,3229,2583,3229,2583
254,3261.838,2609.4705,3261.838,2609.4705,3261.838,2609.4705,3261,2609,3261,2609,3261,2609
255,3294.4563,2635.5652,3294.4563,2635.5652,3294.4563,2635.5652,3294,2635,3294,2635,3294,2635
256,3327.401,2661.9207,3327.401,2661.9207,3327.401,2661.9207,3327,2661,3327,2661,3327,2661
257,3360.6748,2688.54,3360.6748,2688.54,3360.6748,2688.54,3360,2688,3360,2688,3360,2688
258,3394.2817,2715.4253,3394.2817,2715.4253,3394.2817,2715.4253,3394,2715,3394,2715,3394,2715
259,3428.2244,2742.5796,3428.2244,2742.5796,3428.2244,2742.5796,3428,2742,3428,2742,3428,2742
260,3462.5068,2770.0054,3462.5068,2770.0054,3462.5068,2770.0054,3462,2770,3462,2770,3462,2770
261,3497.1318,2797.7053,3497.1318,2797.7053,3497.1318,2797.7053,3497,2797,3497,2797,3497,2797
262,3532.103,2825.6824,3532.103,2825.6824,3532.103,2825.6824,3532,2825,3532,2825,3532,2825
263,3567.424,2853.9392,3567.424,2853.9392,3567.424,2853.9392,3567,2853,3567,2853,3567,2853
264,3603.0984,2882.4788,3603.0984,2882.4788,3603.0984,2882.4788,3603,2882,3603,2882,3603,2882
265,3639.1294,2911.3035,3639.1294,2911.3035,3639.1294,2911.3035,3639,2911,3639,2911,3639,2911
266,3675.5208,2940.4165,3675.5208,2940.4165,3675.5208,2940.4165,3675,2940,3675,2940,3675,2940
267,3712.276,2969.8208,3712.276,2969.8208,3712.276,2969.8208,3712,2969,3712,2969,3712,2969
268,3749.3987,2999.5188,3749.3987,2999.5188,3749.3987,2999.5188,3749,2999,3749,2999,3749,2999
269,3786.8926,3029.5142,3786.8926,3029.5142,3786.8926,3029.5142,3786,3029,3786,3029,3786,3029
270,3824.7615,3059.8093,3824.7615,3059.8093,3824.7615,3059.8093,3824,3059,3824,3059,3824,3059
271,3863.0093,3090.4072,3863.0093,3090.4072,3863.0093,3090.4072,3863,3090,3863,3090,3863,3090
272,3901.6392,3121.3113,3901.6392,3121.3113,3901.6392,3121.3113,3901,3121,3901,3121,3901,3121
273,3940.6558,3152.5244,3940.6558,3152.5244,3940.6558,3152.5244,3940,3152,3940,3152,3940,3152
274,3980.0623,3184.0498,3980.0623,3184.0498,3980.0623,3184.0498,3980,3184,3980,3184,3980,3184
275,4019.8628,3215.8901,4019.8628,3215.8901,4019.8628,3215.8901,4019,3215,4019,3215,4019,3215
276,4060.0615,3248.049,4060.0615,3248.049,4060.0615,3248.049,4060,3248,4060,3248,4060,3248
277,4100.662,3280.5295,4100.662,3280.5295,4100.662,3280.5295,4100,3280,4100,3280,4100,3280
278,4141.6685,3313.335,4141.6685,3313.335,4141.6685,3313.335,4141,3313,4141,3313,4141,3313
279,4183.0854,3346.4683,4183.0854,3346.4683,4183.0854,3346.4683,4183,3346,4183,3346,4183,3346
280,4224.916,3379.9329,4224.916,3379.9329,4224.916,3379.9329,4224,3379,4224,3379,4224,3379
281,4267.1655,3413.7324,4267.1655,3413.7324,4267.1655,3413.7324,4267,3413,4267,3413,4267,3413
