ID,ItemLevel,Quality[0],Quality[1],Quality[2],Quality[3],Quality[4],Quality[5],Quality[6]
57,57,5.530146,8.894318,9.216909,9.216909,9.216909,9.216909,9.216909
58,58,5.6511064,9.088862,9.41851,9.41851,9.41851,9.41851,9.41851
59,59,5.744217,9.238615,9.573694,9.573694,9.573694,9.573694,9.573694
60,60,5.8497524,9.408352,9.749587,9.749587,9.749587,9.749587,9.749587
61,61,5.9254475,9.530094,9.875746,9.875746,9.875746,9.875746,9.875746
62,62,6.013317,9.671418,10.022195,10.022195,10.022195,10.022195,10.022195
63,63,6.0696077,9.761952,10.116014,10.116014,10.116014,10.116014,10.116014
64,64,6.1264253,9.853334,10.21071,10.21071,10.21071,10.21071,10.21071
65,65,6.183775,9.945572,10.306292,10.306292,10.306292,10.306292,10.306292
66,66,6.2416615,10.038672,10.402769,10.402769,10.402769,10.402769,10.402769
67,67,6.3000894,10.132644,10.50015,10.50015,10.50015,10.50015,10.50015
68,68,6.3590646,10.227496,10.598441,10.598441,10.598441,10.598441,10.598441
69,69,6.418592,10.323236,10.697654,10.697654,10.697654,10.697654,10.697654
70,70,6.4786763,10.419871,10.797794,10.797794,10.797794,10.797794,10.797794
71,71,6.5393233,10.517412,10.898872,10.898872,10.898872,10.898872,10.898872
72,72,6.6005383,10.615866,11.000896,11.000896,11.000896,11.000896,11.000896
73,73,6.662326,10.71524,11.103876,11.103876,11.103876,11.103876,11.103876
74,74,6.724692,10.815546,11.20782,11.20782,11.20782,11.20782,11.20782
75,75,6.7876415,10.91679,11.312737,11.312737,11.312737,11.312737,11.312737
76,76,6.851181,11.018983,11.418634,11.418634,11.418634,11.418634,11.418634
77,77,6.9153147,11.122131,11.525524,11.525524,11.525524,11.525524,11.525524
78,78,6.980049,11.226246,11.633415,11.633415,11.633415,11.633415,11.633415
79,79,7.045389,11.331334,11.742315,11.742315,11.742315,11.742315,11.742315
80,80,7.1113415,11.437407,11.852236,11.852236,11.852236,11.852236,11.852236
81,81,7.1779103,11.544473,11.963184,11.963184,11.963184,11.963184,11.963184
82,82,7.245103,11.65254,12.075171,12.075171,12.075171,12.075171,12.075171
83,83,7.3129244,11.761621,12.188208,12.188208,12.188208,12.188208,12.188208
84,84,7.3813806,11.87172,12.302301,12.302301,12.302301,12.302301,12.302301
85,85,7.450478,11.982852,12.417463,12.417463,12.417463,12.417463,12.417463
86,86,7.5202217,12.095023,12.533703,12.533703,12.533703,12.533703,12.533703
87,87,7.5906186,12.208245,12.651031,12.651031,12.651031,12.651031,12.651031
88,88,7.6616745,12.322527,12.769458,12.769458,12.769458,12.769458,12.769458
89,89,7.7333956,12.437878,12.888992,12.888992,12.888992,12.888992,12.888992
90,90,7.805788,12.554309,13.009646,13.009646,13.009646,13.009646,13.009646
91,91,7.878858,12.67183,13.13143,13.13143,13.13143,13.13143,13.13143
92,92,7.952612,12.790451,13.254354,13.254354,13.254354,13.254354,13.254354
93,93,8.027057,12.910182,13.378428,13.378428,13.378428,13.378428,13.378428
94,94,8.102198,13.031034,13.503663,13.503663,13.503663,13.503663,13.503663
95,95,8.178042,13.153018,13.630071,13.630071,13.630071,13.630071,13.630071
96,96,8.254597,13.276144,13.757662,13.757662,13.757662,13.757662,13.757662
97,97,8.331868,13.400422,13.886448,13.886448,13.886448,13.886448,13.886448
98,98,8.409863,13.525864,14.016438,14.016438,14.016438,14.016438,14.016438
99,99,8.488588,13.652479,14.147647,14.147647,14.147647,14.147647,14.147647
100,100,8.568049,13.78028,14.280083,14.280083,14.280083,14.280083,14.280083
101,101,8.648255,13.909277,14.413758,14.413758,14.413758,14.413758,14.413758
102,102,8.729212,14.039482,14.548686,14.548686,14.548686,14.548686,14.548686
103,103,8.8109255,14.170905,14.684876,14.684876,14.684876,14.684876,14.684876
104,104,8.893405,14.303559,14.822341,14.822341,14.822341,14.822341,14.822341
105,105,8.976656,14.437455,14.961094,14.961094,14.961094,14.961094,14.961094
106,106,9.060687,14.572604,15.101145,15.101145,15.101145,15.101145,15.101145
107,107,9.145504,14.709019,15.242506,15.242506,15.242506,15.242506,15.242506
108,108,9.231114,14.846709,15.385191,15.385191,15.385191,15.385191,15.385191
109,109,9.317528,14.98569,15.529212,15.529212,15.529212,15.529212,15.529212
110,110,9.404749,15.125971,15.674582,15.674582,15.674582,15.674582,15.674582
111,111,9.492786,15.267566,15.821311,15.821311,15.821311,15.821311,15.821311
112,112,9.581649,15.410485,15.969415,15.969415,15.969415,15.969415,15.969415
113,113,9.671343,15.554743,16.118904,16.118904,16.118904,16.118904,16.118904
114,114,9.761876,15.700351,16.269793,16.269793,16.269793,16.269793,16.269793
115,115,9.853257,15.847322,16.422094,16.422094,16.422094,16.422094,16.422094
116,116,9.945494,15.995668,16.575823,16.575823,16.575823,16.575823,16.575823
117,117,10.038593,16.145405,16.73099,16.73099,16.73099,16.73099,16.73099
118,118,10.132565,16.296541,16.887608,16.887608,16.887608,16.887608,16.887608
119,119,10.227416,16.449093,17.045692,17.045692,17.045692,17.045692,17.045692
120,120,10.323154,16.603073,17.205257,17.205257,17.205257,17.205257,17.205257
121,121,10.419789,16.758495,17.366316,17.366316,17.366316,17.366316,17.366316
122,122,10.517329,16.91537,17.528883,17.528883,17.528883,17.528883,17.528883
123,123,10.615782,17.073717,17.69297,17.69297,17.69297,17.69297,17.69297
124,124,10.715157,17.233543,17.858595,17.858595,17.858595,17.858595,17.858595
125,125,10.815461,17.394867,18.025768,18.025768,18.025768,18.025768,18.025768
126,126,10.916705,17.5577,18.194508,18.194508,18.194508,18.194508,18.194508
127,127,11.018896,17.722057,18.364826,18.364826,18.364826,18.364826,18.364826
128,128,11.122044,17.887955,18.53674,18.53674,18.53674,18.53674,18.53674
129,129,11.226157,18.055403,18.710262,18.710262,18.710262,18.710262,18.710262
130,130,11.331245,18.22442,18.88541,18.88541,18.88541,18.88541,18.88541
131,131,11.437318,18.39502,19.062197,19.062197,19.062197,19.062197,19.062197
132,132,11.544382,18.567215,19.240637,19.240637,19.240637,19.240637,19.240637
133,133,11.65245,18.741022,19.42075,19.42075,19.42075,19.42075,19.42075
134,134,11.761528,18.916458,19.602547,19.602547,19.602547,19.602547,19.602547
135,135,11.871628,19.093534,19.786047,19.786047,19.786047,19.786047,19.786047
136,136,11.982758,19.272268,19.971264,19.971264,19.971264,19.971264,19.971264
137,137,12.094929,19.452677,20.158215,20.158215,20.158215,20.158215,20.158215
138,138,12.208149,19.634773,20.346916,20.346916,20.346916,20.346916,20.346916
139,139,12.32243,19.818575,20.537384,20.537384,20.537384,20.537384,20.537384
140,140,12.43778,20.004097,20.729633,20.729633,20.729633,20.729633,20.729633
141,141,12.554211,20.191355,20.923683,20.923683,20.923683,20.923683,20.923683
142,142,12.67173,20.380367,21.11955,21.11955,21.11955,21.11955,21.11955
143,143,12.790351,20.571148,21.317251,21.317251,21.317251,21.317251,21.317251
144,144,12.910081,20.763714,21.516802,21.516802,21.516802,21.516802,21.516802
145,145,13.030932,20.958082,21.718222,21.718222,21.718222,21.718222,21.718222
146,146,13.152915,21.154272,21.921526,21.921526,21.921526,21.921526,21.921526
147,147,13.276039,21.352297,22.126732,22.126732,22.126732,22.126732,22.126732
148,148,13.400316,21.552176,22.33386,22.33386,22.33386,22.33386,22.33386
149,149,13.525757,21.753925,22.542929,22.542929,22.542929,22.542929,22.542929
150,150,13.652371,21.957565,22.753954,22.753954,22.753954,22.753954,22.753954
151,151,13.780171,22.163109,22.966953,22.966953,22.966953,22.966953,22.966953
152,152,13.909168,22.370579,23.181946,23.181946,23.181946,23.181946,23.181946
153,153,14.039371,22.57999,23.398952,23.398952,23.398952,23.398952,23.398952
154,154,14.170794,22.79136,23.61799,23.61799,23.61799,23.61799,23.61799
155,155,14.303448,23.004711,23.839079,23.839079,23.839079,23.839079,23.839079
156,156,14.437342,23.220058,24.062237,24.062237,24.062237,24.062237,24.062237
157,157,14.57249,23.437422,24.287483,24.287483,24.287483,24.287483,24.287483
158,158,14.708903,23.656818,24.51484,24.51484,24.51484,24.51484,24.51484
159,159,14.846593,23.878271,24.744322,24.744322,24.744322,24.744322,24.744322
160,160,14.985572,24.101795,24.975954,24.975954,24.975954,24.975954,24.975954
161,161,15.125853,24.327412,25.209753,25.209753,25.209753,25.209753,25.209753
162,162,15.267446,24.555141,25.445742,25.445742,25.445742,25.445742,25.445742
163,163,15.410364,24.785002,25.68394,25.68394,25.68394,25.68394,25.68394
164,164,15.554621,25.017015,25.924368,25.924368,25.924368,25.924368,25.924368
165,165,15.700228,25.2512,26.167046,26.167046,26.167046,26.167046,26.167046
166,166,15.847198,25.487576,26.411995,26.411995,26.411995,26.411995,26.411995
167,167,15.995543,25.726166,26.659239,26.659239,26.659239,26.659239,26.659239
168,168,16.145277,25.966988,26.908796,26.908796,26.908796,26.908796,26.908796
169,169,16.296413,26.210066,27.160688,27.160688,27.160688,27.160688,27.160688
170,170,16.448965,26.455418,27.41494,27.41494,27.41494,27.41494,27.41494
171,171,16.602943,26.703068,27.671572,27.671572,27.671572,27.671572,27.671572
172,172,16.758364,26.953035,27.930605,27.930605,27.930605,27.930605,27.930605
173,173,16.91524,27.205341,28.192064,28.192064,28.192064,28.192064,28.192064
174,174,17.073582,27.460012,28.45597,28.45597,28.45597,28.45597,28.45597
175,175,17.233408,27.717064,28.722347,28.722347,28.722347,28.722347,28.722347
176,176,17.39473,27.976524,28.991217,28.991217,28.991217,28.991217,28.991217
177,177,17.557562,28.238413,29.262604,29.262604,29.262604,29.262604,29.262604
178,178,17.721918,28.502752,29.536531,29.536531,29.536531,29.536531,29.536531
179,179,17.887814,28.769567,29.813023,29.813023,29.813023,29.813023,29.813023
180,180,18.055262,29.03888,30.092102,30.092102,30.092102,30.092102,30.092102
181,181,18.224277,29.310713,30.373795,30.373795,30.373795,30.373795,30.373795
182,182,18.394875,29.58509,30.658125,30.658125,30.658125,30.658125,30.658125
183,183,18.56707,29.862036,30.945116,30.945116,30.945116,30.945116,30.945116
184,184,18.740875,30.141575,31.234793,31.234793,31.234793,31.234793,31.234793
185,185,18.91631,30.42373,31.527182,31.527182,31.527182,31.527182,31.527182
186,186,19.093386,30.708527,31.822308,31.822308,31.822308,31.822308,31.822308
187,187,19.272118,30.99599,32.120197,32.120197,32.120197,32.120197,32.120197
188,188,19.452524,31.286144,32.420876,32.420876,32.420876,32.420876,32.420876
189,189,19.634619,31.579014,32.724365,32.724365,32.724365,32.724365,32.724365
190,190,19.818419,31.874624,33.0307,33.0307,33.0307,33.0307,33.0307
191,191,20.00394,32.173004,33.3399,33.3399,33.3399,33.3399,33.3399
192,192,20.191196,32.474174,33.651993,33.651993,33.651993,33.651993,33.651993
193,193,20.380207,32.778164,33.96701,33.96701,33.96701,33.96701,33.96701
194,194,20.570986,33.085003,34.284977,34.284977,34.284977,34.284977,34.284977
195,195,20.763552,33.39471,34.60592,34.60592,34.60592,34.60592,34.60592
196,196,20.957918,33.707317,34.929863,34.929863,34.929863,34.929863,34.929863
197,197,21.154106,34.022854,35.256844,35.256844,35.256844,35.256844,35.256844
198,198,21.352129,34.341343,35.586884,35.586884,35.586884,35.586884,35.586884
199,199,21.552008,34.66281,35.920013,35.920013,35.920013,35.920013,35.920013
200,200,21.753756,34.98729,36.25626,36.25626,36.25626,36.25626,36.25626
201,201,21.957392,35.314808,36.595654,36.595654,36.595654,36.595654,36.595654
202,202,22.162935,35.64539,36.938225,36.938225,36.938225,36.938225,36.938225
203,203,22.370403,35.979065,37.284004,37.284004,37.284004,37.284004,37.284004
204,204,22.579813,36.315865,37.633022,37.633022,37.633022,37.633022,37.633022
205,205,22.791182,36.65582,37.985302,37.985302,37.985302,37.985302,37.985302
206,206,23.00453,36.998955,38.340885,38.340885,38.340885,38.340885,38.340885
207,207,23.219875,37.345303,38.699795,38.699795,38.699795,38.699795,38.699795
208,208,23.437237,37.69489,39.06206,39.06206,39.06206,39.06206,39.06206
209,209,23.656633,38.047752,39.427723,39.427723,39.427723,39.427723,39.427723
210,210,23.878084,38.40392,39.796806,39.796806,39.796806,39.796806,39.796806
211,211,24.101606,38.763416,40.169346,40.169346,40.169346,40.169346,40.169346
212,212,24.32722,39.12628,40.54537,40.54537,40.54537,40.54537,40.54537
213,213,24.554949,39.492542,40.924915,40.924915,40.924915,40.924915,40.924915
214,214,24.784807,39.862232,41.308014,41.308014,41.308014,41.308014,41.308014
215,215,25.016819,40.235382,41.6947,41.6947,41.6947,41.6947,41.6947
216,216,25.251001,40.612026,42.085003,42.085003,42.085003,42.085003,42.085003
217,217,25.487375,40.992195,42.478962,42.478962,42.478962,42.478962,42.478962
218,218,25.725964,41.375923,42.876606,42.876606,42.876606,42.876606,42.876606
219,219,25.966784,41.763245,43.277973,43.277973,43.277973,43.277973,43.277973
220,220,26.20986,42.15419,43.683098,43.683098,43.683098,43.683098,43.683098
221,221,26.45521,42.548798,44.09202,44.09202,44.09202,44.09202,44.09202
222,222,26.702858,42.947098,44.504765,44.504765,44.504765,44.504765,44.504765
223,223,26.952824,43.349125,44.92137,44.92137,44.92137,44.92137,44.92137
224,224,27.20513,43.754917,45.34188,45.34188,45.34188,45.34188,45.34188
225,225,27.459797,44.164505,45.766327,45.766327,45.766327,45.766327,45.766327
226,226,27.716848,44.57793,46.194744,46.194744,46.194744,46.194744,46.194744
227,227,27.976305,44.995224,46.627174,46.627174,46.627174,46.627174,46.627174
228,228,28.238192,45.416424,47.063652,47.063652,47.063652,47.063652,47.063652
229,229,28.50253,45.841568,47.504215,47.504215,47.504215,47.504215,47.504215
230,230,28.769342,46.27069,47.948902,47.948902,47.948902,47.948902,47.948902
231,231,29.038652,46.70383,48.39775,48.39775,48.39775,48.39775,48.39775
232,232,29.310482,47.141026,48.850803,48.850803,48.850803,48.850803,48.850803
233,233,29.584858,47.582314,49.308098,49.308098,49.308098,49.308098,49.308098
234,234,29.861803,48.027733,49.76967,49.76967,49.76967,49.76967,49.76967
235,235,30.141338,48.477318,50.235565,50.235565,50.235565,50.235565,50.235565
236,236,30.423492,48.931114,50.70582,50.70582,50.70582,50.70582,50.70582
237,237,30.708286,49.38916,51.180477,51.180477,51.180477,51.180477,51.180477
238,238,30.995747,49.851494,51.659576,51.659576,51.659576,51.659576,51.659576
239,239,31.285898,50.318153,52.14316,52.14316,52.14316,52.14316,52.14316
240,240,31.578766,50.78918,52.631275,52.631275,52.631275,52.631275,52.631275
241,241,31.874374,51.264618,53.12396,53.12396,53.12396,53.12396,53.12396
242,242,32.172752,51.744507,53.62125,53.62125,53.62125,53.62125,53.62125
243,243,32.47392,52.22889,54.1232,54.1232,54.1232,54.1232,54.1232
244,244,32.77791,52.717804,54.62985,54.62985,54.62985,54.62985,54.62985
245,245,33.084743,53.211296,55.14124,55.14124,55.14124,55.14124,55.14124
246,246,33.39445,53.709408,55.657417,55.657417,55.657417,55.657417,55.657417
247,247,33.707054,54.21218,56.178425,56.178425,56.178425,56.178425,56.178425
248,248,34.022587,54.71966,56.70431,56.70431,56.70431,56.70431,56.70431
249,249,34.341072,55.23189,57.23512,57.23512,57.23512,57.23512,57.23512
250,250,34.66254,55.748917,57.7709,57.7709,57.7709,57.7709,57.7709
251,251,34.987015,56.270782,58.31169,58.31169,58.31169,58.31169,58.31169
252,252,35.31453,56.797535,58.857548,58.857548,58.857548,58.857548,58.857548
253,253,35.645107,57.329216,59.408516,59.408516,59.408516,59.408516,59.408516
254,254,35.978783,57.865875,59.964638,59.964638,59.964638,59.964638,59.964638
255,255,36.315582,58.40756,60.525967,60.525967,60.525967,60.525967,60.525967
256,256,36.65553,58.95431,61.092552,61.092552,61.092552,61.092552,61.092552
257,257,36.998665,59.506184,61.66444,61.66444,61.66444,61.66444,61.66444
258,258,37.34501,60.06322,62.24168,62.24168,62.24168,62.24168,62.24168
259,259,37.694595,60.625473,62.824326,62.824326,62.824326,62.824326,62.824326
260,260,38.047455,61.19299,63.412422,63.412422,63.412422,63.412422,63.412422
261,261,38.403618,61.765816,64.00603,64.00603,64.00603,64.00603,64.00603
262,262,38.763115,62.344006,64.60519,64.60519,64.60519,64.60519,64.60519
263,263,39.125977,62.92761,65.20996,65.20996,65.20996,65.20996,65.20996
264,264,39.492233,63.516674,65.82039,65.82039,65.82039,65.82039,65.82039
265,265,39.86192,64.11125,66.43653,66.43653,66.43653,66.43653,66.43653
266,266,40.23507,64.7114,67.05845,67.05845,67.05845,67.05845,67.05845
267,267,40.61171,65.31716,67.68618,67.68618,67.68618,67.68618,67.68618
268,268,40.991875,65.9286,68.31979,68.31979,68.31979,68.31979,68.31979
269,269,41.3756,66.54575,68.959335,68.959335,68.959335,68.959335,68.959335
270,270,41.762917,67.16869,69.604866,69.604866,69.604866,69.604866,69.604866
271,271,42.153862,67.79746,70.25643,70.25643,70.25643,70.25643,70.25643
272,272,42.548462,68.43211,70.91411,70.91411,70.91411,70.91411,70.91411
273,273,42.94676,69.07271,71.577934,71.577934,71.577934,71.577934,71.577934
274,274,43.348785,69.71929,72.24797,72.24797,72.24797,72.24797,72.24797
275,275,43.754574,70.37194,72.924286,72.924286,72.924286,72.924286,72.924286
276,276,44.164158,71.03069,73.60693,73.60693,73.60693,73.60693,73.60693
277,277,44.57758,71.69561,74.29597,74.29597,74.29597,74.29597,74.29597
278,278,44.99487,72.36675,74.991455,74.991455,74.991455,74.991455,74.991455
279,279,45.41607,73.044174,75.69345,75.69345,75.69345,75.69345,75.69345
280,280,45.84121,73.72794,76.402016,76.402016,76.402016,76.402016,76.402016
281,281,46.27033,74.41811,77.11721,77.11721,77.11721,77.11721,77.11721
282,282,46.703465,75.11474,77.83911,77.83911,77.83911,77.83911,77.83911
283,283,47.140656,75.81789,78.567764,78.567764,78.567764,78.567764,78.567764
284,284,47.58194,76.52762,79.30323,79.30323,79.30323,79.30323,79.30323
285,285,48.027355,77.243996,80.04559,80.04559,80.04559,80.04559,80.04559
286,286,48.47694,77.96708,80.7949,80.7949,80.7949,80.7949,80.7949
287,287,48.930733,78.69693,81.55122,81.55122,81.55122,81.55122,81.55122
288,288,49.388775,79.43361,82.31462,82.31462,82.31462,82.31462,82.31462
289,289,49.8511,80.177185,83.08517,83.08517,83.08517,83.08517,83.08517
290,290,50.317757,80.92773,83.86293,83.86293,83.86293,83.86293,83.86293
291,291,50.788784,81.685295,84.64797,84.64797,84.64797,84.64797,84.64797
292,292,51.264217,82.44995,85.44036,85.44036,85.44036,85.44036,85.44036
293,293,51.744102,83.22176,86.24017,86.24017,86.24017,86.24017,86.24017
294,294,52.228477,84.0008,87.04746,87.04746,87.04746,87.04746,87.04746
295,295,52.71739,84.78713,87.86231,87.86231,87.86231,87.86231,87.86231
296,296,53.210876,85.580826,88.6848,88.6848,88.6848,88.6848,88.6848
297,297,53.708984,86.38195,89.51498,89.51498,89.51498,89.51498,89.51498
298,298,54.211754,87.190575,90.35293,90.35293,90.35293,90.35293,90.35293
299,299,54.71923,88.00677,91.198715,91.198715,91.198715,91.198715,91.198715
300,300,55.231457,88.8306,92.05243,92.05243,92.05243,92.05243,92.05243
301,301,55.74848,89.66214,92.91413,92.91413,92.91413,92.91413,92.91413
302,302,56.270344,90.501465,93.783905,93.783905,93.783905,93.783905,93.783905
303,303,56.79709,91.34865,94.66181,94.66181,94.66181,94.66181,94.66181
304,304,57.328766,92.203766,95.54794,95.54794,95.54794,95.54794,95.54794
305,305,57.86542,93.06689,96.44237,96.44237,96.44237,96.44237,96.44237
306,306,58.4071,93.93809,97.34517,97.34517,97.34517,97.34517,97.34517
307,307,58.95385,94.817444,98.25642,98.25642,98.25642,98.25642,98.25642
308,308,59.50572,95.705025,99.17619,99.17619,99.17619,99.17619,99.17619
309,309,60.06275,96.60092,100.10458,100.10458,100.10458,100.10458,100.10458
310,310,60.624996,97.5052,101.04166,101.04166,101.04166,101.04166,101.04166
311,311,61.19251,98.41795,101.98752,101.98752,101.98752,101.98752,101.98752
312,312,61.76533,99.33924,102.94222,102.94222,102.94222,102.94222,102.94222
313,313,62.343517,100.26916,103.90586,103.90586,103.90586,103.90586,103.90586
314,314,62.927116,101.20778,104.87852,104.87852,104.87852,104.87852,104.87852
315,315,63.51618,102.15518,105.8603,105.8603,105.8603,105.8603,105.8603
316,316,64.110756,103.11146,106.85126,106.85126,106.85126,106.85126,106.85126
317,317,64.71089,104.07669,107.85149,107.85149,107.85149,107.85149,107.85149
318,318,65.31665,105.05095,108.86108,108.86108,108.86108,108.86108,108.86108
319,319,65.928085,106.03433,109.88013,109.88013,109.88013,109.88013,109.88013
320,320,66.545235,107.02692,110.90872,110.90872,110.90872,110.90872,110.90872
321,321,67.16817,108.0288,111.94695,111.94695,111.94695,111.94695,111.94695
322,322,67.79693,109.04005,112.99488,112.99488,112.99488,112.99488,112.99488
323,323,68.43157,110.06078,114.05263,114.05263,114.05263,114.05263,114.05263
324,324,69.07217,111.09106,115.12027,115.12027,115.12027,115.12027,115.12027
325,325,69.71875,112.13099,116.19791,116.19791,116.19791,116.19791,116.19791
326,326,70.37138,113.18064,117.28564,117.28564,117.28564,117.28564,117.28564
327,327,71.03013,114.24013,118.38355,118.38355,118.38355,118.38355,118.38355
328,328,71.695045,115.30953,119.49174,119.49174,119.49174,119.49174,119.49174
329,329,72.36618,116.38895,120.61031,120.61031,120.61031,120.61031,120.61031
330,330,73.0436,117.47846,121.73934,121.73934,121.73934,121.73934,121.73934
331,331,73.72736,118.57818,122.87894,122.87894,122.87894,122.87894,122.87894
332,332,74.41753,119.68819,124.02921,124.02921,124.02921,124.02921,124.02921
333,333,75.11415,120.80859,125.19025,125.19025,125.19025,125.19025,125.19025
334,334,75.81729,121.93948,126.36216,126.36216,126.36216,126.36216,126.36216
335,335,76.52702,123.08096,127.54504,127.54504,127.54504,127.54504,127.54504
336,336,77.24339,124.23312,128.73898,128.73898,128.73898,128.73898,128.73898
337,337,77.96647,125.39606,129.9441,129.9441,129.9441,129.9441,129.9441
338,338,78.69631,126.5699,131.16052,131.16052,131.16052,131.16052,131.16052
339,339,79.43299,127.75472,132.3883,132.3883,132.3883,132.3883,132.3883
340,340,80.17656,128.95064,133.6276,133.6276,133.6276,133.6276,133.6276
341,341,80.92709,130.15775,134.8785,134.8785,134.8785,134.8785,134.8785
342,342,81.684654,131.37614,136.14108,136.14108,136.14108,136.14108,136.14108
343,343,82.4493,132.60596,137.4155,137.4155,137.4155,137.4155,137.4155
344,344,83.22111,133.84729,138.70186,138.70186,138.70186,138.70186,138.70186
345,345,84.000145,135.10023,140.00024,140.00024,140.00024,140.00024,140.00024
346,346,84.78647,136.3649,141.31079,141.31079,141.31079,141.31079,141.31079
347,347,85.580154,137.64142,142.63359,142.63359,142.63359,142.63359,142.63359
348,348,86.38127,138.92989,143.9688,143.9688,143.9688,143.9688,143.9688
349,349,87.18989,140.23041,145.31648,145.31648,145.31648,145.31648,145.31648
