ID,TraitNodeID,RequiredPointsInThisNode,Flags
2285,19608,5,0
2286,19607,10,0
2287,19606,15,0
2288,19605,20,0
2289,19604,25,0
2290,19603,30,0
2291,19602,0,0
2292,19601,5,0
2293,19600,10,0
2294,19599,15,0
2295,19598,20,0
2296,19597,25,0
2297,19596,30,0
2298,19595,0,0
2299,19594,5,0
2300,19593,10,1
2301,19592,15,0
2302,19591,20,1
2303,19590,25,0
2304,19589,30,1
2305,19588,0,0
2306,19587,5,0
2307,19586,10,0
2308,19585,15,0
2309,19584,20,0
2310,19583,25,0
2311,19582,30,0
2312,19581,0,0
2313,19580,5,0
2314,19579,10,0
2315,19578,15,0
2316,19577,20,0
2317,19576,25,0
2318,19575,30,0
2319,19574,0,0
2320,19573,5,0
2321,19572,10,0
2322,19571,15,0
2323,19570,20,0
2324,19569,25,0
2325,19568,30,0
2326,19567,0,0
2327,19566,5,0
2328,19565,10,1
2329,19564,15,0
2330,19563,20,1
2331,19562,25,0
2332,19561,30,1
2333,19560,0,0
2334,19559,5,0
2335,19558,10,0
2336,19557,15,0
2337,19556,20,0
2338,19555,25,0
2339,19554,30,0
2340,19553,0,0
2341,19552,5,0
2342,19551,10,0
2343,19550,15,0
2344,19549,20,0
2345,19548,25,0
2346,19547,30,0
2347,19546,0,0
2348,19545,5,0
2349,19544,10,0
2350,19543,15,0
2351,19542,20,0
2352,19541,25,0
2353,19540,30,0
2354,19664,0,0
2355,19663,5,0
2356,19662,10,1
2357,19661,15,0
2358,19660,20,1
2359,19659,25,0
2360,19658,30,0
2361,19657,0,0
2362,19656,5,0
2363,19655,10,0
2364,19654,15,0
2365,19653,20,0
2366,19652,25,0
2367,19651,30,0
2368,19650,0,0
2369,19649,5,0
2370,19648,10,0
2371,19647,15,0
2372,19646,20,0
2373,19645,25,0
2374,19644,30,0
2375,19728,0,0
2376,19727,5,0
2377,19726,10,1
2378,19725,15,0
2379,19724,20,1
2380,19723,25,0
2381,19722,30,0
2382,19721,0,0
2383,19720,5,0
2384,19719,10,1
2385,19718,15,0
2386,19717,20,1
2387,19716,25,1
2388,19715,30,1
2389,19714,0,0
2390,19713,5,0
2391,19712,10,0
2392,19711,15,0
2393,19710,20,0
2394,19709,0,0
2395,19708,5,0
2396,19707,10,0
2397,19706,15,0
2398,19705,20,0
2399,19704,0,0
2400,19703,5,0
2401,19702,10,0
2402,19701,15,0
2403,19700,20,0
2404,19699,0,0
2405,19698,5,0
2406,19697,10,0
2407,19696,15,0
2408,19695,20,0
2409,19694,0,0
2410,19693,5,0
2411,19692,10,1
2412,19691,15,0
2413,19690,20,1
2414,19689,25,1
2415,19688,30,1
2416,19687,0,0
2417,19686,5,0
2418,19685,10,0
2419,19684,15,0
2420,19683,20,0
2421,19682,0,0
2422,19681,5,0
2423,19680,10,0
2424,19679,15,0
2425,19678,20,0
2426,19677,0,0
2427,19676,5,0
2428,19675,10,0
2429,19674,15,0
2430,19673,20,0
2431,19672,0,0
2432,19671,5,0
2433,19670,10,0
2434,19669,15,0
2435,19668,20,0
2436,19800,0,0
2437,19799,5,0
2438,19798,10,1
2439,19797,15,0
2440,19796,20,1
2441,19795,25,0
2442,19794,30,0
2443,19793,0,0
2444,19792,5,0
2445,19791,10,1
2446,19790,15,0
2447,19789,20,1
2448,19788,25,1
2449,19787,30,1
2450,19786,0,0
2451,19785,5,0
2452,19784,10,0
2453,19783,15,0
2454,19782,20,0
2455,19781,0,0
2456,19780,5,0
2457,19779,10,0
2458,19778,15,0
2459,19777,20,0
2460,19776,0,0
2461,19775,5,0
2462,19774,10,0
2463,19773,15,0
2464,19772,20,0
2465,19771,0,0
2466,19770,5,0
2467,19769,10,0
2468,19768,15,0
2469,19767,20,0
2470,19766,0,0
2471,19765,5,0
2472,19764,10,1
2473,19763,15,0
2474,19762,20,1
2475,19761,25,1
2476,19760,30,1
2477,19759,0,0
2478,19758,5,0
2479,19757,10,0
2480,19756,15,0
2481,19755,20,0
2482,19754,0,0
2483,19753,5,0
2484,19752,10,0
2485,19751,15,0
2486,19750,20,0
2487,19749,0,0
2488,19748,5,0
2489,19747,10,0
2490,19746,15,0
2491,19745,20,0
2492,19744,0,0
2493,19743,5,0
2494,19742,10,0
2495,19741,15,0
2496,19740,20,0
2534,19945,0,0
2535,19944,5,0
2536,19943,10,1
2537,19942,15,0
2538,19941,20,1
2539,19940,25,0
2540,19939,30,1
2541,19938,0,0
2542,19937,5,0
2543,19936,10,1
2544,19935,15,0
2545,19934,20,1
2546,19933,25,0
2547,19932,30,1
2548,19931,0,0
2549,19930,5,0
2550,19929,10,0
2551,19928,15,0
2552,19927,20,0
2553,19926,25,0
2554,19925,30,0
2555,19924,0,0
2556,19923,5,0
2557,19922,10,0
2558,19921,15,0
2559,19920,20,0
2560,19919,25,0
2561,19918,30,0
2562,19917,0,0
2563,19916,5,0
2564,19915,10,0
2565,19914,15,0
2566,19913,20,0
2567,19912,25,0
2568,19911,30,0
2569,19910,0,0
2570,19909,5,0
2571,19908,10,1
2572,19907,15,0
2573,19906,20,1
2574,19905,25,0
2575,19904,30,1
2576,19903,0,0
2577,19902,5,0
2578,19901,10,0
2579,19900,15,0
2580,19899,20,0
2581,19898,25,0
2582,19897,30,0
2583,19896,0,0
2584,19895,5,0
2585,19894,10,0
2586,19893,15,0
2587,19892,20,0
2588,19891,25,0
2589,19890,30,0
2590,19889,0,0
2591,19888,5,0
2592,19887,10,0
2593,19886,15,0
2594,19885,20,0
2595,19884,25,0
2596,19883,30,0
2597,19882,0,0
2598,19881,5,0
2599,19880,10,1
2600,19879,15,0
2601,19878,20,1
2602,19877,25,0
2603,19876,30,1
2604,19875,0,0
2605,19874,5,0
2606,19873,10,0
2607,19872,15,0
2608,19871,20,0
2609,19870,25,0
2610,19869,30,0
2611,19868,0,0
2612,19867,5,0
2613,19866,10,0
2614,19865,15,0
2615,19864,20,0
2616,19863,25,0
2617,19862,30,0
2618,19861,0,0
2619,19860,5,0
2620,19859,10,0
2621,19858,15,0
2622,19857,20,0
2623,19856,25,0
2624,19855,30,0
2662,20092,0,0
2663,20091,5,0
2664,20090,10,1
2665,20089,15,0
2666,20088,20,1
2667,20087,25,0
2668,20086,30,1
2669,20085,0,0
2670,20084,5,0
2671,20083,10,1
2672,20082,15,0
2673,20081,20,1
2674,20080,25,0
2675,20079,30,1
2676,20078,0,0
2677,20077,5,0
2678,20076,10,0
2679,20075,15,0
2680,20074,20,0
2681,20073,25,0
2682,20072,30,0
2683,20071,0,0
2684,20070,5,0
2685,20069,10,0
2686,20068,15,0
2687,20067,20,0
2688,20066,25,0
2689,20065,30,0
2690,20064,0,0
2691,20063,5,0
2692,20062,10,0
2693,20061,15,0
2694,20060,20,0
2695,20059,25,0
2696,20058,30,0
2697,20057,0,0
2698,20056,5,0
2699,20055,10,1
2700,20054,15,0
2701,20053,20,1
2702,20052,25,0
2703,20051,30,1
2704,20050,0,0
2705,20049,5,0
2706,20048,10,0
2707,20047,15,0
2708,20046,20,0
2709,20045,25,0
2710,20044,30,0
2711,20043,0,0
2712,20042,5,0
2713,20041,10,0
2714,20040,15,0
2715,20039,20,0
2716,20038,25,0
2717,20037,30,0
2718,20036,0,0
2719,20035,5,0
2720,20034,10,0
2721,20033,15,0
2722,20032,20,0
2723,20031,25,0
2724,20030,30,0
2725,20029,0,0
2726,20028,5,0
2727,20027,10,1
2728,20026,15,0
2729,20025,20,1
2730,20024,25,0
2731,20023,30,1
2732,20022,0,0
2733,20021,5,0
2734,20020,10,0
2735,20019,15,0
2736,20018,20,0
2737,20017,25,0
2738,20016,30,0
2739,20015,0,0
2740,20014,5,0
2741,20013,10,0
2742,20012,15,0
2743,20011,20,0
2744,20010,25,0
2745,20009,30,0
2746,20008,0,0
2747,20007,5,0
2748,20006,10,0
2749,20005,15,0
2750,20004,20,0
2751,20003,25,0
2752,20002,30,0
3376,22434,0,0
3377,22433,5,0
3378,22432,10,1
3379,22431,15,0
3380,22430,20,1
3381,22429,25,0
3382,22428,30,1
3383,22427,0,0
3384,22426,5,0
3385,22425,10,0
3386,22424,15,0
3387,22423,20,0
3388,22422,25,0
3389,22421,30,0
3390,22420,0,0
3391,22419,5,0
3392,22418,10,0
3393,22417,15,0
3394,22416,20,0
3395,22415,25,0
3396,22414,30,0
3397,22413,0,0
3398,22412,5,0
3399,22411,10,1
3400,22410,15,0
3401,22409,20,1
3402,22408,25,0
3403,22407,0,0
3404,22406,5,0
3405,22405,10,0
3406,22404,15,0
3407,22403,20,0
3408,22402,0,0
3409,22401,5,0
3410,22400,10,0
3411,22399,15,0
3412,22398,20,0
3413,22477,0,0
3414,22476,5,0
3415,22475,10,1
3416,22474,15,0
3417,22473,20,1
3418,22472,25,0
3419,22471,30,1
3420,22470,0,0
3421,22469,5,0
3422,22468,10,0
3423,22467,15,0
3424,22466,20,0
3425,22465,25,0
3426,22464,30,0
3427,22463,0,0
3428,22462,5,0
3429,22461,10,0
3430,22460,15,0
3431,22459,20,0
3432,22458,25,0
3433,22457,30,0
3434,22456,0,0
3435,22455,5,0
3436,22454,10,1
3437,22453,15,0
3438,22452,20,1
3439,22451,25,0
3440,22450,0,0
3441,22449,5,0
3442,22448,10,0
3443,22447,15,0
3444,22446,20,0
3445,22445,0,0
3446,22444,5,0
3447,22443,10,0
3448,22442,15,0
3449,22441,20,0
3450,22520,0,0
3451,22519,5,0
3452,22518,10,1
3453,22517,15,0
3454,22516,20,1
3455,22515,25,0
3456,22514,30,1
3457,22513,0,0
3458,22512,5,0
3459,22511,10,0
3460,22510,15,0
3461,22509,20,0
3462,22508,25,0
3463,22507,30,0
3464,22506,0,0
3465,22505,5,0
3466,22504,10,0
3467,22503,15,0
3468,22502,20,0
3469,22501,25,0
3470,22500,30,0
3471,22499,0,0
3472,22498,5,0
3473,22497,10,1
3474,22496,15,0
3475,22495,20,1
3476,22494,25,0
3477,22493,0,0
3478,22492,5,0
3479,22491,10,0
3480,22490,15,0
3481,22489,20,0
3482,22488,0,0
3483,22487,5,0
3484,22486,10,0
3485,22485,15,0
3486,22484,20,0
3487,22563,0,0
3488,22562,5,0
3489,22561,10,1
3490,22560,15,0
3491,22559,20,1
3492,22558,25,0
3493,22557,30,1
3494,22556,0,0
3495,22555,5,0
3496,22554,10,0
3497,22553,15,0
3498,22552,20,0
3499,22551,25,0
3500,22550,30,0
3501,22549,0,0
3502,22548,5,0
3503,22547,10,0
3504,22546,15,0
3505,22545,20,0
3506,22544,25,0
3507,22543,30,0
3508,22542,0,0
3509,22541,5,0
3510,22540,10,1
3511,22539,15,0
3512,22538,20,1
3513,22537,25,0
3514,22536,0,0
3515,22535,5,0
3516,22534,10,0
3517,22533,15,0
3518,22532,20,0
3519,22531,0,0
3520,22530,5,0
3521,22529,10,0
3522,22528,15,0
3523,22527,20,0
3524,22606,0,0
3525,22605,5,0
3526,22604,10,1
3527,22603,15,0
3528,22602,20,1
3529,22601,25,0
3530,22600,30,1
3531,22599,0,0
3532,22598,5,0
3533,22597,10,0
3534,22596,15,0
3535,22595,20,0
3536,22594,25,0
3537,22593,30,0
3538,22592,0,0
3539,22591,5,0
3540,22590,10,0
3541,22589,15,0
3542,22588,20,0
3543,22587,25,0
3544,22586,30,0
3545,22585,0,0
3546,22584,5,0
3547,22583,10,1
3548,22582,15,0
3549,22581,20,1
3550,22580,25,0
3551,22579,0,0
3552,22578,5,0
3553,22577,10,0
3554,22576,15,0
3555,22575,20,0
3556,22574,0,0
3557,22573,5,0
3558,22572,10,0
3559,22571,15,0
3560,22570,20,0
3561,22658,0,0
3562,22657,5,1
3563,22656,10,0
3564,22655,15,1
3565,22654,20,0
3566,22653,25,1
3567,22652,30,0
3568,22651,35,1
3569,22650,40,0
3570,22649,45,1
3571,22648,50,0
3572,22647,0,0
3573,22646,5,0
3574,22645,10,0
3575,22644,15,0
3576,22643,20,0
3577,22642,0,0
3578,22641,5,0
3579,22640,10,0
3580,22639,15,0
3581,22638,20,0
3582,22637,25,0
3583,22636,30,0
3584,22635,35,0
3585,22634,40,0
3586,22633,0,0
3587,22632,5,0
3588,22631,10,0
3589,22630,15,0
3590,22629,20,0
3591,22628,25,0
3592,22627,30,0
3593,22626,0,0
3594,22625,5,0
3595,22624,10,0
3596,22623,15,0
3597,22622,20,0
3598,22621,25,0
3599,22620,30,0
3600,22619,0,0
3601,22618,5,0
3602,22617,10,0
3603,22616,15,0
3604,22615,20,0
3605,22614,25,0
3606,22613,30,0
3607,22710,0,0
3608,22709,5,1
3609,22708,10,0
3610,22707,15,1
3611,22706,20,0
3612,22705,25,1
3613,22704,30,0
3614,22703,35,1
3615,22702,40,0
3616,22701,45,1
3617,22700,50,0
3618,22699,0,0
3619,22698,5,0
3620,22697,10,0
3621,22696,15,0
3622,22695,20,0
3623,22694,0,0
3624,22693,5,0
3625,22692,10,0
3626,22691,15,0
3627,22690,20,0
3628,22689,25,0
3629,22688,30,0
3630,22687,35,0
3631,22686,40,0
3632,22685,0,0
3633,22684,5,0
3634,22683,10,0
3635,22682,15,0
3636,22681,20,0
3637,22680,25,0
3638,22679,30,0
3639,22678,0,0
3640,22677,5,0
3641,22676,10,0
3642,22675,15,0
3643,22674,20,0
3644,22673,25,0
3645,22672,30,0
3646,22671,0,0
3647,22670,5,0
3648,22669,10,0
3649,22668,15,0
3650,22667,20,0
3651,22666,25,0
3652,22665,30,0
4160,23720,0,0
4161,23719,5,0
4162,23718,10,1
4163,23717,15,0
4164,23716,20,1
4165,23715,25,0
4166,23714,30,1
4167,23713,0,0
4168,23712,5,0
4169,23711,10,1
4170,23710,15,0
4171,23709,20,1
4172,23708,25,0
4173,23707,30,0
4174,23706,0,0
4175,23705,5,0
4176,23704,10,0
4177,23703,15,0
4178,23702,20,0
4179,23701,25,0
4180,23700,30,0
4181,23699,0,0
4182,23698,5,0
4183,23697,10,0
4184,23696,15,0
4185,23695,20,0
4186,23694,25,0
4187,23693,30,0
4188,23692,0,0
4189,23691,5,0
4190,23690,10,1
4191,23689,15,0
4192,23688,20,1
4193,23687,25,0
4194,23686,30,0
4195,23685,0,0
4196,23684,5,0
4197,23683,10,0
4198,23682,15,0
4199,23681,20,0
4200,23680,25,0
4201,23679,30,0
4202,23678,0,0
4203,23677,5,0
4204,23676,10,0
4205,23675,15,0
4206,23674,20,0
4207,23673,25,0
4208,23672,30,0
4209,23760,0,0
4210,23759,5,1
4211,23758,10,0
4212,23757,15,1
4213,23756,20,0
4214,23755,25,1
4215,23754,30,0
4216,23753,35,1
4217,23752,40,0
4218,23751,0,0
4219,23750,5,0
4220,23749,10,0
4221,23748,15,0
4222,23747,20,0
4223,23746,25,0
4224,23745,30,0
4225,23744,0,0
4226,23743,5,0
4227,23742,10,0
4228,23741,15,0
4229,23740,20,0
4230,23739,25,0
4231,23738,30,0
4232,23737,0,0
4233,23736,5,0
4234,23735,10,0
4235,23734,15,0
4236,23733,20,0
4237,23732,0,0
4238,23731,5,0
4239,23730,10,0
4240,23729,15,0
4241,23728,20,0
4279,23899,0,0
4280,23898,5,0
4281,23897,10,1
4282,23896,15,0
4283,23895,20,1
4284,23894,25,0
4285,23893,30,1
4286,23892,0,0
4287,23891,5,0
4288,23890,10,1
4289,23889,15,0
4290,23888,20,1
4291,23887,25,0
4292,23886,30,1
4293,23885,0,0
4294,23884,5,0
4295,23883,10,0
4296,23882,15,0
4297,23881,20,0
4298,23880,25,0
4299,23879,30,0
4300,23878,0,0
4301,23877,5,0
4302,23876,10,0
4303,23875,15,0
4304,23874,20,0
4305,23873,25,0
4306,23872,30,0
4307,23871,0,0
4308,23870,5,0
4309,23869,10,0
4310,23868,15,0
4311,23867,20,0
4312,23866,25,0
4313,23865,30,0
4314,23864,0,0
4315,23863,5,0
4316,23862,10,1
4317,23861,15,0
4318,23860,20,1
4319,23859,25,0
4320,23858,30,1
4321,23857,0,0
4322,23856,5,0
4323,23855,10,0
4324,23854,15,0
4325,23853,20,0
4326,23852,25,0
4327,23851,30,0
4328,23850,0,0
4329,23849,5,0
4330,23848,10,0
4331,23847,15,0
4332,23846,20,0
4333,23845,25,0
4334,23844,30,0
4335,23843,0,0
4336,23842,5,0
4337,23841,10,0
4338,23840,15,0
4339,23839,20,0
4340,23838,25,0
4341,23837,30,0
4342,23836,0,0
4343,23835,5,0
4344,23834,10,1
4345,23833,15,0
4346,23832,20,1
4347,23831,25,0
4348,23830,30,1
4349,23829,0,0
4350,23828,5,0
4351,23827,10,0
4352,23826,15,0
4353,23825,20,0
4354,23824,25,0
4355,23823,30,0
4356,23822,0,0
4357,23821,5,0
4358,23820,10,0
4359,23819,15,0
4360,23818,20,0
4361,23817,25,0
4362,23816,30,0
4363,23815,0,0
4364,23814,5,0
4365,23813,10,0
4366,23812,15,0
4367,23811,20,0
4368,23810,25,0
4369,23809,30,0
4370,23932,5,0
4371,23931,10,1
4372,23930,15,0
4373,23929,20,1
4374,23928,25,0
4375,23927,30,0
4376,23926,0,0
4377,23925,5,0
4378,23924,10,0
4379,23923,15,0
4380,23922,20,0
4381,23921,25,0
4382,23920,30,0
4383,23919,0,0
4384,23918,5,0
4385,23917,10,0
4386,23916,15,0
4387,23915,20,0
4388,23914,25,0
4389,23913,30,0
4746,27619,0,0
4747,27618,5,0
4748,27617,10,1
4749,27616,15,0
4750,27615,20,1
4751,27614,25,0
4752,27613,30,1
4753,27612,0,0
4754,27611,5,0
4755,27610,10,1
4756,27609,15,0
4757,27608,20,1
4758,27607,25,0
4759,27606,30,0
4760,27605,0,0
4761,27604,5,0
4762,27603,10,0
4763,27602,15,0
4764,27601,20,0
4765,27600,25,0
4766,27599,30,0
4767,27598,0,0
4768,27597,5,0
4769,27596,10,0
4770,27595,15,0
4771,27594,20,0
4772,27593,25,0
4773,27592,30,0
4774,27591,0,0
4775,27590,5,0
4776,27589,10,1
4777,27588,15,0
4778,27587,20,1
4779,27586,25,0
4780,27585,30,0
4781,27584,0,0
4782,27583,5,0
4783,27582,10,0
4784,27581,15,0
4785,27580,20,0
4786,27579,25,0
4787,27578,30,0
4788,27577,0,0
4789,27576,5,0
4790,27575,10,0
4791,27574,15,0
4792,27573,20,0
4793,27572,25,0
4794,27571,30,0
4795,28030,0,0
4796,28029,5,0
4797,28028,10,1
4798,28027,15,0
4799,28026,20,1
4800,28025,25,0
4801,28024,30,1
4802,28023,35,0
4803,28022,0,0
4804,28021,5,0
4805,28020,10,0
4806,28019,15,0
4807,28018,20,0
4808,28017,25,0
4809,28016,0,0
4810,28015,5,0
4811,28014,10,0
4812,28013,15,0
4813,28012,20,0
4814,28011,25,0
4815,28010,0,0
4816,28009,5,0
4817,28008,10,0
4818,28007,15,0
4819,28006,20,0
4820,28005,25,0
4821,28065,0,0
4822,28064,5,1
4823,28063,10,0
4824,28062,15,1
4825,28061,20,0
4826,28060,25,1
4827,28059,30,1
4828,28058,0,0
4829,28057,5,0
4830,28056,10,0
4831,28055,15,0
4832,28054,20,0
4833,28053,25,0
4834,28052,30,0
4835,28051,0,0
4836,28050,5,0
4837,28049,10,0
4838,28048,15,0
4839,28047,20,0
4840,28046,25,0
4841,28045,30,0
4842,28044,0,0
4843,28043,5,0
4844,28042,10,0
4845,28041,15,0
4846,28040,20,0
4847,28039,0,0
4848,28038,5,0
4849,28037,10,0
4850,28036,15,0
4851,28035,20,0
4852,28131,0,0
4853,28130,5,0
4854,28129,10,1
4855,28128,15,0
4856,28127,20,1
4857,28126,25,0
4858,28125,30,0
4859,28124,0,0
4860,28123,5,0
4861,28122,10,1
4862,28121,15,0
4863,28120,20,1
4864,28119,25,1
4865,28118,30,1
4866,28117,0,0
4867,28116,5,0
4868,28115,10,0
4869,28114,15,0
4870,28113,20,0
4871,28112,0,0
4872,28111,5,0
4873,28110,10,0
4874,28109,15,0
4875,28108,20,0
4876,28107,0,0
4877,28106,5,0
4878,28105,10,0
4879,28104,15,0
4880,28103,20,0
4881,28102,0,0
4882,28101,5,0
4883,28100,10,0
4884,28099,15,0
4885,28098,20,0
4886,28097,0,0
4887,28096,5,0
4888,28095,10,1
4889,28094,15,0
4890,28093,20,1
4891,28092,25,1
4892,28091,30,1
4893,28090,0,0
4894,28089,5,0
4895,28088,10,0
4896,28087,15,0
4897,28086,20,0
4898,28085,0,0
4899,28084,5,0
4900,28083,10,0
4901,28082,15,0
4902,28081,20,0
4903,28080,0,0
4904,28079,5,0
4905,28078,10,0
4906,28077,15,0
4907,28076,20,0
4908,28075,0,0
4909,28074,5,0
4910,28073,10,0
4911,28072,15,0
4912,28071,20,0
4913,28203,0,0
4914,28202,5,0
4915,28201,10,1
4916,28200,15,0
4917,28199,20,1
4918,28198,25,0
4919,28197,30,0
4920,28196,0,0
4921,28195,5,0
4922,28194,10,1
4923,28193,15,0
4924,28192,20,1
4925,28191,25,1
4926,28190,30,1
4927,28189,0,0
4928,28188,5,0
4929,28187,10,0
4930,28186,15,0
4931,28185,20,0
4932,28184,0,0
4933,28183,5,0
4934,28182,10,0
4935,28181,15,0
4936,28180,20,0
4937,28179,0,0
4938,28178,5,0
4939,28177,10,0
4940,28176,15,0
4941,28175,20,0
4942,28174,0,0
4943,28173,5,0
4944,28172,10,0
4945,28171,15,0
4946,28170,20,0
4947,28169,0,0
4948,28168,5,0
4949,28167,10,1
4950,28166,15,0
4951,28165,20,1
4952,28164,25,1
4953,28163,30,1
4954,28162,0,0
4955,28161,5,0
4956,28160,10,0
4957,28159,15,0
4958,28158,20,0
4959,28157,0,0
4960,28156,5,0
4961,28155,10,0
4962,28154,15,0
4963,28153,20,0
4964,28152,0,0
4965,28151,5,0
4966,28150,10,0
4967,28149,15,0
4968,28148,20,0
4969,28147,0,0
4970,28146,5,0
4971,28145,10,0
4972,28144,15,0
4973,28143,20,0
4974,28244,0,0
4975,28243,5,0
4976,28242,10,1
4977,28241,15,0
4978,28240,20,1
4979,28239,25,0
4980,28238,30,1
4981,28237,0,0
4982,28236,5,0
4983,28235,10,0
4984,28234,15,0
4985,28233,20,0
4986,28232,25,0
4987,28231,0,0
4988,28230,5,0
4989,28229,10,0
4990,28228,15,0
4991,28227,20,0
4992,28226,25,0
4993,28225,30,0
4994,28224,0,0
4995,28223,5,0
4996,28222,10,0
4997,28221,15,0
4998,28220,20,0
4999,28219,25,0
5000,28218,30,0
5001,28217,35,0
5002,28216,40,0
5003,28215,45,0
5004,28293,0,0
5005,28292,5,0
5006,28291,10,1
5007,28290,15,0
5008,28289,20,1
5009,28288,25,0
5010,28287,30,1
5011,28286,35,0
5012,28285,40,1
5013,28284,0,0
5014,28283,5,0
5015,28282,10,0
5016,28281,15,0
5017,28280,20,0
5018,28279,25,0
5019,28278,30,0
5020,28277,35,0
5021,28276,40,0
5022,28275,0,0
5023,28274,5,0
5024,28273,10,0
5025,28272,15,0
5026,28271,20,0
5027,28270,25,0
5028,28269,30,0
5029,28268,35,0
5030,28267,40,0
5031,28266,0,0
