ID,TraitCondID,TraitNodeGroupID
1393,9940,4138
1394,9942,4139
1395,9943,4139
1396,9950,4140
1397,9951,4140
1398,9952,4141
1399,9953,4142
1400,9956,4143
1401,9957,4144
1402,9949,4146
1403,9955,4146
1404,9954,4147
1405,9958,4149
1416,9975,4162
1417,9980,4163
1418,9981,4164
1419,9979,4165
1420,9983,4166
1421,9972,4167
1422,9982,4168
1423,9978,4169
1424,9974,4170
1425,9973,4172
1436,10001,4186
1437,10006,4187
1438,10007,4188
1439,10005,4189
1440,10009,4190
1441,9998,4191
1442,10008,4192
1443,10004,4193
1444,10000,4194
1445,9999,4196
1462,10065,4223
1463,10068,4224
1464,10066,4225
1465,10078,4226
1466,10070,4227
1467,10079,4228
1468,10077,4229
1469,10076,4230
1470,10064,4232
1471,10081,4234
1472,10069,4235
1473,10067,4236
1474,10071,4236
1475,10073,4236
1476,10075,4236
1477,10082,4236
1488,10131,4260
1489,10136,4261
1490,10137,4262
1491,10135,4263
1492,10139,4264
1493,10128,4265
1494,10138,4266
1495,10134,4267
1496,10130,4268
1497,10129,4270
1506,10153,4283
1507,10156,4284
1508,10149,4285
1509,10154,4288
1510,10151,4289
1511,10150,4290
1512,10155,4292
1513,10152,4293
1522,10540,4442
1523,10538,4443
1524,10547,4445
1525,10548,4445
1526,10541,4447
1527,10542,4448
1528,10546,4449
1529,10539,4450
1538,10562,4460
1539,10560,4461
1540,10569,4463
1541,10570,4463
1542,10563,4465
1543,10564,4466
1544,10568,4467
1545,10561,4468
1554,10790,4540
1555,10788,4541
1556,10797,4543
1557,10798,4543
1558,10791,4545
1559,10792,4546
1560,10796,4547
1561,10789,4548
1572,10815,4561
1573,10820,4562
1574,10821,4563
1575,10819,4564
1576,10823,4565
1577,10812,4566
1578,10822,4567
1579,10818,4568
1580,10814,4569
1581,10813,4571
1660,11164,4584
1661,11163,4585
1662,11167,4586
1663,11168,4587
1664,11166,4589
1665,11169,4590
1666,11165,4593
1667,11170,4594
1678,11187,4607
1679,11192,4608
1680,11193,4609
1681,11191,4610
1682,11195,4611
1683,11184,4612
1684,11194,4613
1685,11190,4614
1686,11186,4615
1687,11185,4617
1740,11411,4631
1741,11416,4632
1742,11417,4633
1743,11415,4634
1744,11419,4635
1745,11408,4636
1746,11418,4637
1747,11414,4638
1748,11410,4639
1749,11409,4641
1946,12399,4656
1947,12400,4656
1948,12409,4657
1949,12403,4658
1950,12407,4659
1951,12406,4660
1952,12408,4661
1953,12401,4662
1954,12397,4663
1955,12398,4663
1956,12410,4664
1957,12405,4665
1958,12404,4666
1959,12402,4667
1974,12531,4682
1975,12532,4682
1976,12541,4683
1977,12535,4684
1978,12539,4685
1979,12538,4686
1980,12540,4687
1981,12533,4688
1982,12529,4689
1983,12530,4689
1984,12542,4690
1985,12537,4691
1986,12536,4692
1987,12534,4693
2001,12562,4707
2002,12564,4708
2003,12565,4708
2004,12572,4709
2005,12573,4709
2006,12574,4710
2007,12575,4711
2008,12578,4712
2009,12579,4713
2010,12571,4715
2011,12577,4715
2012,12576,4716
2013,12580,4718
2022,12594,4728
2023,12592,4729
2024,12601,4731
2025,12602,4731
2026,12595,4733
2027,12596,4734
2028,12600,4735
2029,12593,4736
2039,12618,4746
2040,12616,4747
2041,12625,4749
2042,12626,4749
2043,12619,4751
2044,12620,4752
2045,12624,4753
2046,12615,4754
2047,12617,4754
2056,12827,4816
2057,12826,4817
2058,12824,4818
2059,12825,4818
2060,12818,4819
2061,12823,4820
2062,12817,4821
2063,12819,4824
2072,12879,4843
2073,12878,4844
2074,12876,4845
2075,12877,4845
2076,12870,4846
2077,12875,4847
2078,12869,4848
2079,12871,4851
2088,13226,4980
2089,13227,4981
2090,13221,4983
2091,13228,4984
2092,13224,4987
2093,13222,4988
2094,13223,4989
2095,13225,4990
2103,13355,5034
2104,13356,5036
2105,13357,5037
2106,13358,5038
2107,13359,5039
2108,13362,5040
2109,13360,5041
2126,13379,5058
2127,13380,5060
2128,13381,5060
2129,13382,5061
2130,13388,5063
2131,13385,5064
2132,13383,5065
2133,13384,5065
2134,13390,5065
2135,13389,5066
2136,13394,5067
2137,13392,5068
2138,13386,5069
2139,13393,5070
2140,13391,5071
2141,13387,5072
2149,13403,5082
2150,13404,5084
2151,13405,5085
2152,13406,5086
2153,13407,5087
2154,13410,5088
2155,13408,5089
2169,13431,5103
2170,13433,5104
2171,13434,5104
2172,13441,5105
2173,13442,5105
2174,13443,5106
2175,13444,5107
2176,13447,5108
2177,13430,5109
2178,13440,5111
2179,13446,5111
2180,13445,5112
2181,13448,5114
2195,13469,5127
2196,13471,5128
2197,13472,5128
2198,13479,5129
2199,13480,5129
2200,13481,5130
2201,13482,5131
2202,13485,5132
2203,13468,5133
2204,13478,5135
2205,13484,5135
2206,13483,5136
2207,13486,5138
2216,13508,5148
2217,13507,5149
2218,13505,5150
2219,13506,5150
2220,13502,5151
2221,13504,5152
2222,13501,5153
2223,13503,5156
2237,13529,5169
2238,13531,5170
2239,13532,5170
2240,13539,5171
2241,13540,5171
2242,13541,5172
2243,13542,5173
2244,13545,5174
2245,13528,5175
2246,13538,5177
2247,13544,5177
2248,13543,5178
2249,13546,5180
