String_lang,ID,Flags
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,324,1
Spend %d more points to unlock this talent,325,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,328,1
Spend %d more points to unlock this talent,329,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,332,1
Spend %d more points to unlock this talent,333,1
||cff808080This talent is granted to your specialization for free and can't be unlearned||r,336,1
Spend %d more points to unlock this talent,337,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,340,1
Spend %d more points to unlock this talent,341,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,344,1
Spend %d more points to unlock this talent,345,1
Spend %d more points to unlock this talent,364,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,365,1
Spend %d more points to unlock this talent,368,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,369,1
Spend %d more points to unlock this talent,372,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,373,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,376,1
Spend %d more points to unlock this talent,377,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,395,1
Spend %d more points to unlock this talent,396,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,399,1
Spend %d more points to unlock this talent,400,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,412,1
Spend %d more points to unlock this talent,413,1
Spend %d more points to unlock this talent,456,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,457,1
Learned at level %d,458,0
Spend %d more points to unlock this talent,462,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,463,1
Learned at level %d,464,0
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,467,1
Spend %d more points to unlock this talent,468,1
Spend %d more points to unlock this talent,471,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,472,1
Spend %d more points to unlock this talent,475,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,476,1
[DNT] |cff808080This talent is granted to your specialization for free and can't be unlearned|r,497,1
[DNT] Spend %d more points to unlock this talent,498,1
[DNT] |cff808080This talent is granted to your specialization for free and can't be unlearned|r,501,1
[DNT] Spend %d more points to unlock this talent,502,1
[DNT] |cff808080This talent is granted to your specialization for free and can't be unlearned|r,505,1
[DNT] Spend %d more points to unlock this talent,506,1
[DNT] Spend %d more points to unlock this talent,508,1
[DNT] |cff808080This talent is granted to your specialization for free and can't be unlearned|r,511,1
[DNT] Spend %d more points to unlock this talent,512,1
[DNT] Spend %d more points to unlock this talent,514,1
[DNT] |cff808080This talent is granted to your specialization for free and can't be unlearned|r,517,1
[DNT] Spend %d more points to unlock this talent,518,1
[DNT] |cff808080This talent is granted to your specialization for free and can't be unlearned|r,521,1
[DNT] Spend %d more points to unlock this talent,522,1
[DNT] Spend %d more points to unlock this talent,524,1
[DNT] |cff808080This talent is granted to your specialization for free and can't be unlearned|r,527,1
[DNT] Spend %d more points to unlock this talent,528,1
