ID,ChrCustomizationChoiceID,ChrCustomizationReqID
1157,7131,237
1158,7472,237
1219,31,291
1220,30,291
1221,29,291
1222,28,291
1223,27,291
1224,26,291
1225,25,291
1226,24,291
1227,23,291
1228,22,291
1229,21,291
1230,20,291
1279,15427,295
1280,15426,295
1281,15425,295
1282,15424,295
1283,15423,295
1284,15422,295
1285,15421,295
1286,15420,295
1287,15419,295
1288,15418,295
1289,15417,295
1290,15416,295
1291,15439,296
1292,15438,296
1293,15437,296
1294,15436,296
1295,15435,296
1296,15434,296
1297,15433,296
1298,15432,296
1299,15431,296
1300,15430,296
1301,15429,296
1302,15428,296
1372,1290,313
1373,1291,313
1374,1292,313
1375,1293,313
1376,1294,313
1377,1295,313
1378,8719,314
1379,8720,314
1380,8721,314
1381,8722,314
1382,8723,314
1383,8724,314
1385,8726,316
1386,1289,317
1387,8725,313
1403,116,318
1404,115,318
1405,114,318
1406,113,318
1407,112,318
1408,111,318
1409,110,318
1410,109,318
1411,108,318
1412,107,318
1413,106,318
1414,105,318
1415,104,318
1416,103,318
1417,102,318
1448,15712,320
1449,15711,320
1450,15710,320
1451,15709,320
1452,15708,320
1453,15707,320
1454,15706,320
1455,15705,320
1456,15704,320
1457,15703,320
1458,15702,320
1459,15701,320
1460,15700,320
1461,15699,320
1462,15698,320
1463,15727,321
1464,15726,321
1465,15725,321
1466,15724,321
1467,15723,321
1468,15722,321
1469,15721,321
1470,15720,321
1471,15719,321
1472,15718,321
1473,15717,321
1474,15716,321
1475,15715,321
1476,15714,321
1477,15713,321
1485,1192,117
1486,1194,117
1487,1195,117
1494,1253,119
1495,1256,119
1496,1258,119
1497,570,91
1498,562,91
1499,561,91
1500,650,93
1501,649,93
1502,644,93
1503,841,97
1504,840,97
1505,834,97
1506,732,95
1507,729,95
1508,728,95
1509,1909,130
1510,1904,130
1511,1901,130
1512,1981,132
1513,1977,132
1514,1973,132
1515,2343,136
1516,2339,136
1517,2337,136
1518,2246,134
1519,2259,322
1520,2258,322
1521,2257,322
1522,2256,322
1523,2250,322
1524,2249,322
1525,2248,322
1526,2247,322
1527,2246,322
1528,2245,322
1529,2244,322
1530,2243,322
1531,2242,322
1532,2241,322
1533,8976,191
1534,8975,191
1535,8973,191
1536,8992,190
1537,8990,190
1538,8987,190
1539,489,89
1540,488,89
1541,481,89
1542,398,80
1543,394,80
1544,393,80
1545,1142,105
1546,1141,105
1547,1139,105
1548,1083,103
1549,1081,103
1550,1079,103
1551,1323,121
1552,1321,121
1553,1320,121
1554,1393,123
1555,1391,123
1556,1388,123
1557,1776,115
1558,1771,115
1559,1768,115
1560,1643,109
1561,1640,109
1562,1638,109
1563,9778,212
1564,9775,212
1565,9773,212
1566,9799,218
1567,9794,218
1568,9791,218
1569,2885,323
1570,2884,323
1571,2883,323
1572,2882,323
1573,2881,323
1574,2880,323
1575,2879,323
1576,2878,323
1591,2839,325
1592,2838,325
1593,2837,325
1594,2836,325
1595,2835,325
1596,2834,325
1597,2833,325
1598,2832,325
1599,9780,326
1600,9779,326
1601,9778,326
1602,9777,326
1603,9776,326
1604,9775,326
1605,9774,326
1606,9773,326
1607,9772,326
1608,9771,326
1609,9770,326
1610,9769,326
1611,9768,326
1612,9767,326
1613,9766,326
1614,9765,326
1615,9764,326
1616,9763,326
1617,9762,326
1618,9761,326
1619,9800,324
1620,9799,324
1621,9798,324
1622,9797,324
1623,9796,324
1624,9795,324
1625,9794,324
1626,9793,324
1627,9792,324
1628,9791,324
1629,9790,324
1630,9789,324
1631,9788,324
1632,9787,324
1633,9786,324
1634,9785,324
1635,9784,324
1636,9783,324
1637,9782,324
1638,9781,324
1639,15730,128
1640,1542,128
1641,1536,128
1642,1453,126
1643,1452,126
1644,1451,126
1665,8539,332
1666,8540,332
1667,8541,332
1668,8542,332
1669,8543,332
1670,8544,332
1671,20,53
1672,22,53
1673,31,53
1674,102,319
1675,103,319
1676,112,319
1677,15741,41
1678,7802,333
1679,7801,334
1682,872,337
1683,871,337
1684,873,337
1685,874,337
1686,875,337
1687,876,337
1688,877,337
1689,878,337
1690,879,337
1697,18266,367
1701,18270,369
1702,18272,370
1708,2971,373
1709,2972,374
1711,18262,375
1712,7483,376
1713,2974,376
1714,2973,376
1715,2972,376
1716,2971,376
1717,7483,377
1718,2974,377
1719,2973,377
1720,2972,377
1721,18256,378
1722,18258,379
1723,18259,380
1737,18267,400
1738,18269,400
1739,18268,400
1740,2769,401
1741,2773,401
1742,19300,401
1743,19301,401
1744,19302,401
1745,2771,402
1746,2770,403
1747,2772,404
1748,19299,405
1749,19302,406
1750,2769,407
1751,2773,407
1752,19300,407
1753,19301,407
1754,19302,407
1756,19273,407
1757,19272,407
1761,2851,410
1762,2849,410
1763,2847,410
1764,2846,410
1765,2845,410
1766,2842,410
1767,2886,411
1768,2894,411
1769,2892,411
1770,2889,411
1771,2888,411
1772,2887,411
1793,1491,424
