ID,RangeIndex,MinLevel,MaxLevel,MapID
1350,3,60,60,2118
1351,2,51,59,2118
1366,0,50,50,2177
1367,3,60,60,1191
1372,0,10,19,2107
1373,1,20,29,2107
1374,2,30,39,2107
1375,3,40,49,2107
1376,4,50,50,2107
1377,5,51,59,2107
1378,6,60,60,2107
1384,0,120,120,2226
1385,1,50,50,1191
1386,2,51,59,1191
1401,0,20,60,2197
1402,0,120,120,2292
1404,1,20,29,2245
1405,4,50,50,2245
1406,5,51,59,2245
1407,6,60,60,2245
1418,0,60,60,2373
1419,0,20,29,1911
1420,1,30,39,1911
1421,2,40,49,1911
1422,3,50,50,1911
1423,0,20,29,2167
1424,1,30,39,2167
1425,2,40,49,2167
1426,3,50,50,2167
1427,4,51,59,2167
1428,5,60,60,2167
1429,0,20,29,1825
1430,1,30,39,1825
1431,2,40,49,1825
1432,3,50,50,1825
1433,0,20,29,1552
1434,1,30,39,1552
1435,2,40,49,1552
1436,5,51,59,618
1437,0,20,29,1134
1438,1,30,39,1134
1439,0,20,29,980
1440,1,30,39,980
1441,0,20,29,1504
1442,1,30,39,1504
1443,2,40,49,1504
1444,4,50,50,1803
1445,1,20,29,1803
1446,2,30,39,1803
1447,3,40,49,1803
1448,1,20,29,726
1449,2,30,39,726
1450,0,10,19,727
1451,1,20,29,727
1452,1,20,29,998
1453,2,30,39,998
1454,3,40,49,998
1455,0,10,19,2245
1456,2,30,39,2245
1457,3,40,49,2245
1458,0,20,49,1191
1461,1,20,29,1170
1462,2,30,39,1170
1463,3,40,49,1170
1464,4,50,50,1170
1465,5,51,59,1170
1466,6,60,60,1170
1473,0,50,50,1691
1474,1,51,59,1691
1475,1,51,59,2177
1476,2,60,60,2177
1477,6,60,60,607
1491,2,51,59,30
1492,1,50,50,30
1526,0,20,29,2509
1527,1,30,39,2509
1528,2,40,49,2509
1529,3,50,50,2509
1530,4,51,59,2509
1531,5,60,60,2509
1532,0,60,60,2511
1540,0,60,60,2547
