Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,DefaultAuctionHouseFilter,ParentCategory
Finger,iLvl,110,9,197,0,110,0,99
Feet,iLvl,111,9,196,0,120,0,99
Legs,iLvl,112,9,195,0,130,0,99
Waist,iLvl,113,9,194,0,140,0,99
Consumables,Level,114,1,0,0,60,0,0
Vantus Runes,Level,115,1,184,0,10,0,114
Flask,Level,116,1,131,0,20,0,114
Explosives and Devices,Level,117,1,43,0,30,0,114
Potion,Level,118,1,44,0,40,0,114
Elixir,Level,119,1,45,0,50,0,114
Food & Drink,Level,120,1,133,0,60,0,114
Bandage,Level,121,1,135,0,70,0,114
Other,Level,122,1,136,0,80,0,114
Glyphs,,123,17,0,0,70,0,0
Druid,,124,17,161,0,10,0,123
Warlock,,125,17,160,0,20,0,123
Mage,,126,17,159,0,30,0,123
Shaman,,127,17,158,0,40,0,123
Priest,,128,17,157,0,50,0,123
Rogue,,129,17,156,0,60,0,123
Hunter,,130,17,155,0,70,0,123
Paladin,,131,17,154,0,80,0,123
Death Knight,,132,17,162,0,90,0,123
Monk,,133,17,177,0,100,0,123
Warrior,,134,17,153,0,110,0,123
Demon Hunter,,135,17,183,0,120,0,123
Trade Goods,,136,8,0,0,80,0,0
Cloth,,137,8,137,0,10,0,136
Leather,,138,8,138,0,20,0,136
Metal & Stone,,139,8,139,0,30,0,136
Cooking,,140,8,140,0,40,0,136
Herb,,141,8,141,0,50,0,136
Enchanting,,142,8,148,0,50,0,136
Inscription,,143,8,185,0,60,0,136
Jewelcrafting,,144,8,115,0,70,0,136
Parts,,145,8,38,0,80,0,136
Elemental,,146,8,142,0,90,0,136
Optional Reagents,,147,8,327,0,100,0,136
Other,,148,8,143,0,110,0,136
Recipes,Skill,149,10,0,0,90,0,0
Inscription,Skill,150,10,168,0,10,0,149
Tailoring,Skill,151,10,42,0,20,0,149
Leatherworking,Skill,152,10,41,0,30,0,149
Jewelcrafting,Skill,153,10,106,0,40,0,149
Alchemy,Skill,154,10,102,0,50,0,149
Blacksmithing,Skill,155,10,100,0,60,0,149
Engineering,Skill,156,10,99,0,70,0,149
Enchanting,Skill,157,10,104,0,80,0,149
Cooking,Skill,158,10,101,0,90,0,149
First Aid,Skill,159,10,103,0,100,0,149
Fishing,Skill,160,10,105,0,110,0,149
Book,Skill,161,10,40,0,120,0,149
Battle Pets,Level,162,18,0,0,100,0,0
Companion Pets,Level,163,18,145,0,1000,0,162
Quest Items,,164,13,0,0,110,0,0
Miscellaneous,,165,16,0,0,120,0,0
Junk,,166,16,52,0,10,0,165
Reagent,,167,16,144,0,20,0,165
Holiday,,168,16,146,0,30,0,165
Other,,169,16,147,0,40,0,165
Mount,,170,16,152,0,50,0,165
Mount Equipment,,171,16,326,0,60,0,165
