OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID
,,Your Raise Dead ghoul becomes permanent.,14103,46584,0,46585
,,,14104,377577,0,0
,,,14105,194916,0,0
[NYI] Infectious Wound,,Festering Strike has a 20% increased chance of applying 1/2/3 additional Festering Wounds.,14106,0,1129420,0
,,,14107,85948,0,0
,,,14108,49206,0,0
,,,14109,277234,0,0
,,,14110,316867,0,0
,,,14111,377587,0,0
,,,14112,317234,0,0
,,,14113,377514,0,0
,,,14114,275699,0,0
,,,14115,194917,0,0
,,,14116,152280,0,0
,,,14117,319230,0,0
,,,14118,63560,0,0
,,,14119,377592,0,0
,,,14120,55090,0,0
,,,14121,316941,0,0
,Replaces Scourge Strike,,14122,207311,0,55090
,,,14123,51128,0,0
,,,14124,196770,0,0
,,,14125,194909,0,0
,,,14126,207142,0,0
,,,14127,207230,0,0
Improved Killing Machine,,,14128,317214,0,0
,,,14129,194913,0,0
Empower Rune Weapon,Grants 1 Charge of ERW,Empower Rune Weapon gains an additional charge.,14130,0,135372,0
,,,14131,152279,0,0
,,,14132,59057,0,0
,,,14133,377098,0,0
,,,14134,377092,0,0
,,,14135,317198,0,0
,,,14136,377083,0,0
,,,14137,376905,0,0
,,,14138,377226,0,0
,,,14139,305392,0,0
,,,14140,377056,0,0
,,,14141,194912,0,0
,,,14142,316838,0,0
,,,14143,207061,0,0
,,,14144,49020,0,0
,,,14145,376251,0,0
,,,14146,316803,0,0
,,,14147,49143,0,0
,,,14148,377376,0,0
,,,14149,377351,0,0
,,,14150,51271,0,0
,,,14151,281208,0,0
,,,14152,253593,0,0
,,,14153,377047,0,0
,,,14154,343252,0,0
,,,14155,49184,0,0
,,,14156,377076,0,0
,,,14157,377073,0,0
,,,14158,279302,0,0
,,,14159,376938,0,0
,,,14160,377190,0,0
,,,14161,207126,0,0
,,,14162,281238,0,0
,,,14163,377668,0,0
,,,14164,327574,0,0
,,,14165,316634,0,0
,,,14166,374747,0,0
,,,14167,377629,0,0
,,,14168,374737,0,0
,,,14169,51052,0,0
,,,14170,48265,0,0
,,,14171,377637,0,0
,,,14172,374598,0,0
,,,14173,374574,0,0
,,,14174,194844,0,0
,,,14175,111673,0,0
,,,14176,356367,0,0
,,,14177,206970,0,0
,,,14178,377655,0,0
,,,14179,219786,0,0
,,,14180,274156,0,0
,,,14181,206931,0,0
,,,14182,206967,0,0
,,,14183,343294,0,0
,,,14184,377640,0,0
,,,14185,108199,0,0
,,,14186,48743,0,0
,,,14187,207104,0,0
,,,14188,207200,0,0
,,,14189,383269,0,0
,,,14190,205727,0,0
,,,14191,194878,0,0
,,,14192,374030,0,0
,,,14193,47568,0,0
,,,14194,374049,0,0
,,,14195,194679,0,0
,,,14196,378848,0,0
[NYI] Enfeeble,,Your ghouls attacks have a chance to apply Enfeeble reducing the enemies movement speed by 30% and the damage they deal to you by 15% for 6 seconds.,14197,0,132103,0
,,,14198,195292,0,0
,,,14199,317133,0,0
,,,14200,273946,0,0
,,,14201,221536,0,0
,,,14202,49028,0,0
[NYI] Unquenchable Thirst,,While Vampiric Blood is active store X% of your Death Strike healing. When Vampiric Blood expires splatter nearby enemies dealing 100% of the stored healing as Shadow damage.,14203,0,1394887,0
,,,14204,205723,0,0
,,,14205,51462,0,0
,,,14206,81229,0,0
,,,14207,374504,0,0
,,,14208,373926,0,0
,,,14209,45524,0,0
,,,14210,316916,0,0
,,,14211,273952,0,0
,,,14212,276079,0,0
,,,14213,212552,0,0
,,,14214,221562,0,0
,,,14215,374265,0,0
,,,14216,374111,0,0
,,,14217,47528,0,0
,,,14218,48792,0,0
,,,14219,373923,0,0
,,,14220,221699,0,0
,,,14221,317610,0,0
,,,14222,195679,0,0
,,,14223,273953,0,0
,,,14224,48263,0,0
,,,14225,57330,0,0
,,,14226,374277,0,0
,,,14227,194662,0,0
,,,14228,114556,0,0
,,,14229,374717,0,0
,,,14230,373930,0,0
,,,14231,374383,0,0
,,,14232,219809,0,0
,,,14233,206940,0,0
,,,14234,374715,0,0
,,,14235,49039,0,0
,,,14236,195182,0,0
,,,14237,55233,0,0
,,,14238,207167,0,0
,,,14239,50842,0,0
,,,14240,374721,0,0
,,,14241,46585,0,0
,,,14242,206930,0,0
,,,14243,206974,0,0
,,,14244,81136,0,0
,,,14245,48707,0,0
,,,14246,49998,0,0
,,,14247,374261,0,0
,,,14463,0,237389,0
,,,14464,0,132722,0
,,,14465,2637,0,0
,,,14466,301768,0,0
,,,14467,22570,0,0
,,,14468,231050,0,0
,,,14469,132469,0,0
,,,14470,197524,0,0
,,,14471,33873,0,0
,,,14472,33786,0,0
Regrowth R2 [20/40%],,,14473,231032,0,0
,,,14474,328025,0,0
,,,14475,740,0,0
Inner Peace (-30/60 CDR),,,14476,197073,0,0
Ironbark CD -10/20s,,,14477,0,572025,0
,,,14478,200390,0,0
,,,14479,328767,0,0
,,,14480,371999,0,0
,,,14481,345208,0,0
,,,14482,204053,0,0
,,,14483,372943,0,0
,,,14484,80313,0,0
Modal Cooldown Bonus,,Shifting out of Berserk before it expires ends the effect and refunds a portion of its cooldown.||||||||||||||||n||||||||||||||||n[OR]||||||||||||||||n||||||||||||||||nConvoke the Spirits has an increased chance to use an exceptional spell or ability.,14485,0,132137,0
,,"An improved Bear Form that grants all of your known Berserk effects, causes Mangle to hit up to 3 targets, and increases maximum health by 30%.||||||||||||||||n||||||||||||||||nLasts 30 sec. You may freely shapeshift in and out of this improved Bear Form for its duration.",14486,102558,0,0
,,,14487,337433,0,0
,,,14488,370586,0,0
,,"While in Bear Form, you deal 10%/20% increased Arcane damage.",14489,370695,0,0
,,,14490,338657,0,0
,,"Unleashes the rage of Ursoc for 10 sec, preventing 25% of all damage you take and reflecting a small amount of Nature damage back at your attackers. While active, you are immune to all effects that cause loss of control of your character.",14491,200851,0,0
,,,14492,203965,0,0
,,,14493,371905,0,0
,,,14494,155578,0,0
,,,14495,203962,0,0
,,,14496,158477,0,0
,,,14497,203964,0,0
,2/4%,,14498,238049,0,0
,,,14499,372567,0,0
,,,14500,377835,0,0
,15/30,,14501,372618,0,0
,,,14502,377623,0,0
,,Ironfur increases armor by an additional 4% and Barkskin reduces damage by an additional 5%.,14503,200395,0,0
,5/10%,"Ironfur has a 10% chance to grant two applications, and Frenzied Regeneration has a 10% chance to not consume a charge.",14504,279552,0,0
,,,14505,200854,0,0
,,,14506,135288,0,0
,,,14507,343240,0,0
,,,14508,300346,0,0
,,,14509,200399,0,0
,,,14510,231064,0,0
,,,14511,61336,0,0
,,,14512,6807,0,0
,,,14513,210706,0,0
,,,14514,155835,0,0
,,,14515,203953,0,0
,,,14516,377811,0,0
,10/20,,14517,238121,0,0
,,,14518,203974,0,0
,,,14519,377779,0,0
,,,14520,372505,0,0
,,,14521,372119,0,0
,,,14522,372945,0,0
Modal Cooldown Bonus,,Shifting out of Incarnation before it expires ends the effect and refunds a portion of its cooldown.||||||||||||||||||||||||||||||||n||||||||||||||||||||||||||||||||n[OR]||||||||||||||||||||||||||||||||n||||||||||||||||||||||||||||||||nConvoke the Spirits has an increased chance to use an exceptional spell or ability.,14523,0,132137,0
,,,14524,231055,0,0
,,,14525,155580,0,0
,,,14526,285564,0,0
,,,14527,354123,0,0
,,,14528,325727,0,0
Berserk: Jungle Stalker,,"Go berserk for 20 sec, causing Rake and Shred to deal damage as though you were stealthed, and allowing the use of Prowl once while in combat.||||||||||||||||n||||||||||||||||nCombines with other Berserk abilities, granting all known Berserk effects while active.",14529,0,236149,0
,,,14530,16974,0,0
,,,14531,340705,0,0
,,,14532,319439,0,0
,,,14533,274837,0,0
,,,14534,339139,0,0
,,,14535,338658,0,0
,,,14536,338657,0,0
,,,14537,158476,0,0
Cat-Eye Curio (no max E),,,14538,339144,0,0
Berserk: Frenzy,,"Go berserk for 20 sec, causing your combo point-generating abilities to bleed the target for an additonal 150% of their damage over 8 sec.||||||||||||||||n||||||||||||||||nCombines with other Berserk abilities, granting all known Berserk effects while active.||||||||||||||||n||||||||||||||||nPassive: Combo-point generating abilities reduce the cooldown of Berserk by 0.3 sec.",14539,0,236149,0
,,,14540,61336,0,0
,,,14541,202028,0,0
,,,14542,52610,0,0
Moment of Clarity (no max E),,,14543,236068,0,0
Berserk: Relentlessness,,"Go berserk for 20 sec, giving finishing moves a 20% chance per combo point spent to refund 2 combo points.||||||||||||||||n||||||||||||||||nCombines with other Berserk abilities, granting all known Berserk effects while active.",14544,0,236149,0
,,,14545,202031,0,0
,,,14546,202021,0,0
Shred Bleed bonus (also Swipe),,,14547,231063,0,0
,,,14548,340682,0,0
Passive Talent,,+20/40/60 energy,14549,0,135769,0
,,,14550,5217,0,0
,,,14551,16864,0,0
,,,14552,343232,0,0
Rake Stealth bonus (also Shred),,,14553,231052,0,0
,,,14554,340694,0,0
,,,14555,285381,0,0
,,,14556,48484,0,0
,,,14557,339141,0,0
,,,14558,323764,0,0
Incarnation: Avatar of Ashamane,,An improved Cat Form that grants all of your known Berserk effects and reduces the Energy cost of all Cat Form abilities by 20%.||||||||||||||||n||||||||||||||||nLasts 30 sec. You may shapeshift in and out of this improved Cat Form for its duration.,14559,102543,0,0
,,,14560,202918,0,0
,,,14561,231042,0,0
,,,14562,339942,0,0
,,,14563,325727,0,0
Modal Cooldown Bonus,,Shifting out of Incarnation before it expires ends the effect and refunds a portion of its cooldown.||||||||||||||||||||||||||||||||n||||||||||||||||||||||||||||||||n[OR]||||||||||||||||||||||||||||||||n||||||||||||||||||||||||||||||||nConvoke the Spirits has an increased chance to use an exceptional spell or ability.,14564,0,132137,0
,,,14565,323764,0,0
,,,14566,102560,0,0
Fury of the Skies (1/2%),,,14567,340708,0,0
,,,14568,202770,0,0
,,,14569,274281,0,0
Timeworn Dreambinder [Rename],,,14570,339949,0,0
Oneth's Clear Vision [Rename],,,14571,338661,0,0
,,,14572,202354,0,0
,,Solar Eclipse is 3 sec longer and Lunar Eclipse is 3 sec shorter.,14573,202739,0,0
Blessing of Elune,,Lunar Eclipse is 3 sec longer and Solar Eclipse is 3 sec shorter.,14574,202737,0,0
Umbral Infusion 5/10% [rename],,,14575,363497,0,0
,,,14576,114107,0,0
,,,14577,340720,0,0
,,,14578,327541,0,0
,,,14579,328022,0,0
Orbit Breaker (procs off Shooting Stars),,,14580,329970,0,0
,,,14581,338668,0,0
Syzygy,,Celestial Alignment now blasts all targets betwen you and the selected area for [X] Astral damage and applies Moonfire and Sunfire to them.,14582,0,1408832,0
,,,14583,343647,0,0
,,,14584,340706,0,0
,,,14585,202342,0,0
,,,14586,202345,0,0
,,,14587,202425,0,0
"Celestial Alignment [No initial damage, SL version]",,,14588,194223,0,0
Nature's Balance,,,14589,202430,0,0
Moonfire/Sunfire + 3/6s,,,14590,328023,0,0
,,,14591,79577,0,0
,,,14592,328021,0,0
,,,14593,205636,0,0
,,,14594,191034,0,0
,,,14595,78675,0,0
,,,14596,202996,0,0
,,,14597,340719,0,0
,,,14598,202347,0,0
,,,14599,279620,0,0
,,,14600,338657,0,0
,,,14601,325727,0,0
,,,14602,338657,0,0
,,,14603,338831,959803,0
,,,14604,274902,0,0
Modal Cooldown Bonus,,Shifting out of Incarnation before it expires ends the effect and refunds a portion of its cooldown.||||||||||||||||n||||||||||||||||n[OR]||||||||||||||||n||||||||||||||||nConvoke the Spirits has an increased chance to use an exceptional spell or ability.,14605,0,132137,0
,,,14606,323764,0,0
,,,14607,33891,0,0
Autumn Leaves [no extension],,,14608,274432,0,0
,,,14609,338832,0,0
,,,14610,363495,0,0
,,,14611,338829,0,0
,,,14612,197721,0,0
Innervate R2 +passive mana regen?,,,14613,326228,0,0
,,,14614,339064,0,0
Invigorate,,Your heal over time effects on the target complete their healing 100% faster. [45 sec cooldown.],14615,0,132145,0
,,,14616,203651,0,0
,,,14617,207385,0,0
,,,14618,155675,0,0
,,,14619,278515,1408837,0
New: Tranquility and WG Deep Healing,,,14620,0,136094,0
,,,14621,132158,0,0
NS cooldown -10/20s,,,14622,0,136076,0
,,,14623,158478,0,0
,,,14624,207383,0,0
,,,14625,102351,0,0
,,,14626,279778,0,0
Ironbark R2 (10/20%),,,14627,197061,0,0
Ysera's Gift [2/4%],,,14628,145108,0,0
,,,14629,102342,0,0
,,,14630,113043,0,0
,,,14631,33763,0,0
,,,14632,145205,0,0
Lifebloom R2,,Lifebloom counts for +1-2 additional stacks of mastery,14633,0,134206,0
Unstoppable Growth [10/20/30],,,14634,340549,0,0
,,,14635,50464,0,0
,,,14636,48438,0,0
,,,14637,231040,0,0
,,,14638,378986,0,0
,,,14639,377842,0,0
Ursoc's Endurance (NNF),,,14640,280013,0,0
,,,14641,159286,0,0
,,,14642,5211,0,0
,,,14643,99,0,0
,,,14644,377847,0,0
,,,14645,288826,0,0
,,,14646,319454,0,0
,,,14647,108238,0,0
,,,14648,378988,0,0
,,,14649,106898,0,0
,,,14650,252216,0,0
,,,14651,102401,0,0
,,,14652,2908,0,0
,,,14653,16931,0,0
,,,14654,192081,0,0
,,,14655,213764,0,0
,,,14656,108299,0,0
,,,14657,106839,0,0
,,,14658,377801,0,0
,,,14659,131768,0,0
,,,14660,1079,0,0
,,,14661,1822,0,0
,,,14662,106832,0,0
,,,14663,22842,0,0
,,,14664,327993,0,0
,,,14665,774,0,0
,,,14666,18562,0,0
,,,14667,2782,0,0
,,,14668,377796,0,0
Sunfire (no AOE),,,14669,93402,0,0
,,,14670,102793,0,0
,,,14671,102359,0,0
,,,14672,29166,0,0
,,,14673,124974,0,0
,,,14674,78674,0,0
,,,14675,24858,0,0
,,,14676,197626,0,0
,,,14677,194153,0,0
,,,20223,528,0,0
,,,20224,9484,0,0
,,,20225,372972,0,0
,,,20226,246287,0,0
,,,20227,109964,0,0
,,,20228,356085,0,0
,,,20229,193134,0,0
,,,20230,200209,0,0
,,,20231,335467,0,0
,,,20232,372969,0,0
,,,20233,375901,0,0
,,,20234,319899,0,0
,,,20235,205367,0,0
,,,20236,88625,0,0
,,,20237,193063,0,0
,,,20238,81749,0,0
,,,20239,373180,0,0
,,,20240,322115,0,0
,,,20241,372997,0,0
,,,20242,373052,0,0
,,,20243,64843,0,0
,,,20244,372307,0,0
,,,20245,34861,0,0
,,,20246,263716,0,0
,,,20247,341240,0,0
,,,20248,319952,0,0
,,,20249,345218,0,0
,,,20250,373221,0,0
,,,20251,199855,0,0
,,,20252,213634,0,0
,,,20253,10060,0,0
,,,20254,373223,0,0
,,,20255,372354,0,0
,,,20256,262861,0,0
,,,20257,373381,0,0
,,,20258,376183,0,0
,,,20259,73325,0,0
,,,20260,373427,0,0
,,,20261,238100,0,0
,,,20262,373212,0,0
,,,20263,34433,0,0
,,,20264,200128,0,0
,,,20265,196985,0,0
,,,20266,32546,0,0
,,,20267,20711,0,0
,,,20268,197779,0,0
,,,20269,321291,0,0
,,,20270,373310,0,0
,,,20271,373280,0,0
,,,20272,47536,0,0
,,,20273,374358,0,0
,,,20274,194509,0,0
,,,20275,373179,0,0
,,,20276,373054,0,0
,,,20277,373049,0,0
,,,20278,372985,0,0
,,,20279,33206,0,0
,,,20280,196704,0,0
,,,20281,372986,0,0
,,,20282,214621,0,0
,,,20283,204197,0,0
,,,20284,280391,0,0
,,,20285,373050,0,0
,,,20286,373065,0,0
,,,20287,373188,0,0
,,,20288,372350,0,0
,,,20289,2060,0,0
,,,20290,596,0,0
,,,20291,109186,0,0
,,,20292,372591,0,0
,,,20293,373245,0,0
,,,20294,196704,0,0
,,,20295,205369,0,0
,,,20296,377436,0,0
,,,20297,280752,0,0
,,,20298,199484,0,0
,,,20299,373456,0,0
,,,20300,373273,0,0
,,,20301,377349,0,0
,,,20302,373450,0,0
,,,20303,373035,0,0
,,,20304,373042,0,0
,,,20305,372991,0,0
,,,20306,47540,0,0
,,,20307,14914,0,0
,,,20308,372345,0,0
,,,20309,321377,0,0
,,,20310,196707,0,0
,,,20311,373457,0,0
,,,20312,373372,0,0
,,,20313,377422,0,0
,,,20314,375888,0,0
,,,20315,47585,0,0
,,,20316,265259,0,0
,,,20317,139,0,0
,,,20318,34914,0,0
,,,20319,33076,0,0
,,,20320,373446,0,0
,,,20321,382122,0,0
,,,20322,15407,0,0
,,,20323,2050,0,0
,,,20324,372602,0,0
,,,20325,372358,0,0
,,,20326,120517,0,0
,,,20327,110744,0,0
,,,20328,377814,0,0
,,,20329,373202,0,0
,,,20330,205364,0,0
,,,20331,64044,0,0
,,,20332,341997,0,0
,,,20333,341273,0,0
,,,20334,373445,0,0
,,,20335,377438,0,0
,,,20336,373426,0,0
,,,20337,376202,0,0
,,,20338,198068,0,0
,,,20339,204263,0,0
,,,20340,120517,0,0
,,,20341,110744,0,0
,,,20342,197419,0,0
,,,20343,197045,0,0
,,,20344,129250,0,0
,,,20345,62618,0,0
,,,20346,64901,0,0
,,,20347,204883,0,0
,,,20348,372599,0,0
,,,20349,372616,0,0
,,,20350,200199,0,0
,,,20351,377065,0,0
,,,20352,193155,0,0
,,,20353,155271,0,0
,,,20354,48045,0,0
,,,20355,32379,0,0
,,,20356,121536,0,0
,,,20357,64129,0,0
,,,20358,196358,0,0
,,,20359,377387,0,0
,,,20360,382109,0,0
,,,20361,373466,0,0
,,,20362,372370,0,0
,,,20363,200183,0,0
,,,20364,265202,0,0
,,,20365,47788,0,0
,,,20366,373481,0,0
,,,20367,32375,0,0
,,,20368,373455,0,0
,,,20369,15286,0,0
,,,20370,15487,0,0
,,,20371,205385,0,0
,,,20372,341385,0,0
,,,20373,238558,0,0
,,,20374,231682,0,0
,,,20375,314867,0,0
,,,20376,373178,0,0
,,,20377,373003,0,0
,,,20378,238063,0,0
,,,20379,238136,0,0
,,,20380,372309,0,0
,,,20381,375767,0,0
,,,20382,193195,0,0
,,,20383,288733,0,0
,,,20384,341491,0,0
,,,20385,322112,0,0
,,,20386,263165,0,0
,,,20387,193157,0,0
,,,20388,132157,0,0
,,,20389,372760,0,0
,,,20390,372835,0,0
,,,20391,372611,0,0
,,,20392,196704,0,0
,,,20393,204263,0,0
,,,20394,377068,0,0
,,,20395,186263,0,0
,,,20396,228260,0,0
,,,20397,375994,0,0
,,,20398,341374,0,0
,,,20399,373452,0,0
,,,20400,322107,0,0
,,,20635,197835,0,0
,,,20636,381543,0,0
,,,20637,323654,0,0
,,,20638,381632,0,0
,,,20639,196937,0,0
,,,20640,382504,0,0
,,,20641,382515,0,0
,,,20642,256188,0,0
,,,20643,14062,0,0
,,,20644,381626,0,0
,,,20645,383281,0,0
,,,20646,279876,0,0
,,,20647,51690,0,0
,,,20648,196922,0,0
,,,20649,31224,0,0
,,,20650,381622,0,0
,,,20651,379005,0,0
,,,20652,315341,0,0
,,,20653,378436,0,0
,,,20654,1776,0,0
,,,20655,280716,0,0
,,,20656,61329,0,0
,,,20657,382513,132331,0
,,,20658,328085,0,0
,,,20659,381982,0,0
,,,20660,14190,0,0
,,,20661,381630,0,0
,,,20662,231691,0,0
,,,20663,91023,0,0
,,,20664,13750,0,0
,,,20665,36554,0,0
,,,20666,381637,0,0
,,,20667,381624,0,0
,,,20668,5277,0,0
,,,20669,381652,0,0
,,,20670,378803,0,0
Fan the Hammer,,,20671,381846,0,0
,,,20672,382503,0,0
,,,20673,193546,0,0
,,,20674,280719,0,0
,,,20675,108208,0,0
,,,20676,231719,0,0
,,,20677,382514,0,0
,,,20678,108216,0,0
,,,20679,272026,0,0
,,,20680,381988,0,0
,,,20681,121411,0,0
,,,20682,51667,0,0
,,,20683,381894,0,0
,,,20684,193640,0,0
,,,20685,381629,0,0
,,,20686,196924,0,0
,,,20687,381985,0,0
,,,20688,35551,0,0
,,,20689,382746,0,0
,,,20690,14983,0,0
,,,20691,382511,0,0
,,,20692,343160,0,0
,,,20693,193537,0,0
, ,,20694,354897,0,0
,,,20695,319032,0,0
,,,20696,382518,0,0
,,,20697,245687,0,0
,,,20698,79134,0,0
,,,20699,381797,0,0
,,,20700,328305,0,0
,,,20701,195457,0,0
,,,20702,381845,0,0
,,,20703,256170,0,0
,,,20704,256165,0,0
,,,20705,315508,0,0
,,,20706,200806,0,0
,,,20707,382524,0,0
,,,20708,381627,0,0
,,"Finishing moves reduce the remaining cooldown of many Rogue skills by 1 sec per combo point spent.||n||nAffected skills: Adrenaline Rush, Between the Eyes, Blade Flurry, Grappling Hook, Keep it Rolling, Roll the Bones, Sepsis, Shadow Dance, Sprint, Thistle Tea, and Vanish.",20709,79096,0,0
,,,20710,200758,0,0
,,,20711,381828,0,0
,,,20712,2094,0,0
,,,20713,378813,0,0
,,,20714,381542,0,0
,,,20715,381799,0,0
,,,20716,381885,0,0
,,,20717,196938,0,0
,,,20718,185313,0,0
,,,20719,382794,0,0
,,,20720,381669,0,0
,,,20721,2823,0,0
,,,20722,1966,0,0
,,,20723,328305,0,0
,,,20724,79008,0,0
,,,20725,319951,0,0
,,,20726,319949,0,0
,,,20727,14161,0,0
,,,20728,13877,0,0
,,,20729,381800,0,0
,,,20730,382506,0,0
,,,20731,381839,0,0
,,,20732,31230,0,0
,,,20733,381801,0,0
,,,20734,36554,0,0
,,,20735,57934,0,0
,,,20736,381619,0,0
,,,20737,382505,0,0
,,,20738,255989,0,0
,,,20739,381989,0,0
,,,20740,277925,0,0
,,,20741,381623,0,0
,,,20742,193531,0,0
,,,20743,381990,0,0
,,Ambush has a 50% chance to generate 1 additional combo point.,20744,381620,0,0
,,,20745,121471,0,0
,,,20746,382525,0,0
,,,20747,5761,0,0
,,,20748,328305,0,0
,,,20749,200733,0,0
,,,20750,381664,0,0
,,,20751,381621,0,0
,,,20752,382238,132109,0
,,,20753,196912,0,0
,,,20754,382523,0,0
,,,20755,131511,0,0
,,,20756,193531,0,0
,,,20757,360194,0,0
,,,20758,381878,0,0
,,,20759,193539,0,0
,,,20760,382742,0,0
,,,20761,382512,0,0
,,,20762,319175,0,0
,,,20763,196976,0,0
,,,20764,340573,0,0
,,,20765,381634,0,0
,,,20766,382507,0,0
,,,20767,196861,0,0
,,,20768,381822,0,0
,,,20769,257505,0,0
,,,20770,271877,0,0
,,,20771,185314,0,0
,,,20772,108209,0,0
,,,20773,212283,0,0
,,,20774,152152,0,0
,,,20775,381802,0,0
,,,20776,378807,0,0
,,,20777,381625,0,0
,,,20778,137619,0,0
,,,20779,382015,0,0
,,,20780,36554,0,0
,,,20781,382517,0,0
,,,20782,344363,0,0
,,,20783,382017,0,0
,,,20784,382528,0,0
,,,20785,193531,0,0
,,,20786,58423,0,0
,,,20787,323547,0,0
,,,20788,378427,0,0
,,,20789,381640,0,0
,,,20790,185313,0,0
,,,20791,382508,0,0
,,,20792,378996,0,0
,,,20793,319066,0,0
,,,20794,255544,0,0
,,,20795,382509,0,0
,,,20796,703,0,0
,,,20797,381673,0,0
,,,20798,343142,0,0
