ID,Index,TraitTreeID,TraitCurrencyID
1836,3,396,1623
1837,2,396,1624
1838,1,396,17
1839,0,396,7
1840,16,397,1625
1841,15,397,1626
1842,14,397,1627
1843,13,397,1628
1844,12,397,1629
1845,11,397,1630
1846,10,397,1631
1847,9,397,1632
1848,8,397,1633
1849,7,397,1634
1850,6,397,1635
1851,5,397,1636
1852,4,397,1637
1853,3,397,1638
1854,2,397,1639
1855,1,397,17
1856,0,397,7
1857,16,398,1640
1858,15,398,1641
1859,14,398,1642
1860,13,398,1643
1861,12,398,1644
1862,11,398,1645
1863,10,398,1646
1864,9,398,1647
1865,8,398,1648
1866,7,398,1649
1867,6,398,1650
1868,5,398,1651
1869,4,398,1652
1870,3,398,1653
1871,2,398,1654
1872,1,398,17
1873,0,398,7
1876,2,400,1659
1877,1,400,1660
1880,2,402,1663
1881,1,402,1664
1882,4,403,1665
1883,3,403,1666
1884,2,403,1667
1885,1,403,21
1886,0,403,11
1887,5,404,1668
1888,4,404,1669
1889,3,404,1670
1890,2,404,1671
1891,1,404,21
1892,0,404,11
1893,4,405,1672
1894,3,405,1673
1895,2,405,1674
1896,1,405,21
1897,0,405,11
1898,6,406,1675
1899,5,406,1676
1900,4,406,1677
1901,3,406,1678
1902,2,406,1679
1903,1,406,17
1904,0,406,7
1905,6,407,1680
1906,5,407,1681
1907,4,407,1682
1908,3,407,1683
1909,2,407,1684
1910,1,407,17
1911,0,407,7
1912,9,408,1685
1913,8,408,1686
1914,7,408,1687
1915,6,408,1688
1916,5,408,1689
1917,4,408,1690
1918,3,408,1691
1919,2,408,1692
1920,1,408,17
1921,0,408,7
1924,2,410,1695
1925,1,410,1696
1928,2,412,1699
1929,1,412,1700
1942,2,414,1703
1943,1,414,1704
1946,2,416,1707
1947,1,416,1708
1956,2,418,1711
1957,1,418,1712
1986,2,420,1715
1987,1,420,1716
1990,2,422,1719
1991,1,422,1720
1994,2,424,1723
1995,1,424,1724
1998,2,426,1727
1999,1,426,1728
2002,2,428,1731
2003,1,428,1732
2016,5,431,1741
2017,4,431,1742
2018,3,431,1743
2019,2,431,1744
2020,1,431,15
2021,0,431,5
2022,5,432,1745
2023,4,432,1746
2024,3,432,1747
2025,2,432,1748
2026,1,432,15
2027,0,432,5
2028,4,433,1749
2029,3,433,1750
2030,2,433,1751
2031,1,433,15
2032,0,433,5
2033,5,434,1752
2034,4,434,1753
2035,3,434,1754
2036,2,434,1755
2037,1,434,15
2038,0,434,5
2041,2,436,1758
2042,1,436,1759
2043,5,437,1760
2044,4,437,1761
2045,3,437,1762
2046,2,437,1763
2047,1,437,15
2048,0,437,5
2051,2,439,1766
2052,1,439,1767
2053,5,440,1768
2054,4,440,1769
2055,3,440,1770
2056,2,440,1771
2057,1,440,15
2058,0,440,5
2059,4,441,1772
2060,3,441,1773
2061,2,441,1774
2062,1,441,15
2063,0,441,5
2064,4,442,1775
2065,3,442,1776
2066,2,442,1777
2067,1,442,1778
2068,0,442,5
2069,4,443,1779
2070,3,443,1780
2071,2,443,1781
2072,1,443,1782
2073,0,443,12
2074,4,444,1783
2075,3,444,1784
2076,2,444,1785
2077,1,444,1786
2078,0,444,12
2079,5,445,1787
2080,4,445,1788
2081,3,445,1789
2082,2,445,1790
2083,1,445,22
2084,0,445,12
2085,6,446,1791
2086,5,446,1792
2087,4,446,1793
2088,3,446,1794
2089,2,446,1795
2090,1,446,22
2091,0,446,12
2092,14,447,1796
2093,13,447,1797
2094,12,447,1798
2095,11,447,1799
2096,10,447,1800
2097,9,447,1801
2098,8,447,1802
2099,7,447,1803
2100,6,447,1804
2101,5,447,1805
2102,4,447,1806
2103,3,447,1807
2104,2,447,1808
2105,1,447,22
2106,0,447,12
2107,14,448,1809
2108,13,448,1810
2109,12,448,1811
2110,11,448,1812
2111,10,448,1813
2112,9,448,1814
2113,8,448,1815
2114,7,448,1816
2115,6,448,1817
2116,5,448,1818
2117,4,448,1819
2118,3,448,1820
2119,2,448,1821
2120,1,448,22
2121,0,448,12
2124,2,450,1824
2125,1,450,1825
2126,4,451,1826
2127,3,451,1827
2128,2,451,1828
2129,1,451,1829
2130,0,451,5
2131,5,452,1830
2132,4,452,1831
2133,3,452,1832
2134,2,452,1833
2135,1,452,15
2136,0,452,5
2137,5,453,1834
2138,4,453,1835
2139,3,453,1836
2140,2,453,1837
2141,1,453,15
2142,0,453,5
2143,4,454,1838
2144,3,454,1839
2145,2,454,1840
2146,1,454,15
2147,0,454,5
2150,4,456,1843
2151,3,456,1844
2154,2,458,1847
2155,1,458,1848
2158,4,460,1851
2159,3,460,1852
2162,2,462,1855
2163,1,462,1856
2166,2,464,1859
2167,1,464,1860
2170,2,466,1863
2171,1,466,1864
2174,2,468,1867
2175,1,468,1868
2176,3,469,1869
2177,2,469,1870
2178,1,469,1871
2179,0,469,1
