ID,ProfessionTraitID,ProfessionEffectID,Field_10_0_0_44649_003
2737,3292,8,0
2738,3293,37,0
2739,3294,1,0
2740,3295,6,0
2741,3296,6,0
2742,3298,6,0
2743,3299,38,0
2744,3299,39,1
2745,3300,6,0
2746,3302,1,0
2747,3303,6,0
2748,3304,6,0
2749,3306,6,0
2750,3307,38,0
2751,3307,39,1
2752,3308,6,0
2753,3310,1,0
2754,3311,6,0
2755,3312,6,0
2756,3314,6,0
2757,3315,38,0
2758,3315,39,1
2759,3316,6,0
2760,3318,1,0
2761,3320,8,0
2762,3322,12,0
2763,3324,8,0
2764,3325,37,0
2765,3326,1,0
2766,3327,6,0
2767,3328,6,0
2768,3330,6,0
2769,3331,38,0
2770,3331,39,1
2771,3332,6,0
2772,3334,1,0
2773,3335,6,0
2774,3336,6,0
2775,3338,6,0
2776,3339,38,0
2777,3339,39,1
2778,3340,6,0
2779,3342,1,0
2780,3343,6,0
2781,3344,6,0
2782,3346,6,0
2783,3347,38,0
2784,3347,39,1
2785,3348,6,0
2786,3350,1,0
2787,3352,8,0
2788,3354,12,0
2789,3356,8,0
2790,3357,37,0
2791,3358,1,0
2792,3359,6,0
2793,3360,6,0
2794,3362,6,0
2795,3363,38,0
2796,3363,39,1
2797,3364,6,0
2798,3366,1,0
2799,3367,6,0
2800,3368,6,0
2801,3370,6,0
2802,3371,38,0
2803,3371,39,1
2804,3372,6,0
2805,3374,1,0
2806,3375,6,0
2807,3376,6,0
2808,3378,6,0
2809,3379,38,0
2810,3379,39,1
2811,3380,6,0
3550,4106,1,0
3551,4108,7,0
3552,4112,11,0
3553,4113,35,0
3554,4114,1,0
3555,4116,8,0
3556,4117,6,0
3557,4118,12,0
3558,4119,6,0
3559,4120,8,0
3560,4121,38,0
3561,4121,39,1
3562,4122,1,0
3563,4124,8,0
3564,4125,6,0
3565,4126,12,0
3566,4127,6,0
3567,4128,8,0
3568,4129,38,0
3569,4129,39,1
3570,4130,1,0
3571,4131,6,0
3572,4132,7,0
3573,4134,11,0
3574,4136,38,0
3575,4136,39,1
3576,4143,105,0
3577,4144,27,0
3578,4145,31,0
3579,4146,27,0
3580,4147,31,0
3581,4148,96,0
3582,4149,1,0
3583,4151,7,0
3584,4155,11,0
3585,4156,35,0
3586,4157,1,0
3587,4159,8,0
3588,4160,6,0
3589,4161,12,0
3590,4162,6,0
3591,4163,8,0
3592,4164,38,0
3593,4164,39,1
3594,4165,1,0
3595,4167,8,0
3596,4168,6,0
3597,4169,12,0
3598,4170,6,0
3599,4171,8,0
3600,4172,38,0
3601,4172,39,1
3602,4173,1,0
3603,4174,6,0
3604,4175,7,0
3605,4177,11,0
3606,4179,38,0
3607,4179,39,1
3608,4186,105,0
3609,4187,27,0
3610,4188,31,0
3611,4189,27,0
3612,4190,31,0
3613,4191,96,0
3614,4192,1,0
3615,4194,7,0
3616,4198,11,0
3617,4199,35,0
3618,4200,1,0
3619,4202,8,0
3620,4203,6,0
3621,4204,12,0
3622,4205,6,0
3623,4206,8,0
3624,4207,38,0
3625,4207,39,1
3626,4208,1,0
3627,4210,8,0
3628,4211,6,0
3629,4212,12,0
3630,4213,6,0
3631,4214,8,0
3632,4215,38,0
3633,4215,39,1
3634,4216,1,0
3635,4217,6,0
3636,4218,7,0
3637,4220,11,0
3638,4222,38,0
3639,4222,39,1
3640,4229,105,0
3641,4230,27,0
3642,4231,31,0
3643,4232,27,0
3644,4233,31,0
3645,4234,96,0
3646,4235,1,0
3647,4237,7,0
3648,4241,11,0
3649,4242,35,0
3650,4243,1,0
3651,4245,8,0
3652,4246,6,0
3653,4247,12,0
3654,4248,6,0
3655,4249,8,0
3656,4250,38,0
3657,4250,39,1
3658,4251,1,0
3659,4253,8,0
3660,4254,6,0
3661,4255,12,0
3662,4256,6,0
3663,4257,8,0
3664,4258,38,0
3665,4258,39,1
3666,4259,1,0
3667,4260,6,0
3668,4261,7,0
3669,4263,11,0
3670,4265,38,0
3671,4265,39,1
3672,4272,105,0
3673,4273,27,0
3674,4274,31,0
3675,4275,27,0
3676,4276,31,0
3677,4277,96,0
3678,4278,1,0
3679,4280,7,0
3680,4284,11,0
3681,4285,36,0
3682,4286,1,0
3683,4288,6,0
3684,4289,8,0
3685,4291,6,0
3686,4292,12,0
3687,4293,38,0
3688,4293,39,1
3689,4294,1,0
3690,4296,6,0
3691,4297,8,0
3692,4299,6,0
3693,4300,12,0
3694,4301,38,0
3695,4301,39,1
3696,4302,1,0
3697,4303,6,0
3698,4304,7,0
3699,4306,11,0
3700,4308,38,0
3701,4308,39,1
3702,4315,105,0
3703,4316,27,0
3704,4317,113,0
3705,4319,27,0
3706,4320,96,0
3707,4321,1,0
3708,4322,7,0
3709,4324,11,0
3710,4326,33,0
3711,4328,7,0
3712,4330,11,0
3713,4332,9,0
3714,4332,13,1
3715,4332,32,2
3716,4333,101,0
3717,4334,111,0
3718,4335,111,0
3719,4337,111,0
3720,4338,112,0
3721,4339,1,0
3722,4340,29,0
3723,4341,6,0
3724,4342,8,0
3725,4343,29,0
3726,4345,29,0
3727,4346,6,0
3728,4347,39,0
3729,4348,96,0
3730,4349,1,0
3731,4351,12,0
3732,4353,8,0
3733,4355,12,0
3734,4356,71,0
3735,4357,101,0
3736,4358,89,0
3737,4359,12,0
3738,4360,90,0
3739,4361,12,0
3740,4362,90,0
3741,4363,12,0
3742,4364,91,0
3743,4365,2,0
3744,4366,92,0
3745,4367,8,0
3746,4368,93,0
3747,4369,8,0
3748,4370,93,0
3749,4371,8,0
3750,4372,94,0
3751,2104,6,0
3752,4373,1,0
3753,4374,7,0
3754,4376,11,0
3755,4378,33,0
3756,4380,7,0
3757,4382,11,0
3758,4384,9,0
3759,4384,13,1
3760,4384,32,2
3761,4385,101,0
3762,4386,111,0
3763,4387,111,0
3764,4389,111,0
3765,4390,112,0
3766,4391,1,0
3767,4392,29,0
3768,4393,6,0
3769,4394,8,0
3770,4395,29,0
3771,4397,29,0
3772,4398,6,0
3773,4399,39,0
3774,4400,96,0
3775,4401,1,0
3776,4403,12,0
3777,4405,8,0
3778,4407,12,0
3779,4408,71,0
3780,4409,101,0
3781,4410,89,0
3782,4411,12,0
3783,4412,90,0
3784,4413,12,0
3785,4414,90,0
3786,4415,12,0
3787,4416,91,0
3788,4417,2,0
3789,4418,92,0
3790,4419,8,0
3791,4420,93,0
3792,4421,8,0
3793,4422,93,0
3794,4423,8,0
3795,4424,94,0
3996,2088,117,0
4085,2064,117,0
4276,5004,1,0
4277,5005,41,0
4278,5006,7,0
4279,5008,11,0
4280,5010,7,0
4281,5011,32,0
4282,5011,9,1
4283,5011,13,2
4284,5012,1,0
4285,5013,117,0
4286,5014,8,0
4287,5016,12,0
4288,5018,8,0
4289,5019,37,0
4290,5020,1,0
4291,5021,6,0
4292,5022,6,0
4293,5024,71,0
4294,5026,37,0
4295,5028,1,0
4296,5029,6,0
4297,5030,6,0
4298,5032,71,0
4299,5034,37,0
4300,5036,1,0
4301,5037,117,0
4302,5038,8,0
4303,5040,12,0
4304,5042,8,0
4305,5044,1,0
4306,5045,6,0
4307,5046,6,0
4308,5048,71,0
4309,5050,37,0
4310,5052,1,0
4311,5053,6,0
4312,5054,6,0
4313,5056,71,0
4314,5058,37,0
4315,5060,1,0
4316,5061,7,0
4317,5063,11,0
4318,5065,7,0
4319,5067,11,0
4320,5069,33,0
4321,5069,38,1
4322,5069,39,2
4323,5070,1,0
4324,5071,71,0
4325,5072,8,0
4326,5074,100,0
4327,5075,8,0
4328,5076,100,0
4329,5077,37,0
4330,5078,1,0
4331,5079,71,0
4332,5080,8,0
4333,5081,100,0
4334,5083,12,0
4335,5084,100,0
4336,5085,37,0
4337,5086,1,0
4338,5087,29,0
4339,5088,8,0
4340,5089,28,0
4341,5090,8,0
4342,5091,96,0
4343,5092,1,0
4344,5093,29,0
4345,5094,8,0
4346,5095,29,0
4347,5096,8,0
4348,5097,96,0
4383,5141,1,0
4384,5142,41,0
4385,5143,7,0
4386,5145,11,0
4387,5147,7,0
4388,5148,32,0
4389,5148,9,1
4390,5148,13,2
4391,5149,1,0
4392,5150,117,0
4393,5151,8,0
4394,5153,12,0
4395,5155,8,0
4396,5156,37,0
4397,5157,1,0
4398,5158,6,0
4399,5159,6,0
4400,5161,6,0
4401,5162,38,0
4402,5162,39,1
4403,5163,6,0
4404,5165,1,0
4405,5166,6,0
4406,5167,6,0
4407,5169,6,0
4408,5170,38,0
4409,5170,39,1
4410,5171,6,0
4411,5173,1,0
4412,5174,6,0
4413,5175,6,0
4414,5177,6,0
4415,5178,38,0
4416,5178,39,1
4417,5179,6,0
4418,5181,1,0
4419,5182,117,0
4420,5183,8,0
4421,5185,12,0
4422,5187,8,0
4423,5188,37,0
4424,5189,1,0
4425,5190,6,0
4426,5191,6,0
4427,5193,6,0
4428,5194,38,0
4429,5194,39,1
4430,5195,6,0
4431,5197,1,0
4432,5198,6,0
4433,5199,6,0
4434,5201,6,0
4435,5202,38,0
4436,5202,39,1
4437,5203,6,0
4438,5205,1,0
4439,5206,6,0
4440,5207,6,0
4441,5209,6,0
4442,5210,38,0
4443,5210,39,1
4444,5211,6,0
4445,5213,1,0
4446,5214,117,0
4447,5215,8,0
4448,5217,12,0
4449,5219,8,0
4450,5220,37,0
4451,5221,1,0
4452,5222,6,0
4453,5223,6,0
4454,5225,6,0
4455,5226,38,0
4456,5226,39,1
4457,5227,6,0
4458,5229,1,0
4459,5230,6,0
4460,5231,6,0
4461,5233,6,0
4462,5234,38,0
4463,5234,39,1
4464,5235,6,0
4465,5237,1,0
4466,5238,6,0
4467,5239,6,0
4468,5241,6,0
4469,5242,38,0
4470,5242,39,1
4471,5243,6,0
4472,5245,1,0
4473,5246,87,0
4474,5248,88,0
4475,5250,87,0
4476,5251,33,0
4477,5251,8,1
4478,5251,12,2
4479,5252,101,0
4480,5253,89,0
4481,5254,12,0
4482,5255,90,0
4483,5256,12,0
4484,5257,90,0
4485,5258,12,0
4486,5259,91,0
4487,5260,2,0
4488,5261,92,0
4489,5262,8,0
4490,5263,93,0
4491,5264,8,0
4492,5265,93,0
4493,5266,8,0
4494,5267,94,0
4792,5677,1,0
4793,5678,41,0
4794,5679,7,0
4795,5681,11,0
4796,5683,7,0
4797,5684,32,0
4798,5684,9,1
4799,5684,13,2
4800,5685,1,0
4801,5686,117,0
4802,5687,8,0
4803,5689,12,0
4804,5691,8,0
4805,5692,37,0
4806,5693,1,0
4807,5694,6,0
4808,5695,6,0
4809,5697,71,0
4810,5699,37,0
4811,5701,1,0
4812,5702,6,0
4813,5703,6,0
4814,5705,71,0
4815,5707,37,0
4816,5709,1,0
4817,5710,117,0
4818,5711,8,0
4819,5713,12,0
4820,5715,8,0
4821,5717,1,0
4822,5718,6,0
4823,5719,6,0
4824,5721,71,0
4825,5723,37,0
4826,5725,1,0
4827,5726,6,0
4828,5727,6,0
4829,5729,71,0
4830,5731,37,0
4831,5733,1,0
4832,5734,7,0
4833,5735,11,0
4834,5737,7,0
4835,5739,11,0
4836,5741,73,0
4837,5741,32,1
4838,5742,1,0
4839,5743,6,0
4840,5744,8,0
4841,5745,71,0
4842,5746,12,0
4843,5748,100,0
4844,5749,1,0
4845,5750,6,0
4846,5751,8,0
4847,5752,71,0
4848,5753,12,0
4849,5756,1,0
4850,5757,6,0
4851,5758,8,0
4852,5759,71,0
4853,5760,12,0
4854,5763,1,0
4855,5764,6,0
4856,5766,6,0
4857,5768,71,0
4858,5769,6,0
4859,5770,32,0
4860,5770,9,1
4861,5770,13,2
4862,5771,50,0
4863,5772,89,0
4864,5773,13,0
4865,5774,90,0
4866,5775,13,0
4867,5776,90,0
4868,5777,13,0
4869,5778,91,0
4870,5779,48,0
4871,5780,92,0
4872,5781,9,0
4873,5782,93,0
4874,5783,9,0
4875,5784,93,0
4876,5785,9,0
4877,5786,94,0
4878,5787,1,0
4879,5788,53,0
4880,5789,8,0
4881,5790,28,0
4882,5791,8,0
4883,5792,96,0
4884,5793,1,0
4885,5794,29,0
4886,5795,8,0
4887,5796,28,0
4888,5797,8,0
4889,5798,96,0
4890,5799,1,0
4891,5800,41,0
4892,5801,7,0
4893,5803,11,0
4894,5805,7,0
4895,5806,32,0
4896,5806,9,1
4897,5806,13,2
4898,5807,1,0
4899,5809,8,0
4900,5811,12,0
4901,5813,8,0
4902,5814,73,0
4903,5815,1,0
4904,5816,6,0
4905,5817,6,0
4906,5819,71,0
4907,5820,38,0
4908,5821,1,0
4909,5822,6,0
4910,5823,6,0
4911,5825,71,0
4912,5826,38,0
4913,5827,1,0
4914,5828,6,0
4915,5829,6,0
4916,5831,71,0
4917,5832,38,0
4918,5833,1,0
4919,5834,6,0
4920,5835,6,0
4921,5837,71,0
4922,5838,38,0
4923,5839,1,0
4924,5841,8,0
4925,5843,12,0
4926,5845,8,0
4927,5846,73,0
4928,5847,1,0
4929,5848,6,0
4930,5849,6,0
4931,5851,71,0
4932,5852,38,0
4933,5853,1,0
4934,5854,6,0
4935,5855,6,0
4936,5857,71,0
4937,5858,38,0
4938,5859,1,0
4939,5860,6,0
4940,5861,6,0
4941,5863,71,0
4942,5864,38,0
4943,5865,1,0
4944,5866,6,0
4945,5867,6,0
4946,5869,71,0
4947,5870,38,0
4948,5871,1,0
4949,5872,41,0
4950,5873,7,0
4951,5875,11,0
4952,5877,7,0
4953,5878,32,0
4954,5878,9,1
4955,5878,13,2
4956,5879,1,0
4957,5881,8,0
4958,5883,12,0
4959,5885,8,0
4960,5886,74,0
4961,5887,1,0
4962,5888,6,0
4963,5889,6,0
4964,5891,71,0
4965,5892,38,0
4966,5893,1,0
4967,5894,6,0
4968,5895,6,0
4969,5897,71,0
4970,5898,38,0
4971,5899,1,0
4972,5900,6,0
4973,5901,6,0
4974,5903,71,0
4975,5904,38,0
4976,5905,1,0
4977,5906,6,0
4978,5907,6,0
4979,5909,71,0
4980,5910,38,0
4981,5911,1,0
4982,5913,8,0
4983,5915,12,0
4984,5917,8,0
4985,5918,74,0
4986,5919,1,0
4987,5920,6,0
4988,5921,6,0
4989,5923,71,0
4990,5924,38,0
4991,5925,1,0
4992,5926,6,0
4993,5927,6,0
4994,5929,71,0
4995,5930,38,0
4996,5931,1,0
4997,5932,6,0
4998,5933,6,0
4999,5935,71,0
5000,5936,38,0
5001,5937,1,0
5002,5938,6,0
5003,5939,6,0
5004,5941,71,0
5005,5942,38,0
5006,5943,1,0
5007,5945,7,0
5008,5947,11,0
5009,5950,34,0
5010,5950,115,1
5011,5951,50,0
5012,5953,11,0
5013,5958,1,0
5014,5960,7,0
5015,5961,11,0
5016,5963,11,0
5017,5964,7,0
5018,5965,8,0
5019,5965,38,1
5020,5965,39,2
5021,5966,1,0
5022,5968,30,0
5023,5970,39,0
5024,5973,11,0
5025,5977,1,0
5026,5978,1,0
5027,5979,7,0
5028,5981,11,0
5029,5983,54,0
5030,5984,115,0
5031,5985,67,0
5032,5986,33,0
5033,5987,1,0
5034,5988,1,0
5035,5989,6,0
5036,5991,6,0
5037,5993,6,0
5038,5994,39,0
5039,5995,6,0
5040,5997,1,0
5041,5998,1,0
5042,5999,6,0
5043,6001,6,0
5044,6003,6,0
5045,6004,39,0
5046,6005,6,0
5047,6007,1,0
5048,6008,1,0
5049,6009,6,0
5050,6011,6,0
5051,6013,6,0
5052,6014,39,0
5053,6015,6,0
5054,6017,1,0
5055,6018,1,0
5056,6019,6,0
5057,6021,6,0
5058,6023,6,0
5059,6024,39,0
5060,6025,6,0
5061,6027,1,0
5062,6028,7,0
5063,6029,6,0
5064,6030,34,0
5065,6031,6,0
5066,6032,11,0
5067,6033,6,0
5068,6034,7,0
5069,6035,6,0
5070,6036,30,0
5071,6037,6,0
5072,6038,66,0
5073,6039,1,0
5074,6040,11,0
5075,6041,7,0
5076,6043,11,0
5077,6045,7,0
5078,6046,32,0
5079,6047,1,0
5080,6048,11,0
5081,6049,67,0
5082,6051,117,0
5083,6053,41,0
5084,6054,115,0
5085,6055,1,0
5086,6056,7,0
5087,6057,6,0
5088,6058,6,0
5089,6060,8,0
5090,6062,38,0
5091,6063,6,0
5092,6064,7,0
5093,6065,6,0
5094,6066,8,0
5095,6068,6,0
5096,6069,6,0
5097,6070,38,0
5098,6071,6,0
5099,6072,11,0
5100,6073,67,0
5101,6075,6,0
5102,6077,11,0
5103,6078,115,0
5104,6079,6,0
5105,6080,67,0
5106,6081,6,0
5107,6082,67,0
5108,6083,11,0
5109,6084,67,0
5110,6085,6,0
5111,6086,38,0
5112,6087,1,0
5113,6088,30,0
5114,6089,6,0
5115,6090,29,0
5116,6092,6,0
5117,6093,11,0
5118,6094,39,0
5119,6095,1,0
5120,6096,41,0
5121,6097,7,0
5122,6099,11,0
5123,6101,7,0
5124,6102,32,0
5125,6102,9,1
5126,6102,13,2
5127,6103,1,0
5128,6105,8,0
5129,6107,12,0
5130,6109,8,0
5131,6110,74,0
5132,6111,1,0
5133,6112,6,0
5134,6113,6,0
5135,6115,71,0
5136,6116,38,0
5137,6117,1,0
5138,6118,6,0
