ID,TraitNodeEntryID,TraitCostID
1014,24978,983
1015,24986,983
1016,24994,983
1017,25002,983
1018,25010,983
1019,25018,983
1020,25026,983
1021,25027,972
1022,25028,972
1023,25029,972
1024,25030,981
1025,25031,976
1026,25032,976
1027,25033,976
1028,25034,981
1029,25035,980
1030,25036,980
1031,25037,980
1032,25038,981
1033,25039,982
1046,25096,1006
1047,25104,1006
1048,25112,1006
1049,25120,1006
1050,25128,1006
1051,25136,1006
1052,25144,1006
1053,25152,1006
1054,25160,1006
1055,25168,1006
1056,25176,1006
1057,25184,1006
1058,25192,1006
1059,25193,995
1060,25194,995
1061,25195,995
1062,25196,1004
1063,25197,999
1064,25198,999
1065,25199,999
1066,25200,1004
1067,25201,1003
1068,25202,1003
1069,25203,1003
1070,25204,1004
1071,25205,1005
1274,27971,1165
1275,27977,1165
1276,27984,1165
1277,27992,1165
1278,28000,1165
1279,28008,1165
1280,28009,1160
1281,28010,1160
1282,28011,1163
1283,28012,1163
1284,28013,1163
1285,28014,1164
1286,28020,1173
1287,28026,1173
1288,28033,1173
1289,28041,1173
1290,28049,1173
1291,28057,1173
1292,28058,1168
1293,28059,1168
1294,28060,1171
1295,28061,1171
1296,28062,1171
1297,28063,1172
1298,28069,1181
1299,28075,1181
1300,28082,1181
1301,28090,1181
1302,28098,1181
1303,28106,1181
1304,28107,1176
1305,28108,1176
1306,28109,1179
1307,28110,1179
1308,28111,1179
1309,28112,1180
1310,28118,1189
1311,28124,1189
1312,28131,1189
1313,28139,1189
1314,28147,1189
1315,28155,1189
1316,28156,1184
1317,28157,1184
1318,28158,1187
1319,28159,1187
1320,28160,1187
1321,28161,1188
1322,28167,1197
1323,28173,1197
1324,28180,1197
1325,28188,1197
1326,28196,1197
1327,28204,1197
1328,28205,1192
1329,28206,1192
1330,28207,1195
1331,28208,1195
1332,28209,1195
1333,28210,1196
1334,28218,1205
1335,28226,1205
1336,28234,1205
1337,28244,1205
1338,28250,1205
1339,28262,1205
1340,28263,1203
1341,28264,1203
1342,28265,1203
1343,28266,1203
1344,28267,1203
1345,28268,1204
1346,28276,1213
1347,28284,1213
1348,28292,1213
1349,28302,1213
1350,28308,1213
1351,28320,1213
1352,28321,1211
1353,28322,1211
1354,28323,1211
1355,28324,1211
1356,28325,1211
1357,28326,1212
1574,29761,1322
1575,29769,1322
1576,29777,1322
1577,29785,1322
1578,29793,1322
1579,29801,1322
1580,29809,1322
1581,29810,1316
1582,29811,1316
1583,29812,1320
1584,29813,1319
1585,29814,1319
1586,29815,1320
1587,29816,1321
1588,29822,1329
1589,29828,1329
1590,29836,1329
1591,29844,1329
1592,29854,1329
1593,29855,1327
1594,29856,1327
1595,29857,1327
1596,29858,1327
1597,29859,1328
1610,29916,1352
1611,29924,1352
1612,29932,1352
1613,29940,1352
1614,29948,1352
1615,29956,1352
1616,29964,1352
1617,29972,1352
1618,29980,1352
1619,29988,1352
1620,29996,1352
1621,30004,1352
1622,30012,1352
1623,30013,1341
1624,30014,1341
1625,30015,1341
1626,30016,1350
1627,30017,1345
1628,30018,1345
1629,30019,1345
1630,30020,1350
1631,30021,1349
1632,30022,1349
1633,30023,1349
1634,30024,1350
1635,30025,1351
1636,30033,1356
1637,30041,1356
1638,30048,1356
1639,30049,1355
1640,30050,1355
1747,35110,1479
1748,35118,1479
1749,35126,1479
1750,35134,1479
1751,35142,1479
1752,35150,1479
1753,35158,1479
1754,35159,1473
1755,35160,1473
1756,35161,1477
1757,35162,1476
1758,35163,1476
1759,35164,1477
1760,35165,1478
1761,35728,1491
1762,35735,1491
1763,35742,1491
1764,35751,1491
1765,35752,1489
1766,35753,1489
1767,35754,1489
1768,35755,1490
1769,35761,1498
1770,35767,1498
1771,35775,1498
1772,35783,1498
1773,35791,1498
1774,35792,1496
1775,35793,1496
1776,35794,1496
1777,35795,1496
1778,35796,1497
1779,35802,1511
1780,35808,1511
1781,35814,1511
1782,35820,1511
1783,35828,1511
1784,35834,1511
1785,35840,1511
1786,35846,1511
1787,35852,1511
1788,35860,1511
1789,35868,1511
1790,35869,1503
1791,35870,1503
1792,35871,1503
1793,35872,1503
1794,35873,1509
1795,35874,1508
1796,35875,1508
1797,35876,1508
1798,35877,1508
1799,35878,1509
1800,35879,1510
1801,35885,1524
1802,35891,1524
1803,35897,1524
1804,35903,1524
1805,35911,1524
1806,35917,1524
1807,35923,1524
1808,35929,1524
1809,35935,1524
1810,35943,1524
1811,35951,1524
1812,35952,1516
1813,35953,1516
1814,35954,1516
1815,35955,1516
1816,35956,1522
1817,35957,1521
1818,35958,1521
1819,35959,1521
1820,35960,1521
1821,35961,1522
1822,35962,1523
1823,35973,1530
1824,35981,1530
1825,35988,1530
1826,35996,1530
1827,35997,1528
1828,35998,1528
1829,35999,1528
1830,36000,1529
1831,36010,1537
1832,36020,1537
1833,36030,1537
1834,36040,1537
1835,36050,1537
1836,36051,1535
1837,36052,1535
1838,36053,1535
1839,36054,1535
1840,36055,1536
1841,36067,1539
1842,36076,1548
1843,36084,1548
1844,36092,1548
1845,36100,1548
1846,36108,1548
1847,36116,1548
1848,36124,1548
1849,36125,1542
1850,36126,1542
1851,36127,1546
1852,36128,1545
1853,36129,1545
1854,36130,1546
1855,36131,1547
1856,36137,1561
1857,36143,1561
1858,36149,1561
1859,36155,1561
1860,36163,1561
1861,36169,1561
1862,36175,1561
1863,36181,1561
1864,36187,1561
1865,36195,1561
1866,36203,1561
1867,36204,1553
1868,36205,1553
1869,36206,1553
1870,36207,1553
1871,36208,1559
1872,36209,1558
1873,36210,1558
1874,36211,1558
1875,36212,1558
1876,36213,1559
1877,36214,1560
1878,36220,1568
1879,36226,1568
1880,36234,1568
1881,36242,1568
1882,36250,1568
1883,36251,1566
1884,36252,1566
1885,36253,1566
1886,36254,1566
1887,36255,1567
1888,36261,1581
1889,36267,1581
1890,36273,1581
1891,36279,1581
1892,36287,1581
1893,36293,1581
1894,36299,1581
1895,36305,1581
1896,36311,1581
1897,36319,1581
1898,36327,1581
1899,36328,1573
1900,36329,1573
1901,36330,1573
1902,36331,1573
1903,36332,1579
1904,36333,1578
1905,36334,1578
1906,36335,1578
1907,36336,1578
1908,36337,1579
1909,36338,1580
1910,36345,1587
1911,36352,1587
1912,36359,1587
1913,36368,1587
1914,36369,1585
1915,36370,1585
1916,36371,1585
1917,36372,1586
1918,36383,1593
1919,36391,1593
1920,36398,1593
1921,36406,1593
1922,36407,1591
1923,36408,1591
1924,36409,1591
1925,36410,1592
1926,36420,1600
1927,36430,1600
1928,36440,1600
1929,36450,1600
1930,36460,1600
1931,36461,1598
1932,36462,1598
1933,36463,1598
1934,36464,1598
1935,36465,1599
1936,36477,1602
1937,36486,1611
1938,36494,1611
1939,36502,1611
1940,36510,1611
1941,36518,1611
1942,36526,1611
1943,36534,1611
1944,36535,1605
1945,36536,1605
1946,36537,1609
1947,36538,1608
1948,36539,1608
1949,36540,1609
1950,36541,1610
1963,39681,1645
1964,39688,1645
1965,39695,1645
1966,39704,1645
1967,39705,1643
1968,39706,1643
1969,39707,1643
1970,39708,1644
1971,40795,1663
1972,40802,1663
1973,40809,1663
1974,40818,1663
1975,40819,1661
1976,40820,1661
1977,40821,1661
1978,40822,1662
1979,40829,1670
1980,40836,1670
1981,40844,1670
1982,40852,1670
1983,40860,1670
1984,40861,1668
1985,40862,1668
1986,40863,1668
1987,40864,1668
1988,40865,1669
1989,42886,1690
1990,42892,1690
1991,42900,1690
1992,42908,1690
1993,42917,1690
1994,42918,1689
1995,42919,1689
1996,42920,1689
1997,42921,1689
1998,43356,1703
1999,43362,1703
2000,43370,1703
2001,43378,1703
2002,43387,1703
2003,43388,1701
2004,43389,1701
2005,43390,1701
2006,43391,1701
2007,43392,1702
2008,44068,1727
2009,44072,1727
2010,44076,1727
2011,44080,1727
2012,44086,1727
2013,44094,1727
2014,44102,1727
2015,44110,1727
2016,44118,1727
2017,44128,1727
2018,44134,1727
2019,44140,1727
2020,44148,1727
2021,44156,1727
2022,44157,1716
2023,44158,1716
2024,44159,1716
2025,44160,1716
2026,44161,1725
2027,44162,1721
2028,44163,1721
2029,44164,1721
2030,44165,1721
2031,44166,1725
2032,44167,1724
2033,44168,1724
2034,44169,1725
2035,44170,1726
2036,44176,1737
2037,44182,1737
2038,44190,1737
2039,44198,1737
2040,44206,1737
2041,44212,1737
2042,44220,1737
2043,44227,1737
2044,44228,1731
2045,44229,1731
2046,44230,1731
2047,44231,1735
2048,44232,1734
2049,44233,1734
2050,44234,1735
2051,44235,1736
2052,44239,1754
2053,44243,1754
2054,44247,1754
2055,44251,1754
2056,44255,1754
2057,44261,1754
2058,44269,1754
2059,44277,1754
2060,44285,1754
2061,44293,1754
2062,44303,1754
2063,44309,1754
2064,44315,1754
2065,44323,1754
2066,44331,1754
2067,44332,1743
2068,44333,1743
2069,44334,1743
2070,44335,1743
2071,44336,1743
2072,44337,1752
2073,44338,1748
2074,44339,1748
2075,44340,1748
2076,44341,1748
2077,44342,1752
2078,44343,1751
2079,44344,1751
2080,44345,1752
2081,44346,1753
2082,44350,1771
2083,44354,1771
2084,44358,1771
2085,44362,1771
2086,44366,1771
2087,44372,1771
2088,44380,1771
2089,44388,1771
2090,44396,1771
2091,44404,1771
2092,44414,1771
2093,44420,1771
2094,44426,1771
2095,44434,1771
2096,44442,1771
2097,44443,1760
2098,44444,1760
2099,44445,1760
2100,44446,1760
2101,44447,1760
2102,44448,1769
2103,44449,1765
2104,44450,1765
2105,44451,1765
2106,44452,1765
2107,44453,1769
2108,44454,1768
2109,44455,1768
2110,44456,1769
2111,44457,1770
2112,44461,1788
2113,44465,1788
2114,44469,1788
2115,44473,1788
2116,44477,1788
2117,44483,1788
2118,44491,1788
2119,44499,1788
2120,44507,1788
2121,44515,1788
2122,44525,1788
2123,44531,1788
2124,44537,1788
2125,44545,1788
2126,44553,1788
2127,44554,1777
2128,44555,1777
2129,44556,1777
2130,44557,1777
2131,44558,1777
2132,44559,1786
2133,44560,1782
2134,44561,1782
2135,44562,1782
2136,44563,1782
2137,44564,1786
2138,44565,1785
2139,44566,1785
2140,44567,1786
2141,44568,1787
2142,45590,1803
2143,45600,1803
2144,45610,1803
2145,45611,1801
2146,45612,1801
2147,45613,1802
2148,45623,1809
2149,45633,1809
2150,45643,1809
2151,45653,1809
2152,45654,1807
2153,45655,1807
2154,45656,1807
2155,45657,1808
2156,45667,1814
2157,45677,1814
2158,45687,1814
2159,45688,1812
2160,45689,1812
2161,45690,1813
2162,45696,1821
2163,45702,1821
2164,45710,1821
2165,45718,1821
2166,45728,1821
2167,45729,1819
2168,45730,1819
2169,45731,1819
2170,45732,1819
2171,45733,1820
2172,45739,1828
2173,45745,1828
2174,45753,1828
2175,45761,1828
2176,45771,1828
2177,45772,1826
2178,45773,1826
2179,45774,1826
2180,45775,1826
2181,45776,1827
2182,45782,1838
2183,45788,1838
2184,45796,1838
2185,45804,1838
2186,45812,1838
2187,45818,1838
2188,45826,1838
2189,45834,1838
2190,45835,1832
2191,45836,1832
2192,45837,1832
2193,45838,1836
2194,45839,1835
2195,45840,1835
2196,45841,1836
2197,45842,1837
2214,50616,1896
2215,50624,1896
2216,50632,1896
2217,50642,1896
2218,50643,1894
2219,50644,1894
2220,50645,1894
2221,50646,1895
2222,50654,1902
2223,50662,1902
2224,50671,1902
2225,50681,1902
2226,50682,1900
2227,50683,1900
2228,50684,1900
2229,50685,1901
2230,50693,1907
2231,50702,1907
2232,50712,1907
2233,50713,1905
2234,50714,1905
2235,50715,1906
2236,50725,1913
2237,50735,1913
2238,50743,1913
2239,50753,1913
2240,50754,1911
2241,50755,1911
2242,50756,1911
2243,50757,1912
2244,51153,1923
2245,51161,1923
2246,51169,1923
2247,51179,1923
2248,51180,1921
2249,51181,1921
2250,51182,1921
2251,51183,1922
2252,51579,1933
2253,51587,1933
2254,51596,1933
2255,51606,1933
2256,51607,1931
2257,51608,1931
2258,51609,1931
2259,51610,1932
2260,51618,1938
2261,51627,1938
2262,51637,1938
2263,51638,1936
2264,51639,1936
2265,51640,1937
2266,51650,1943
2267,51660,1943
2268,51668,1943
2269,51677,1943
2270,51678,1942
2271,51679,1942
2272,51680,1942
2273,51689,1948
2274,51697,1948
2275,51709,1948
2276,51716,1948
2277,51717,1947
2278,51718,1947
2279,51719,1947
2280,51728,1953
2281,51736,1953
2282,51748,1953
2283,51755,1953
2284,51756,1952
2285,51757,1952
2286,51758,1952
2287,51767,1959
2288,51773,1959
2289,51781,1959
2290,51789,1959
2291,51790,1957
2292,51791,1957
2293,51792,1957
2294,51793,1958
2295,51799,1966
2296,51807,1966
2297,51813,1966
2298,51821,1966
2299,51829,1966
2300,51830,1961
2301,51831,1964
2302,51832,1963
2303,51833,1964
2304,51834,1965
2305,51838,1981
2306,51842,1981
2307,51846,1981
2308,51856,1981
2309,51860,1981
2310,51864,1981
2311,51868,1981
2312,51872,1981
2313,51884,1981
2314,51888,1981
2315,51892,1981
2316,51902,1981
2317,51910,1981
2318,51911,1970
2319,51912,1970
2320,51913,1970
2321,51914,1979
2322,51915,1975
2323,51916,1975
2324,51917,1975
2325,51918,1975
2326,51919,1979
2327,51920,1978
2328,51921,1978
2329,51922,1979
2330,51923,1980
2331,51927,1996
2332,51931,1996
2333,51935,1996
2334,51945,1996
2335,51949,1996
2336,51953,1996
2337,51957,1996
2338,51961,1996
2339,51973,1996
2340,51977,1996
2341,51981,1996
2342,51991,1996
2343,51999,1996
2344,52000,1985
2345,52001,1985
2346,52002,1985
2347,52003,1994
2348,52004,1990
2349,52005,1990
2350,52006,1990
2351,52007,1990
2352,52008,1994
2353,52009,1993
2354,52010,1993
2355,52011,1994
2356,52012,1995
2357,52290,2005
2358,52300,2005
2359,52308,2005
2360,52317,2005
2361,52318,2004
2362,52319,2004
2363,52320,2004
2364,52329,2011
2365,52337,2011
2366,52345,2011
2367,52355,2011
2368,52356,2009
2369,52357,2009
2370,52358,2009
2371,52359,2010
2372,52367,2017
2373,52375,2017
2374,52384,2017
2375,52394,2017
2376,52395,2015
2377,52396,2015
2378,52397,2015
2379,52398,2016
2380,52406,2022
2381,52415,2022
2382,52425,2022
2383,52426,2020
2384,52427,2020
2385,52428,2021
2386,54886,2056
2387,54894,2056
2388,54901,2056
2389,54902,2055
2390,54903,2055
